year,name,number,sex
1960,David,151.0,boy
1960,Michael,139.0,boy
1960,Robert,135.0,boy
1960,John,126.0,boy
1960,James,123.0,boy
1960,Mark,91.0,boy
1960,Richard,86.0,boy
1960,William,74.0,boy
1960,Steven,73.0,boy
1960,Thomas,66.0,boy
1960,Daniel,57.0,boy
1960,Kenneth,50.0,boy
1960,Scott,49.0,boy
1960,Charles,43.0,boy
1960,Edward,43.0,boy
1960,Kevin,42.0,boy
1960,Paul,42.0,boy
1960,Donald,40.0,boy
1960,Timothy,40.0,boy
1960,Brian,39.0,boy
1960,Ronald,38.0,boy
1960,Gary,36.0,boy
1960,George,35.0,boy
1960,Joseph,35.0,boy
1960,Jeffrey,34.0,boy
1960,Peter,34.0,boy
1960,Gregory,28.0,boy
1960,Bruce,27.0,boy
1960,Douglas,26.0,boy
1960,Patrick,26.0,boy
1960,Larry,25.0,boy
1960,Anthony,24.0,boy
1960,Andrew,23.0,boy
1960,Mike,23.0,boy
1960,Dennis,22.0,boy
1960,Eric,21.0,boy
1960,Walter,21.0,boy
1960,Wayne,21.0,boy
1960,Lawrence,20.0,boy
1960,Christopher,19.0,boy
1960,Matthew,19.0,boy
1960,Raymond,19.0,boy
1960,Terry,19.0,boy
1960,Frank,18.0,boy
1960,Jerry,18.0,boy
1960,Randy,18.0,boy
1960,Harry,17.0,boy
1960,Russell,17.0,boy
1960,Dale,16.0,boy
1960,Norman,16.0,boy
1960,Randall,16.0,boy
1960,Stephen,16.0,boy
1960,Carl,15.0,boy
1960,Jay,15.0,boy
1960,Keith,15.0,boy
1960,Roger,15.0,boy
1960,Tom,15.0,boy
1960,Albert,14.0,boy
1960,Howard,14.0,boy
1960,Jack,14.0,boy
1960,Stanley,14.0,boy
1960,Steve,14.0,boy
1960,Alan,13.0,boy
1960,Bill,13.0,boy
1960,Danny,13.0,boy
1960,Jeffery,13.0,boy
1960,Joe,13.0,boy
1960,Roy,13.0,boy
1960,Arthur,12.0,boy
1960,Henry,12.0,boy
1960,Victor,12.0,boy
1960,Chris,11.0,boy
1960,Clifford,11.0,boy
1960,Eugene,11.0,boy
1960,Jeff,11.0,boy
1960,Jim,11.0,boy
1960,Kirk,11.0,boy
1960,Lee,11.0,boy
1960,Lloyd,11.0,boy
1960,Marvin,11.0,boy
1960,Warren,11.0,boy
1960,Billy,10.0,boy
1960,Dean,10.0,boy
1960,Don,10.0,boy
1960,Glenn,10.0,boy
1960,Jon,10.0,boy
1960,Karl,10.0,boy
1960,Nick,10.0,boy
1960,Tim,10.0,boy
1960,Bryan,9.0,boy
1960,Curtis,9.0,boy
1960,Jimmy,9.0,boy
1960,Kurt,9.0,boy
1960,Phillip,9.0,boy
1960,Rodney,9.0,boy
1960,Shawn,9.0,boy
1960,Alfred,8.0,boy
1960,Barry,8.0,boy
1960,Bob,8.0,boy
1960,Craig,8.0,boy
1960,Fred,8.0,boy
1960,Frederick,8.0,boy
1960,Gene,8.0,boy
1960,Gerald,8.0,boy
1960,Glen,8.0,boy
1960,Harold,8.0,boy
1960,Martin,8.0,boy
1960,Micheal,8.0,boy
1960,Ralph,8.0,boy
1960,Ricky,8.0,boy
1960,Samuel,8.0,boy
1960,Todd,8.0,boy
1960,Vincent,8.0,boy
1961,David,145.0,boy
1961,John,134.0,boy
1961,Michael,128.0,boy
1961,Robert,120.0,boy
1961,James,107.0,boy
1961,William,95.0,boy
1961,Mark,90.0,boy
1961,Thomas,63.0,boy
1961,Richard,60.0,boy
1961,Steven,56.0,boy
1961,Timothy,55.0,boy
1961,Paul,49.0,boy
1961,Daniel,47.0,boy
1961,Kenneth,46.0,boy
1961,Charles,44.0,boy
1961,Jeffrey,44.0,boy
1961,Joseph,44.0,boy
1961,Kevin,37.0,boy
1961,Donald,36.0,boy
1961,Gregory,36.0,boy
1961,Raymond,35.0,boy
1961,Gary,34.0,boy
1961,Peter,34.0,boy
1961,Scott,34.0,boy
1961,Ronald,33.0,boy
1961,Christopher,32.0,boy
1961,Edward,32.0,boy
1961,Jerry,31.0,boy
1961,Douglas,30.0,boy
1961,Brian,29.0,boy
1961,Dennis,28.0,boy
1961,Eric,25.0,boy
1961,Larry,25.0,boy
1961,Jim,24.0,boy
1961,Patrick,24.0,boy
1961,Mike,22.0,boy
1961,Andrew,21.0,boy
1961,Bruce,21.0,boy
1961,Steve,21.0,boy
1961,Frank,20.0,boy
1961,Joe,20.0,boy
1961,Roger,19.0,boy
1961,Roy,19.0,boy
1961,Jeff,18.0,boy
1961,Carl,17.0,boy
1961,George,17.0,boy
1961,Leonard,17.0,boy
1961,Randy,17.0,boy
1961,Stephen,17.0,boy
1961,Gerald,16.0,boy
1961,Norman,16.0,boy
1961,Wayne,16.0,boy
1961,Chris,15.0,boy
1961,Glenn,15.0,boy
1961,Harry,15.0,boy
1961,Keith,15.0,boy
1961,Lawrence,15.0,boy
1961,Terry,15.0,boy
1961,Anthony,14.0,boy
1961,Harold,13.0,boy
1961,Ray,13.0,boy
1961,Alan,12.0,boy
1961,Alfred,12.0,boy
1961,Allen,12.0,boy
1961,Billy,12.0,boy
1961,Martin,12.0,boy
1961,Matthew,12.0,boy
1961,Rodney,12.0,boy
1961,Tom,12.0,boy
1961,Dean,11.0,boy
1961,Earl,11.0,boy
1961,Gordon,11.0,boy
1961,Henry,11.0,boy
1961,Jonathan,11.0,boy
1961,Ricky,11.0,boy
1961,Samuel,11.0,boy
1961,Stanley,11.0,boy
1961,Troy,11.0,boy
1961,Walter,11.0,boy
1961,Bobby,10.0,boy
1961,Curtis,10.0,boy
1961,Dale,10.0,boy
1961,Danny,10.0,boy
1961,Fred,10.0,boy
1961,Frederick,10.0,boy
1961,Jack,10.0,boy
1961,Joel,10.0,boy
1961,Marvin,10.0,boy
1961,Phillip,10.0,boy
1961,Ralph,10.0,boy
1961,Randall,10.0,boy
1961,Russell,10.0,boy
1961,Victor,10.0,boy
1961,Arthur,9.0,boy
1961,Jay,9.0,boy
1961,Jeffery,9.0,boy
1961,Jon,9.0,boy
1961,Todd,9.0,boy
1961,Albert,8.0,boy
1961,Bill,8.0,boy
1961,Glen,8.0,boy
1961,Howard,8.0,boy
1961,Jimmy,8.0,boy
1961,Nicholas,8.0,boy
1961,Nick,8.0,boy
1961,Philip,8.0,boy
1961, ,,boy
1962,John,156.0,boy
1962,Michael,143.0,boy
1962,David,141.0,boy
1962,Robert,131.0,boy
1962,James,119.0,boy
1962,William,90.0,boy
1962,Richard,86.0,boy
1962,Mark,70.0,boy
1962,Joseph,60.0,boy
1962,Thomas,57.0,boy
1962,Steven,51.0,boy
1962,Timothy,49.0,boy
1962,Charles,46.0,boy
1962,Paul,46.0,boy
1962,Kevin,45.0,boy
1962,Brian,44.0,boy
1962,Daniel,43.0,boy
1962,Donald,42.0,boy
1962,Kenneth,42.0,boy
1962,George,35.0,boy
1962,Gary,34.0,boy
1962,Jeffrey,32.0,boy
1962,Gregory,31.0,boy
1962,Scott,30.0,boy
1962,Douglas,29.0,boy
1962,Carl,27.0,boy
1962,Anthony,26.0,boy
1962,Ronald,26.0,boy
1962,Steve,26.0,boy
1962,Mike,25.0,boy
1962,Patrick,25.0,boy
1962,Raymond,25.0,boy
1962,Jerry,24.0,boy
1962,Peter,23.0,boy
1962,Andrew,22.0,boy
1962,Edward,22.0,boy
1962,Todd,22.0,boy
1962,Keith,21.0,boy
1962,Larry,21.0,boy
1962,Stephen,21.0,boy
1962,Christopher,20.0,boy
1962,Wayne,20.0,boy
1962,Eric,19.0,boy
1962,Allen,18.0,boy
1962,Gerald,18.0,boy
1962,Jeffery,18.0,boy
1962,Roger,18.0,boy
1962,Alan,17.0,boy
1962,Dale,17.0,boy
1962,Dennis,17.0,boy
1962,Frank,17.0,boy
1962,Glenn,16.0,boy
1962,Bruce,15.0,boy
1962,Craig,15.0,boy
1962,Henry,15.0,boy
1962,Jack,15.0,boy
1962,Terry,15.0,boy
1962,Walter,15.0,boy
1962,Barry,14.0,boy
1962,Howard,14.0,boy
1962,Jay,14.0,boy
1962,Jimmy,14.0,boy
1962,Ralph,14.0,boy
1962,Troy,14.0,boy
1962,Randall,13.0,boy
1962,Samuel,13.0,boy
1962,Bryan,12.0,boy
1962,Chris,12.0,boy
1962,Darrell,12.0,boy
1962,Johnny,12.0,boy
1962,Karl,12.0,boy
1962,Norman,12.0,boy
1962,Randy,12.0,boy
1962,Ricky,12.0,boy
1962,Shawn,12.0,boy
1962,Charlie,11.0,boy
1962,Dean,11.0,boy
1962,Louis,11.0,boy
1962,Russell,11.0,boy
1962,Stanley,11.0,boy
1962,Tim,11.0,boy
1962,Victor,11.0,boy
1962,Albert,10.0,boy
1962,Benjamin,10.0,boy
1962,Curtis,10.0,boy
1962,Danny,10.0,boy
1962,Dwayne,10.0,boy
1962,Jon,10.0,boy
1962,Lawrence,10.0,boy
1962,Tom,10.0,boy
1962,Vernon,10.0,boy
1962,Alfred,9.0,boy
1962,Bill,9.0,boy
1962,Billy,9.0,boy
1962,Bobby,9.0,boy
1962,Clifford,9.0,boy
1962,Duane,9.0,boy
1962,Fred,9.0,boy
1962,Gordon,9.0,boy
1962,Harry,9.0,boy
1962,Martin,9.0,boy
1962,Marty,9.0,boy
1962,Philip,9.0,boy
1962,Phillip,9.0,boy
1962, ,,boy
1962, ,,boy
1963,David,144.0,boy
1963,Michael,141.0,boy
1963,Robert,134.0,boy
1963,James,122.0,boy
1963,John,121.0,boy
1963,William,95.0,boy
1963,Richard,78.0,boy
1963,Mark,75.0,boy
1963,Daniel,63.0,boy
1963,Thomas,59.0,boy
1963,Charles,50.0,boy
1963,Ronald,50.0,boy
1963,Joseph,45.0,boy
1963,Kenneth,45.0,boy
1963,Donald,44.0,boy
1963,Kevin,44.0,boy
1963,Scott,44.0,boy
1963,Steven,44.0,boy
1963,Edward,43.0,boy
1963,Jeffrey,40.0,boy
1963,Brian,39.0,boy
1963,Gary,37.0,boy
1963,Paul,37.0,boy
1963,Timothy,35.0,boy
1963,Raymond,32.0,boy
1963,Carl,30.0,boy
1963,Todd,29.0,boy
1963,Eric,28.0,boy
1963,Dale,27.0,boy
1963,Douglas,27.0,boy
1963,Gregory,27.0,boy
1963,George,26.0,boy
1963,Larry,26.0,boy
1963,Andrew,24.0,boy
1963,Keith,24.0,boy
1963,Patrick,23.0,boy
1963,Matthew,22.0,boy
1963,Peter,22.0,boy
1963,Jim,21.0,boy
1963,Stephen,21.0,boy
1963,Wayne,21.0,boy
1963,Mike,20.0,boy
1963,Randy,20.0,boy
1963,Frank,19.0,boy
1963,Glenn,19.0,boy
1963,Jerry,19.0,boy
1963,Christopher,18.0,boy
1963,Alfred,17.0,boy
1963,Dennis,17.0,boy
1963,Lawrence,17.0,boy
1963,Roy,17.0,boy
1963,Anthony,16.0,boy
1963,Danny,16.0,boy
1963,Henry,16.0,boy
1963,Walter,16.0,boy
1963,Norman,15.0,boy
1963,Samuel,15.0,boy
1963,Tom,15.0,boy
1963,Allen,14.0,boy
1963,Curtis,14.0,boy
1963,Harry,14.0,boy
1963,Joe,14.0,boy
1963,Russell,14.0,boy
1963,Vincent,14.0,boy
1963,Billy,13.0,boy
1963,Martin,13.0,boy
1963,Roger,13.0,boy
1963,Terry,13.0,boy
1963,Tony,13.0,boy
1963,Craig,12.0,boy
1963,Eugene,12.0,boy
1963,Jeff,12.0,boy
1963,Kurt,12.0,boy
1963,Phillip,12.0,boy
1963,Rodney,12.0,boy
1963,Bruce,11.0,boy
1963,Kelly,11.0,boy
1963,Nick,11.0,boy
1963,Shawn,11.0,boy
1963,Alan,10.0,boy
1963,Benjamin,10.0,boy
1963,Clifford,10.0,boy
1963,Duane,10.0,boy
1963,Gerald,10.0,boy
1963,Jimmy,10.0,boy
1963,Marvin,10.0,boy
1963,Tim,10.0,boy
1963,Troy,10.0,boy
1963,Warren,10.0,boy
1963,Brent,9.0,boy
1963,Chris,9.0,boy
1963,Franklin,9.0,boy
1963,Fred,9.0,boy
1963,Frederick,9.0,boy
1963,Glen,9.0,boy
1963,Herbert,9.0,boy
1963,Howard,9.0,boy
1963,Nicholas,9.0,boy
1963,Ray,9.0,boy
1963,Steve,9.0,boy
1963, ,,boy
1963, ,,boy
1963, ,,boy
1964,John,151.0,boy
1964,Michael,145.0,boy
1964,David,138.0,boy
1964,Robert,126.0,boy
1964,James,119.0,boy
1964,William,81.0,boy
1964,Richard,80.0,boy
1964,Kenneth,70.0,boy
1964,Mark,68.0,boy
1964,Thomas,57.0,boy
1964,Daniel,55.0,boy
1964,Kevin,55.0,boy
1964,Scott,54.0,boy
1964,Joseph,52.0,boy
1964,Timothy,48.0,boy
1964,Charles,45.0,boy
1964,Brian,40.0,boy
1964,Ronald,40.0,boy
1964,Donald,39.0,boy
1964,Paul,39.0,boy
1964,Jeffrey,38.0,boy
1964,Christopher,37.0,boy
1964,Steven,37.0,boy
1964,Gary,36.0,boy
1964,Patrick,35.0,boy
1964,Douglas,31.0,boy
1964,Edward,30.0,boy
1964,Todd,29.0,boy
1964,Eric,27.0,boy
1964,George,26.0,boy
1964,Andrew,25.0,boy
1964,Frank,24.0,boy
1964,Bruce,23.0,boy
1964,Jerry,23.0,boy
1964,Peter,23.0,boy
1964,Stephen,23.0,boy
1964,Anthony,22.0,boy
1964,Gregory,22.0,boy
1964,Raymond,21.0,boy
1964,Dennis,20.0,boy
1964,Keith,20.0,boy
1964,Carl,19.0,boy
1964,Henry,19.0,boy
1964,Jeffery,19.0,boy
1964,Larry,18.0,boy
1964,Terry,18.0,boy
1964,Jack,17.0,boy
1964,Martin,17.0,boy
1964,Phillip,16.0,boy
1964,Russell,16.0,boy
1964,Alan,15.0,boy
1964,Mike,15.0,boy
1964,Randy,15.0,boy
1964,Walter,15.0,boy
1964,Fred,14.0,boy
1964,Frederick,14.0,boy
1964,Matthew,14.0,boy
1964,Albert,13.0,boy
1964,Craig,13.0,boy
1964,Dale,13.0,boy
1964,Duane,13.0,boy
1964,Harold,13.0,boy
1964,Lawrence,13.0,boy
1964,Roger,13.0,boy
1964,Shawn,13.0,boy
1964,Eugene,12.0,boy
1964,Roy,12.0,boy
1964,Samuel,12.0,boy
1964,Troy,12.0,boy
1964,Vincent,12.0,boy
1964,Billy,11.0,boy
1964,Chris,11.0,boy
1964,Dean,11.0,boy
1964,Randall,11.0,boy
1964,Rodney,11.0,boy
1964,Danny,10.0,boy
1964,Jim,10.0,boy
1964,Joe,10.0,boy
1964,Johnny,10.0,boy
1964,Jonathan,10.0,boy
1964,Leonard,10.0,boy
1964,Micheal,10.0,boy
1964,Norman,10.0,boy
1964,Perry,10.0,boy
1964,Rick,10.0,boy
1964,Victor,10.0,boy
1964,Arthur,9.0,boy
1964,Benjamin,9.0,boy
1964,Dwayne,9.0,boy
1964,Gerald,9.0,boy
1964,Glen,9.0,boy
1964,Glenn,9.0,boy
1964,Harry,9.0,boy
1964,Jay,9.0,boy
1964,Wayne,9.0,boy
1964,Barry,8.0,boy
1964,Clifford,8.0,boy
1964,Joel,8.0,boy
1964,Ralph,8.0,boy
1964,Ricky,8.0,boy
1964,Stanley,8.0,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1964, ,,boy
1965,John,151.0,boy
1965,Michael,141.0,boy
1965,Robert,138.0,boy
1965,James,130.0,boy
1965,David,124.0,boy
1965,William,78.0,boy
1965,Richard,75.0,boy
1965,Mark,55.0,boy
1965,Daniel,52.0,boy
1965,Timothy,52.0,boy
1965,Steven,49.0,boy
1965,Thomas,49.0,boy
1965,Brian,43.0,boy
1965,Charles,40.0,boy
1965,Gary,40.0,boy
1965,Kevin,40.0,boy
1965,Eric,39.0,boy
1965,Kenneth,39.0,boy
1965,Jeffrey,38.0,boy
1965,Joseph,37.0,boy
1965,Paul,36.0,boy
1965,Christopher,35.0,boy
1965,Scott,35.0,boy
1965,Douglas,31.0,boy
1965,Edward,31.0,boy
1965,Anthony,29.0,boy
1965,Patrick,29.0,boy
1965,Donald,28.0,boy
1965,George,27.0,boy
1965,Frank,24.0,boy
1965,Matthew,24.0,boy
1965,Peter,24.0,boy
1965,Raymond,24.0,boy
1965,Gerald,23.0,boy
1965,Gregory,23.0,boy
1965,Ronald,23.0,boy
1965,Andrew,21.0,boy
1965,Carl,20.0,boy
