year,name,number,sex
1960,James,1867.0,boy
1960,Michael,1279.0,boy
1960,David,1187.0,boy
1960,John,1132.0,boy
1960,William,1109.0,boy
1960,Robert,1002.0,boy
1960,Charles,773.0,boy
1960,Kenneth,656.0,boy
1960,Timothy,636.0,boy
1960,Mark,564.0,boy
1960,Richard,517.0,boy
1960,Willie,515.0,boy
1960,Thomas,473.0,boy
1960,Terry,468.0,boy
1960,Gregory,446.0,boy
1960,Larry,436.0,boy
1960,Donald,429.0,boy
1960,Anthony,420.0,boy
1960,Johnny,403.0,boy
1960,Jerry,379.0,boy
1960,Gary,378.0,boy
1960,Joseph,377.0,boy
1960,Steven,362.0,boy
1960,Ronald,355.0,boy
1960,Jimmy,335.0,boy
1960,Ricky,331.0,boy
1960,Jeffrey,326.0,boy
1960,George,312.0,boy
1960,Randy,307.0,boy
1960,Bobby,306.0,boy
1960,Billy,293.0,boy
1960,Jeffery,283.0,boy
1960,Dennis,263.0,boy
1960,Tony,262.0,boy
1960,Phillip,254.0,boy
1960,Danny,247.0,boy
1960,Paul,243.0,boy
1960,Edward,237.0,boy
1960,Ronnie,215.0,boy
1960,Tommy,212.0,boy
1960,Joe,201.0,boy
1960,Daniel,200.0,boy
1960,Eddie,197.0,boy
1960,Randall,196.0,boy
1960,Stephen,194.0,boy
1960,Carl,193.0,boy
1960,Barry,187.0,boy
1960,Keith,186.0,boy
1960,Steve,186.0,boy
1960,Henry,185.0,boy
1960,Roger,185.0,boy
1960,Christopher,183.0,boy
1960,Douglas,175.0,boy
1960,Stanley,172.0,boy
1960,Micheal,171.0,boy
1960,Mike,171.0,boy
1960,Rickey,170.0,boy
1960,Walter,167.0,boy
1960,Samuel,162.0,boy
1960,Reginald,159.0,boy
1960,Curtis,156.0,boy
1960,Frank,152.0,boy
1960,Raymond,146.0,boy
1960,Bruce,140.0,boy
1960,Roy,137.0,boy
1960,Rodney,134.0,boy
1960,Tim,133.0,boy
1960,Darryl,130.0,boy
1960,Eric,129.0,boy
1960,Harold,124.0,boy
1960,Kevin,124.0,boy
1960,Brian,123.0,boy
1960,Arthur,122.0,boy
1960,Marvin,122.0,boy
1960,Alan,119.0,boy
1960,Albert,117.0,boy
1960,Gerald,110.0,boy
1960,Calvin,107.0,boy
1960,Joel,107.0,boy
1960,Scott,105.0,boy
1960,Melvin,104.0,boy
1960,Lee,103.0,boy
1960,Wayne,100.0,boy
1960,Jeff,99.0,boy
1960,Alvin,97.0,boy
1960,Chris,97.0,boy
1960,Darrell,96.0,boy
1960,Ralph,96.0,boy
1960,Clarence,94.0,boy
1960,Russell,94.0,boy
1960,Greg,92.0,boy
1960,Donnie,91.0,boy
1960,Glenn,91.0,boy
1960,Jerome,90.0,boy
1960,Roderick,89.0,boy
1960,Charlie,87.0,boy
1960,Andrew,86.0,boy
1960,Dwight,83.0,boy
1960,Perry,80.0,boy
1960,Patrick,79.0,boy
1960, ,,boy
1961,James,1802.0,boy
1961,Michael,1285.0,boy
1961,John,1189.0,boy
1961,David,1172.0,boy
1961,Robert,1030.0,boy
1961,William,1004.0,boy
1961,Charles,783.0,boy
1961,Kenneth,644.0,boy
1961,Mark,617.0,boy
1961,Timothy,546.0,boy
1961,Richard,520.0,boy
1961,Gregory,509.0,boy
1961,Terry,506.0,boy
1961,Thomas,492.0,boy
1961,Willie,446.0,boy
1961,Anthony,418.0,boy
1961,Jerry,408.0,boy
1961,Jeffrey,401.0,boy
1961,Larry,399.0,boy
1961,Donald,396.0,boy
1961,Gary,378.0,boy
1961,Johnny,363.0,boy
1961,Jeffery,349.0,boy
1961,Joseph,341.0,boy
1961,Ricky,328.0,boy
1961,Jimmy,327.0,boy
1961,Billy,320.0,boy
1961,Steven,313.0,boy
1961,George,308.0,boy
1961,Ronald,303.0,boy
1961,Danny,281.0,boy
1961,Christopher,277.0,boy
1961,Paul,274.0,boy
1961,Phillip,265.0,boy
1961,Randy,256.0,boy
1961,Tony,250.0,boy
1961,Bobby,240.0,boy
1961,Edward,218.0,boy
1961,Eddie,213.0,boy
1961,Dennis,211.0,boy
1961,Stephen,209.0,boy
1961,Barry,206.0,boy
1961,Roger,203.0,boy
1961,Tommy,188.0,boy
1961,Ronnie,186.0,boy
1961,Keith,185.0,boy
1961,Darryl,182.0,boy
1961,Henry,181.0,boy
1961,Joe,181.0,boy
1961,Carl,176.0,boy
1961,Reginald,176.0,boy
1961,Steve,175.0,boy
1961,Douglas,172.0,boy
1961,Daniel,171.0,boy
1961,Stanley,170.0,boy
1961,Curtis,167.0,boy
1961,Rickey,163.0,boy
1961,Randall,161.0,boy
1961,Samuel,160.0,boy
1961,Mike,155.0,boy
1961,Micheal,154.0,boy
1961,Walter,149.0,boy
1961,Frank,141.0,boy
1961,Alan,140.0,boy
1961,Kevin,138.0,boy
1961,Eric,135.0,boy
1961,Scott,135.0,boy
1961,Brian,133.0,boy
1961,Bruce,133.0,boy
1961,Harold,133.0,boy
1961,Jeff,133.0,boy
1961,Roy,131.0,boy
1961,Andrew,130.0,boy
1961,Arthur,128.0,boy
1961,Gerald,120.0,boy
1961,Rodney,120.0,boy
1961,Russell,120.0,boy
