year,name,number,sex
1960,James,865.0,boy
1960,David,706.0,boy
1960,Michael,660.0,boy
1960,John,549.0,boy
1960,Robert,540.0,boy
1960,Charles,475.0,boy
1960,William,437.0,boy
1960,Mark,373.0,boy
1960,Terry,311.0,boy
1960,Kenneth,303.0,boy
1960,Larry,280.0,boy
1960,Jerry,271.0,boy
1960,Richard,265.0,boy
1960,Gary,258.0,boy
1960,Ricky,254.0,boy
1960,Jimmy,252.0,boy
1960,Billy,236.0,boy
1960,Timothy,222.0,boy
1960,Donald,217.0,boy
1960,Bobby,212.0,boy
1960,Steven,207.0,boy
1960,Thomas,202.0,boy
1960,Randy,197.0,boy
1960,Johnny,191.0,boy
1960,Tony,187.0,boy
1960,Danny,186.0,boy
1960,Ronald,178.0,boy
1960,Gregory,167.0,boy
1960,Paul,166.0,boy
1960,Dennis,160.0,boy
1960,Rickey,149.0,boy
1960,Joe,145.0,boy
1960,Anthony,139.0,boy
1960,Mike,139.0,boy
1960,Willie,139.0,boy
1960,George,128.0,boy
1960,Carl,126.0,boy
1960,Kevin,126.0,boy
1960,Stephen,125.0,boy
1960,Tommy,125.0,boy
1960,Edward,122.0,boy
1960,Ronnie,120.0,boy
1960,Eddie,118.0,boy
1960,Roger,114.0,boy
1960,Roy,113.0,boy
1960,Phillip,105.0,boy
1960,Steve,105.0,boy
1960,Keith,102.0,boy
1960,Joseph,100.0,boy
1960,Randall,99.0,boy
1960,Curtis,97.0,boy
1960,Douglas,92.0,boy
1960,Jeffrey,89.0,boy
1960,Darrell,88.0,boy
1960,Calvin,83.0,boy
1960,Jeffery,82.0,boy
1960,Melvin,80.0,boy
1960,Harold,77.0,boy
1960,Raymond,76.0,boy
1960,Daniel,75.0,boy
1960,Stanley,75.0,boy
1960,Barry,74.0,boy
1960,Dale,71.0,boy
1960,Micheal,71.0,boy
1960,Brian,70.0,boy
1960,Christopher,70.0,boy
1960,Samuel,69.0,boy
1960,Scott,69.0,boy
1960,Russell,66.0,boy
1960,Bruce,65.0,boy
1960,Don,64.0,boy
1960,Walter,64.0,boy
1960,Alan,63.0,boy
1960,Tim,62.0,boy
1960,Ray,60.0,boy
1960,Gerald,59.0,boy
1960,Lee,58.0,boy
1960,Jeff,57.0,boy
1960,Greg,55.0,boy
1960,Rodney,53.0,boy
1960,Wayne,52.0,boy
1960,Donnie,51.0,boy
1960,Freddie,51.0,boy
1960,Kenny,51.0,boy
1960,Bill,50.0,boy
