year,name,number,sex
1960,David,710.0,boy
1960,Robert,600.0,boy
1960,Michael,598.0,boy
1960,John,550.0,boy
1960,James,504.0,boy
1960,Mark,485.0,boy
1960,Richard,436.0,boy
1960,William,306.0,boy
1960,Thomas,239.0,boy
1960,Steven,237.0,boy
1960,Daniel,212.0,boy
1960,Paul,202.0,boy
1960,Scott,196.0,boy
1960,Charles,186.0,boy
1960,Mike,178.0,boy
1960,Ronald,169.0,boy
1960,Kevin,164.0,boy
1960,Kenneth,159.0,boy
1960,Timothy,155.0,boy
1960,Gary,153.0,boy
1960,Larry,152.0,boy
1960,Joseph,147.0,boy
1960,Donald,143.0,boy
1960,George,140.0,boy
1960,Edward,137.0,boy
1960,Steve,136.0,boy
1960,Frank,134.0,boy
1960,Joe,132.0,boy
1960,Brian,128.0,boy
1960,Anthony,122.0,boy
1960,Danny,117.0,boy
1960,Jerry,117.0,boy
1960,Dennis,116.0,boy
1960,Raymond,116.0,boy
1960,Gregory,114.0,boy
1960,Douglas,104.0,boy
1960,Randy,104.0,boy
1960,Jeffrey,102.0,boy
1960,Tony,98.0,boy
1960,Terry,94.0,boy
1960,Christopher,91.0,boy
1960,Stephen,91.0,boy
1960,Johnny,85.0,boy
1960,Jose,85.0,boy
1960,Henry,83.0,boy
1960,Ricky,83.0,boy
1960,Jeff,81.0,boy
1960,Arthur,75.0,boy
1960,Eric,74.0,boy
1960,Patrick,74.0,boy
1960,Roger,74.0,boy
1960,Manuel,73.0,boy
1960,Jim,72.0,boy
1960,Bruce,71.0,boy
1960,Gilbert,68.0,boy
1960,Victor,68.0,boy
1960,Albert,67.0,boy
1960,Ernest,67.0,boy
1960,Keith,64.0,boy
1960,Ralph,64.0,boy
1960,Peter,63.0,boy
1960,Jimmy,62.0,boy
1960,Martin,61.0,boy
1960,Chris,60.0,boy
1960,Phillip,60.0,boy
1960,Roy,60.0,boy
1960,Russell,60.0,boy
1960,Tom,60.0,boy
1960,Tim,59.0,boy
1960,Matthew,58.0,boy
1960,Wayne,58.0,boy
1960,Craig,57.0,boy
1960,Dale,57.0,boy
1960,Eddie,57.0,boy
1960,Bobby,56.0,boy
1960,Carlos,56.0,boy
1960,Bill,55.0,boy
1960,Leonard,55.0,boy
1960,Jack,54.0,boy
1960,Fred,53.0,boy
1960,Billy,51.0,boy
1960,Greg,51.0,boy
1960,Alex,50.0,boy
1960,Bryan,50.0,boy
1960,Ray,50.0,boy
1960,Ruben,49.0,boy
1960,Carl,48.0,boy
1960,Curtis,47.0,boy
1960,Jay,47.0,boy
1960,Samuel,47.0,boy
1960,Andrew,46.0,boy
1960,Lawrence,46.0,boy
1960,Tommy,46.0,boy
1960,Walter,46.0,boy
1960,Alan,44.0,boy
1960,Alfred,44.0,boy
1960,Jesse,44.0,boy
1960,Juan,44.0,boy
1960,Mario,43.0,boy
1960,Randall,43.0,boy
1960,Ronnie,43.0,boy
1960, ,,boy
1961,David,713.0,boy
1961,Robert,632.0,boy
1961,Michael,580.0,boy
1961,John,575.0,boy
1961,James,485.0,boy
1961,Mark,443.0,boy
1961,Richard,392.0,boy
1961,William,281.0,boy
1961,Daniel,249.0,boy
1961,Steven,238.0,boy
1961,Thomas,209.0,boy
1961,Paul,199.0,boy
1961,Charles,194.0,boy
1961,Scott,184.0,boy
1961,Kevin,183.0,boy
1961,Mike,174.0,boy
1961,Kenneth,166.0,boy
1961,Ronald,161.0,boy
1961,Joseph,156.0,boy
1961,Gary,152.0,boy
1961,Timothy,148.0,boy
1961,Larry,144.0,boy
1961,Jeffrey,142.0,boy
1961,Frank,141.0,boy
1961,Brian,140.0,boy
1961,Gregory,138.0,boy
1961,Donald,135.0,boy
1961,Raymond,132.0,boy
1961,Joe,129.0,boy
1961,Anthony,123.0,boy
1961,Edward,122.0,boy
1961,Jerry,122.0,boy
1961,Danny,120.0,boy
1961,Steve,112.0,boy
1961,Patrick,106.0,boy
1961,Stephen,104.0,boy
1961,George,102.0,boy
1961,Christopher,99.0,boy
1961,Douglas,95.0,boy
1961,Tony,95.0,boy
1961,Manuel,91.0,boy
1961,Eric,89.0,boy
1961,Randy,89.0,boy
1961,Albert,87.0,boy
1961,Terry,87.0,boy
1961,Jose,86.0,boy
1961,Chris,84.0,boy
1961,Johnny,80.0,boy
1961,Peter,77.0,boy
1961,Jeff,76.0,boy
1961,Dennis,75.0,boy
1961,Phillip,71.0,boy
1961,Arthur,70.0,boy
1961,Andrew,69.0,boy
1961,Ricky,69.0,boy
1961,Craig,66.0,boy
1961,Gilbert,66.0,boy
1961,Keith,66.0,boy
1961,Greg,65.0,boy
1961,Roger,65.0,boy
1961,Ruben,65.0,boy
1961,Victor,65.0,boy
1961,Jim,62.0,boy
1961,Henry,61.0,boy
1961,Todd,61.0,boy
1961,Bruce,58.0,boy
1961,Carl,58.0,boy
1961,Eddie,58.0,boy
1961,Jimmy,58.0,boy
1961,Bill,57.0,boy
1961,Wayne,57.0,boy
1961,Martin,56.0,boy
1961,Jeffery,55.0,boy
1961,Ralph,53.0,boy
1961,Tim,52.0,boy
1961,Alan,51.0,boy
1961,Roy,51.0,boy
1961,Tom,51.0,boy
1961,Troy,50.0,boy
1961,Billy,49.0,boy
1961,Jesse,49.0,boy
1961,Leonard,49.0,boy
1961,Carlos,48.0,boy
1961,Matthew,48.0,boy
1961,Russell,47.0,boy
1961,Bryan,46.0,boy
1961,Jack,46.0,boy
1961,Jesus,46.0,boy
1961,Ray,46.0,boy
1961,Ernest,45.0,boy
1961,Jon,44.0,boy
1961,Gerald,43.0,boy
1961,Luis,43.0,boy
1961,Tommy,43.0,boy
1961,Barry,42.0,boy
1961,Juan,41.0,boy
1961,Samuel,41.0,boy
1961,Vincent,41.0,boy
1961,Allen,40.0,boy
1961,Arnold,40.0,boy
1961,Jay,40.0,boy
1961,Walter,40.0,boy
1962,David,706.0,boy
1962,Michael,604.0,boy
1962,John,597.0,boy
1962,Robert,591.0,boy
1962,James,460.0,boy
1962,Mark,440.0,boy
1962,Richard,393.0,boy
1962,William,285.0,boy
1962,Scott,252.0,boy
1962,Steven,246.0,boy
1962,Daniel,243.0,boy
1962,Charles,224.0,boy
1962,Thomas,205.0,boy
1962,Paul,190.0,boy
1962,Joseph,181.0,boy
1962,Ronald,171.0,boy
1962,Timothy,164.0,boy
1962,Kevin,163.0,boy
1962,Kenneth,161.0,boy
1962,Joe,158.0,boy
1962,Jeffrey,154.0,boy
1962,Brian,153.0,boy
1962,Frank,151.0,boy
1962,Donald,143.0,boy
1962,Gary,143.0,boy
1962,Larry,138.0,boy
1962,George,133.0,boy
1962,Mike,131.0,boy
1962,Edward,129.0,boy
1962,Anthony,128.0,boy
1962,Steve,124.0,boy
1962,Christopher,123.0,boy
1962,Jerry,122.0,boy
1962,Raymond,114.0,boy
1962,Danny,111.0,boy
1962,Gregory,111.0,boy
1962,Douglas,104.0,boy
1962,Eric,104.0,boy
1962,Randy,104.0,boy
1962,Stephen,101.0,boy
1962,Jose,92.0,boy
1962,Patrick,92.0,boy
1962,Jeff,91.0,boy
1962,Todd,80.0,boy
1962,Phillip,79.0,boy
1962,Gilbert,76.0,boy
1962,Tony,75.0,boy
