year,name,number,sex
1960,David,7919.0,boy
1960,Michael,7392.0,boy
1960,John,6533.0,boy
1960,Robert,6430.0,boy
1960,Mark,5543.0,boy
1960,James,5130.0,boy
1960,Richard,4190.0,boy
1960,Steven,3584.0,boy
1960,William,3257.0,boy
1960,Daniel,2540.0,boy
1960,Thomas,2482.0,boy
1960,Kevin,2405.0,boy
1960,Paul,2215.0,boy
1960,Kenneth,2186.0,boy
1960,Jeffrey,2174.0,boy
1960,Scott,2098.0,boy
1960,Ronald,2077.0,boy
1960,Brian,2042.0,boy
1960,Timothy,2015.0,boy
1960,Charles,1930.0,boy
1960,Gary,1907.0,boy
1960,Donald,1839.0,boy
1960,Joseph,1778.0,boy
1960,Gregory,1752.0,boy
1960,Anthony,1715.0,boy
1960,Mike,1704.0,boy
1960,Christopher,1553.0,boy
1960,Eric,1470.0,boy
1960,Steve,1402.0,boy
1960,Edward,1372.0,boy
1960,Craig,1335.0,boy
1960,Dennis,1253.0,boy
1960,Larry,1251.0,boy
1960,Stephen,1241.0,boy
1960,Frank,1181.0,boy
1960,Randy,1162.0,boy
1960,Douglas,1150.0,boy
1960,George,1101.0,boy
1960,Jeff,1085.0,boy
1960,Patrick,995.0,boy
1960,Raymond,984.0,boy
1960,Keith,965.0,boy
1960,Jerry,917.0,boy
1960,Peter,906.0,boy
1960,Jim,885.0,boy
1960,Joe,835.0,boy
1960,Bruce,812.0,boy
1960,Matthew,811.0,boy
1960,Chris,803.0,boy
1960,Danny,786.0,boy
1960,Jose,755.0,boy
1960,Tim,752.0,boy
1960,Andrew,738.0,boy
1960,Tony,730.0,boy
1960,Alan,719.0,boy
1960,Russell,691.0,boy
1960,Terry,689.0,boy
1960,Greg,680.0,boy
1960,Martin,661.0,boy
1960,Roger,646.0,boy
1960,Jon,636.0,boy
1960,Rick,632.0,boy
1960,Dale,631.0,boy
1960,Bill,608.0,boy
1960,Phillip,606.0,boy
1960,Tom,606.0,boy
1960,Victor,602.0,boy
1960,Ricky,594.0,boy
1960,Randall,593.0,boy
1960,Arthur,575.0,boy
1960,Carl,568.0,boy
1960,Lawrence,544.0,boy
1960,Jeffery,516.0,boy
1960,Bryan,502.0,boy
1960,Albert,493.0,boy
1960,Dan,491.0,boy
1960,Glenn,480.0,boy
1960,Wayne,470.0,boy
1960,Jack,467.0,boy
1960,Todd,464.0,boy
