year,name,number,sex
1960,David,899.0,boy
1960,Michael,798.0,boy
1960,John,735.0,boy
1960,Robert,705.0,boy
1960,Mark,650.0,boy
1960,James,627.0,boy
1960,Richard,428.0,boy
1960,William,361.0,boy
1960,Steven,359.0,boy
1960,Daniel,322.0,boy
1960,Kevin,310.0,boy
1960,Thomas,308.0,boy
1960,Scott,294.0,boy
1960,Timothy,293.0,boy
1960,Kenneth,290.0,boy
1960,Joseph,261.0,boy
1960,Gary,253.0,boy
1960,Mike,250.0,boy
1960,Jeffrey,249.0,boy
1960,Paul,244.0,boy
1960,Brian,233.0,boy
1960,Donald,226.0,boy
1960,Gregory,221.0,boy
1960,Douglas,218.0,boy
1960,Ronald,216.0,boy
1960,Randy,214.0,boy
1960,Charles,212.0,boy
1960,Anthony,211.0,boy
1960,Steve,194.0,boy
1960,Larry,179.0,boy
1960,Stephen,154.0,boy
1960,Patrick,143.0,boy
1960,Eric,142.0,boy
1960,Terry,141.0,boy
1960,Christopher,138.0,boy
1960,Dennis,138.0,boy
1960,Edward,136.0,boy
1960,Craig,127.0,boy
1960,Jerry,121.0,boy
1960,George,118.0,boy
1960,Bruce,115.0,boy
1960,Frank,115.0,boy
1960,Chris,114.0,boy
1960,Jeff,114.0,boy
1960,Roger,114.0,boy
1960,Raymond,112.0,boy
1960,Dale,110.0,boy
1960,Joe,110.0,boy
1960,Alan,105.0,boy
1960,Randall,104.0,boy
1960,Tim,104.0,boy
1960,Ricky,103.0,boy
1960,Jim,101.0,boy
1960,Keith,98.0,boy
1960,Danny,93.0,boy
1960,Rodney,93.0,boy
1960,Andrew,92.0,boy
1960,Matthew,91.0,boy
1960,Greg,88.0,boy
1960,Martin,81.0,boy
1960,Russell,80.0,boy
1960,Tony,80.0,boy
1960,Tom,79.0,boy
1960,Bradley,78.0,boy
1960,Dan,78.0,boy
1960,Peter,77.0,boy
1960,Rick,77.0,boy
1960,Carl,71.0,boy
1960,Jay,71.0,boy
1960,Gerald,70.0,boy
1960,Lawrence,70.0,boy
1960,Phillip,70.0,boy
1960,Wayne,69.0,boy
1960,Allen,68.0,boy
1960,Bill,67.0,boy
1960,Dave,66.0,boy
1960,Jack,65.0,boy
1960,Todd,64.0,boy
1960,Dean,62.0,boy
1960,Arthur,61.0,boy
1960,Jimmy,61.0,boy
1960,Bryan,60.0,boy
1960,Don,60.0,boy
1960,Kirk,59.0,boy
1960,Ronnie,59.0,boy
1960,Kelly,58.0,boy
1960,Kent,55.0,boy
1960,Bob,54.0,boy
1960,Jeffery,54.0,boy
1960,Johnny,54.0,boy
1960,Albert,53.0,boy
1960,Leonard,52.0,boy
1960,Ralph,51.0,boy
1960,Billy,50.0,boy
1960,Curtis,50.0,boy
1960,Roy,50.0,boy
1960,Glenn,49.0,boy
1960,Tracy,49.0,boy
1960,Fred,48.0,boy
1960,Joel,48.0,boy
1960,Micheal,48.0,boy
1961,David,925.0,boy
1961,Michael,909.0,boy
1961,John,769.0,boy
1961,Robert,751.0,boy
1961,Mark,709.0,boy
1961,James,607.0,boy
1961,Richard,461.0,boy
1961,William,400.0,boy
1961,Steven,369.0,boy
1961,Kevin,368.0,boy
1961,Scott,358.0,boy
1961,Daniel,355.0,boy
1961,Thomas,289.0,boy
1961,Jeffrey,277.0,boy
1961,Paul,267.0,boy
1961,Kenneth,261.0,boy
1961,Gary,258.0,boy
1961,Charles,243.0,boy
1961,Donald,243.0,boy
1961,Timothy,240.0,boy
1961,Mike,230.0,boy
1961,Ronald,226.0,boy
1961,Douglas,222.0,boy
1961,Brian,219.0,boy
1961,Gregory,214.0,boy
1961,Joseph,213.0,boy
1961,Christopher,192.0,boy
1961,Randy,189.0,boy
1961,Larry,185.0,boy
1961,Anthony,177.0,boy
1961,Steve,165.0,boy
1961,Stephen,156.0,boy
1961,Patrick,155.0,boy
1961,Edward,143.0,boy
1961,Jerry,143.0,boy
1961,Chris,136.0,boy
1961,Eric,136.0,boy
1961,Jeff,130.0,boy
1961,Craig,123.0,boy
1961,Terry,122.0,boy
1961,Frank,121.0,boy
1961,Greg,121.0,boy
1961,Joe,119.0,boy
1961,Todd,119.0,boy
1961,Dennis,118.0,boy
1961,Bruce,114.0,boy
1961,Roger,111.0,boy
1961,Raymond,109.0,boy
1961,Dale,108.0,boy
1961,George,107.0,boy
1961,Alan,106.0,boy
1961,Ricky,105.0,boy
1961,Gerald,104.0,boy
1961,Keith,102.0,boy
1961,Randall,98.0,boy
1961,Jim,96.0,boy
1961,Tim,96.0,boy
1961,Danny,95.0,boy
1961,Tom,93.0,boy
1961,Matthew,90.0,boy
1961,Troy,90.0,boy
1961,Russell,89.0,boy
1961,Bill,88.0,boy
1961,Andrew,82.0,boy
1961,Wayne,80.0,boy
1961,Bradley,77.0,boy
1961,Bryan,77.0,boy
1961,Dean,76.0,boy
1961,Rick,76.0,boy
1961,Jack,75.0,boy
1961,Jay,75.0,boy
1961,Rodney,75.0,boy
1961,Martin,74.0,boy
1961,Peter,74.0,boy
1961,Kirk,68.0,boy
1961,Kelly,66.0,boy
1961,Phillip,65.0,boy
1961,Jon,64.0,boy
1961,Kent,64.0,boy
1961,Jeffery,63.0,boy
1961,Lawrence,62.0,boy
1961,Ron,62.0,boy
1961,Tony,62.0,boy
1961,Brad,59.0,boy
1961,Dan,58.0,boy
1961,Carl,57.0,boy
1961,Johnny,56.0,boy
1961,Kurt,56.0,boy
1961,Leonard,56.0,boy
1961,Albert,55.0,boy
1961,Glenn,55.0,boy
1961,Ronnie,55.0,boy
1961,Jimmy,53.0,boy
1961,Ralph,51.0,boy
1961,Allen,50.0,boy
1961,Manuel,49.0,boy
1961,Roy,49.0,boy
1961,Arthur,48.0,boy
1961,Stanley,47.0,boy
1961,Bob,46.0,boy
1961,Duane,46.0,boy
1961,Philip,46.0,boy
1961,Walter,46.0,boy
1962,David,912.0,boy
1962,Michael,838.0,boy
1962,John,788.0,boy
1962,Robert,711.0,boy
1962,James,655.0,boy
1962,Mark,640.0,boy
1962,Scott,439.0,boy
1962,Richard,420.0,boy
1962,Steven,376.0,boy
1962,William,361.0,boy
1962,Kevin,338.0,boy
1962,Daniel,288.0,boy
1962,Thomas,286.0,boy
1962,Jeffrey,284.0,boy
1962,Timothy,271.0,boy
1962,Joseph,263.0,boy
1962,Brian,256.0,boy
1962,Kenneth,256.0,boy
1962,Gary,246.0,boy
1962,Charles,243.0,boy
1962,Donald,242.0,boy
1962,Paul,240.0,boy
1962,Gregory,221.0,boy
1962,Ronald,218.0,boy
1962,Anthony,212.0,boy
1962,Mike,201.0,boy
1962,Douglas,199.0,boy
1962,Christopher,183.0,boy
1962,Randy,168.0,boy
1962,Stephen,156.0,boy
1962,Todd,151.0,boy
1962,Steve,150.0,boy
1962,Eric,148.0,boy
1962,Larry,144.0,boy
1962,Patrick,131.0,boy
1962,Joe,130.0,boy
1962,Terry,130.0,boy
1962,Chris,128.0,boy
1962,Edward,121.0,boy
1962,Jerry,121.0,boy
1962,Jeff,120.0,boy
1962,Keith,113.0,boy
1962,Dennis,112.0,boy
1962,Matthew,110.0,boy
1962,Andrew,109.0,boy
1962,Frank,106.0,boy
1962,Troy,106.0,boy
1962,Jim,104.0,boy
1962,Roger,102.0,boy
1962,Raymond,101.0,boy
1962,Bruce,99.0,boy
1962,Dale,99.0,boy
1962,Danny,97.0,boy
1962,Russell,97.0,boy
1962,Alan,95.0,boy
1962,George,93.0,boy
1962,Craig,90.0,boy
1962,Bradley,88.0,boy
1962,Greg,87.0,boy
1962,Randall,86.0,boy
1962,Rick,83.0,boy
1962,Jay,82.0,boy
1962,Wayne,82.0,boy
1962,Tom,79.0,boy
1962,Dean,78.0,boy
1962,Vincent,75.0,boy
1962,Rodney,73.0,boy
1962,Tim,73.0,boy
1962,Jeffery,72.0,boy
1962,Tony,72.0,boy
1962,Gerald,70.0,boy
1962,Ricky,70.0,boy
1962,Jon,67.0,boy
1962,Bill,66.0,boy
1962,Curtis,66.0,boy
1962,Kent,66.0,boy
1962,Carl,62.0,boy
1962,Glenn,62.0,boy
1962,Kirk,62.0,boy
1962,Martin,62.0,boy
1962,Bryan,61.0,boy
1962,Peter,61.0,boy
1962,Jack,60.0,boy
1962,Lawrence,59.0,boy
1962,Allen,58.0,boy
1962,Billy,57.0,boy
1962,Dan,57.0,boy
1962,Arthur,56.0,boy
1962,Phillip,55.0,boy
1962,Samuel,55.0,boy
1962,Leonard,54.0,boy
1962,Roy,54.0,boy
1962,Barry,51.0,boy
1962,Dave,51.0,boy
1962,Jimmy,50.0,boy
1962,Kurt,50.0,boy
1962,Victor,50.0,boy
1962,Bob,47.0,boy
1962,Kelly,47.0,boy
1962,Don,46.0,boy
1962, ,,boy
1963,Michael,867.0,boy
1963,David,831.0,boy
1963,John,733.0,boy
1963,Robert,707.0,boy
1963,James,654.0,boy
1963,Mark,567.0,boy
1963,Richard,439.0,boy
1963,Scott,429.0,boy
1963,William,364.0,boy
1963,Kevin,350.0,boy
1963,Steven,336.0,boy
1963,Thomas,305.0,boy
1963,Jeffrey,300.0,boy
1963,Daniel,276.0,boy
1963,Timothy,253.0,boy
1963,Brian,242.0,boy
1963,Paul,241.0,boy
1963,Joseph,239.0,boy
1963,Charles,236.0,boy
1963,Kenneth,228.0,boy
1963,Gregory,224.0,boy
1963,Gary,221.0,boy
1963,Ronald,215.0,boy
1963,Christopher,212.0,boy
1963,Mike,207.0,boy
1963,Donald,201.0,boy
1963,Todd,185.0,boy
1963,Douglas,182.0,boy
1963,Anthony,176.0,boy
1963,Randy,164.0,boy
1963,Eric,161.0,boy
1963,Edward,153.0,boy
1963,Patrick,151.0,boy
1963,Stephen,144.0,boy
1963,Troy,139.0,boy
1963,Steve,137.0,boy
1963,Andrew,130.0,boy
1963,Larry,130.0,boy
1963,Jeff,124.0,boy
1963,Chris,122.0,boy
1963,Frank,116.0,boy
1963,Terry,116.0,boy
1963,Jerry,113.0,boy
1963,Dennis,111.0,boy
1963,Joe,104.0,boy
1963,Matthew,104.0,boy
1963,George,102.0,boy
1963,Keith,96.0,boy
1963,Russell,96.0,boy
1963,Danny,94.0,boy
1963,Roger,93.0,boy
1963,Phillip,91.0,boy
1963,Bradley,89.0,boy
1963,Dale,89.0,boy
1963,Randall,88.0,boy
1963,Tony,88.0,boy
1963,Alan,86.0,boy
1963,Bruce,85.0,boy
1963,Ricky,85.0,boy
1963,Greg,83.0,boy
1963,Craig,80.0,boy
1963,Gerald,79.0,boy
1963,Raymond,79.0,boy
1963,Tim,76.0,boy
1963,Jim,75.0,boy
1963,Martin,75.0,boy
1963,Jay,74.0,boy
1963,Shawn,73.0,boy
1963,Tom,72.0,boy
1963,Vincent,72.0,boy
1963,Dean,69.0,boy
1963,Peter,68.0,boy
1963,Rick,68.0,boy
1963,Rodney,68.0,boy
1963,Wayne,67.0,boy
1963,Kent,65.0,boy
1963,Bryan,64.0,boy
1963,Bill,61.0,boy
1963,Arthur,59.0,boy
1963,Jon,59.0,boy
1963,Jeffery,58.0,boy
1963,Allen,57.0,boy
1963,Jack,56.0,boy
1963,Dan,55.0,boy
1963,Glenn,55.0,boy
1963,Kirk,52.0,boy
1963,Kurt,52.0,boy
1963,Billy,51.0,boy
1963,Kelly,50.0,boy
1963,Curtis,49.0,boy
1963,Victor,49.0,boy
1963,Carl,48.0,boy
1963,Darrell,48.0,boy
1963,Jimmy,48.0,boy
1963,Philip,47.0,boy
1963,Roy,47.0,boy
1963,Brad,46.0,boy
1963,Duane,46.0,boy
1963,Lawrence,45.0,boy
1963,Ron,45.0,boy
1963, ,,boy
1963, ,,boy
1963, ,,boy
1964,Michael,813.0,boy
1964,John,758.0,boy
1964,David,746.0,boy
1964,Robert,703.0,boy
1964,James,603.0,boy
1964,Mark,523.0,boy
1964,Richard,427.0,boy
1964,Scott,383.0,boy
1964,William,354.0,boy
1964,Kevin,340.0,boy
1964,Steven,335.0,boy
1964,Thomas,276.0,boy
1964,Daniel,272.0,boy
1964,Joseph,269.0,boy
1964,Jeffrey,267.0,boy
1964,Paul,264.0,boy
1964,Kenneth,253.0,boy
1964,Timothy,237.0,boy
1964,Brian,228.0,boy
1964,Gregory,226.0,boy
1964,Gary,219.0,boy
1964,Charles,208.0,boy
1964,Christopher,208.0,boy
1964,Donald,196.0,boy
1964,Todd,195.0,boy
1964,Patrick,184.0,boy
1964,Ronald,181.0,boy
1964,Anthony,177.0,boy
1964,Douglas,175.0,boy
1964,Eric,165.0,boy
1964,Mike,165.0,boy
1964,Stephen,155.0,boy
1964,Randy,146.0,boy
1964,Steve,144.0,boy
1964,Andrew,142.0,boy
1964,Larry,134.0,boy
1964,Troy,130.0,boy
1964,Edward,128.0,boy
1964,Matthew,122.0,boy
1964,Jeff,114.0,boy
