year,name,number,sex
1960,John,1386.0,boy
1960,Michael,1377.0,boy
1960,Robert,1335.0,boy
1960,David,1298.0,boy
1960,James,1015.0,boy
1960,Mark,933.0,boy
1960,Richard,813.0,boy
1960,William,806.0,boy
1960,Thomas,732.0,boy
1960,Joseph,674.0,boy
1960,Paul,530.0,boy
1960,Steven,521.0,boy
1960,Jeffrey,456.0,boy
1960,Peter,451.0,boy
1960,Kevin,412.0,boy
1960,Brian,411.0,boy
1960,Edward,383.0,boy
1960,Daniel,378.0,boy
1960,Stephen,374.0,boy
1960,Timothy,353.0,boy
1960,Kenneth,338.0,boy
1960,Christopher,337.0,boy
1960,Scott,321.0,boy
1960,Gary,305.0,boy
1960,Anthony,300.0,boy
1960,Charles,299.0,boy
1960,Donald,292.0,boy
1960,Ronald,273.0,boy
1960,George,255.0,boy
1960,Frank,223.0,boy
1960,Gregory,222.0,boy
1960,Douglas,213.0,boy
1960,Raymond,194.0,boy
1960,Andrew,189.0,boy
1960,Bruce,186.0,boy
1960,Keith,163.0,boy
1960,Alan,155.0,boy
1960,Dennis,153.0,boy
1960,Matthew,146.0,boy
1960,Patrick,141.0,boy
1960,Eric,139.0,boy
1960,Carl,130.0,boy
1960,Craig,129.0,boy
1960,Wayne,121.0,boy
1960,Louis,117.0,boy
1960,Lawrence,114.0,boy
1960,Philip,108.0,boy
1960,Jonathan,106.0,boy
1960,Roger,101.0,boy
1960,Walter,101.0,boy
1960,Arthur,97.0,boy
1960,Glenn,97.0,boy
1960,Albert,91.0,boy
1960,Chris,87.0,boy
1960,Gerald,85.0,boy
1960,Vincent,83.0,boy
1960,Martin,82.0,boy
1960,Russell,82.0,boy
1960,Ralph,81.0,boy
1960,Larry,76.0,boy
1960,Jay,73.0,boy
1960,Eugene,68.0,boy
1960,Frederick,67.0,boy
1960,Todd,67.0,boy
1960,Francis,66.0,boy
1960,Randy,66.0,boy
1960,Leonard,63.0,boy
1960,Edwin,60.0,boy
1960,Henry,58.0,boy
1960,Nicholas,57.0,boy
1960,Marc,55.0,boy
1960,Mike,55.0,boy
1960,Barry,52.0,boy
1960,Howard,50.0,boy
1960,Steve,50.0,boy
1960,Shawn,49.0,boy
1960,Theodore,49.0,boy
1960,Dean,48.0,boy
1960,Allen,47.0,boy
1960,Jeff,47.0,boy
1960,Phillip,47.0,boy
1960,Harold,46.0,boy
1960,Karl,45.0,boy
1960,Jon,44.0,boy
1960,Randall,44.0,boy
1960,Greg,43.0,boy
1960,Roy,43.0,boy
1960,Victor,43.0,boy
1960,Guy,42.0,boy
1960,Fred,41.0,boy
1960,Tom,41.0,boy
1960,Bryan,39.0,boy
1960,Danny,39.0,boy
1960,Harry,39.0,boy
1960,Kurt,39.0,boy
1960,Alfred,38.0,boy
1960,Dale,38.0,boy
1960,Ernest,37.0,boy
1960,Gordon,37.0,boy
1960,Jack,37.0,boy
1960,Norman,37.0,boy
1960,Stuart,37.0,boy
1961,Michael,1412.0,boy
1961,John,1408.0,boy
1961,David,1347.0,boy
1961,Robert,1317.0,boy
1961,James,1056.0,boy
1961,Mark,856.0,boy
1961,Richard,773.0,boy
1961,Thomas,763.0,boy
1961,William,755.0,boy
1961,Joseph,612.0,boy
1961,Paul,500.0,boy
1961,Jeffrey,487.0,boy
1961,Peter,465.0,boy
1961,Daniel,417.0,boy
1961,Steven,417.0,boy
1961,Kevin,389.0,boy
1961,Christopher,388.0,boy
1961,Scott,386.0,boy
1961,Brian,383.0,boy
1961,Edward,361.0,boy
1961,Timothy,357.0,boy
1961,Stephen,337.0,boy
1961,Gary,329.0,boy
1961,Kenneth,323.0,boy
1961,Charles,312.0,boy
1961,Anthony,311.0,boy
1961,Ronald,289.0,boy
1961,Donald,284.0,boy
1961,Gregory,269.0,boy
1961,George,222.0,boy
1961,Frank,221.0,boy
1961,Douglas,218.0,boy
1961,Andrew,215.0,boy
1961,Keith,184.0,boy
1961,Raymond,184.0,boy
1961,Bruce,180.0,boy
1961,Craig,150.0,boy
1961,Patrick,144.0,boy
1961,Alan,140.0,boy
1961,Eric,139.0,boy
1961,Matthew,138.0,boy
1961,Todd,133.0,boy
1961,Wayne,129.0,boy
1961,Glenn,127.0,boy
1961,Dennis,125.0,boy
1961,Philip,123.0,boy
1961,Lawrence,112.0,boy
1961,Carl,101.0,boy
1961,Jonathan,97.0,boy
1961,Louis,95.0,boy
1961,Roger,93.0,boy
1961,Russell,92.0,boy
1961,Vincent,91.0,boy
1961,Gerald,88.0,boy
1961,Walter,85.0,boy
1961,Francis,82.0,boy
1961,Ralph,81.0,boy
1961,Arthur,75.0,boy
1961,Chris,75.0,boy
1961,Frederick,72.0,boy
1961,Dean,71.0,boy
1961,Larry,66.0,boy
1961,Henry,65.0,boy
1961,Martin,65.0,boy
1961,Marc,63.0,boy
1961,Randy,63.0,boy
1961,Jay,62.0,boy
1961,Barry,59.0,boy
1961,Steve,59.0,boy
1961,Albert,57.0,boy
1961,Eugene,56.0,boy
1961,Jeff,56.0,boy
1961,Theodore,54.0,boy
1961,Harold,53.0,boy
1961,Sean,53.0,boy
1961,Leonard,51.0,boy
1961,Victor,51.0,boy
1961,Nicholas,50.0,boy
1961,Jeffery,48.0,boy
1961,Gregg,46.0,boy
1961,Dale,45.0,boy
1961,Glen,45.0,boy
1961,Kurt,45.0,boy
1961,Howard,44.0,boy
1961,Ricky,44.0,boy
1961,Roy,44.0,boy
1961,Jim,43.0,boy
1961,Samuel,43.0,boy
1961,Shawn,43.0,boy
1961,Alfred,42.0,boy
1961,Ernest,42.0,boy
1961,Mike,42.0,boy
1961,Darryl,41.0,boy
1961,Jon,39.0,boy
1961,Stuart,39.0,boy
1961,Clifford,38.0,boy
1961,Greg,38.0,boy
1961,Jose,38.0,boy
1961,Karl,38.0,boy
1961,Allen,37.0,boy
1961,Jerry,37.0,boy
1962,John,1427.0,boy
1962,Michael,1353.0,boy
1962,David,1272.0,boy
1962,Robert,1215.0,boy
1962,James,990.0,boy
1962,Mark,830.0,boy
1962,William,751.0,boy
1962,Thomas,721.0,boy
1962,Richard,718.0,boy
1962,Joseph,598.0,boy
1962,Scott,524.0,boy
1962,Jeffrey,503.0,boy
1962,Paul,495.0,boy
1962,Steven,453.0,boy
1962,Peter,412.0,boy
1962,Daniel,408.0,boy
1962,Kevin,406.0,boy
1962,Christopher,400.0,boy
1962,Brian,374.0,boy
1962,Edward,370.0,boy
1962,Stephen,365.0,boy
1962,Kenneth,345.0,boy
1962,Timothy,328.0,boy
1962,Anthony,319.0,boy
1962,Gary,310.0,boy
1962,Donald,271.0,boy
1962,Charles,254.0,boy
1962,Gregory,252.0,boy
1962,Ronald,247.0,boy
1962,Douglas,211.0,boy
1962,Andrew,188.0,boy
1962,Frank,184.0,boy
1962,George,174.0,boy
1962,Raymond,172.0,boy
1962,Glenn,169.0,boy
1962,Eric,162.0,boy
1962,Bruce,154.0,boy
1962,Todd,152.0,boy
1962,Keith,149.0,boy
1962,Matthew,140.0,boy
1962,Alan,133.0,boy
1962,Patrick,133.0,boy
1962,Vincent,122.0,boy
1962,Craig,120.0,boy
1962,Wayne,120.0,boy
1962,Lawrence,114.0,boy
1962,Philip,105.0,boy
1962,Dennis,103.0,boy
1962,Roger,99.0,boy
1962,Jonathan,95.0,boy
1962,Carl,91.0,boy
1962,Arthur,86.0,boy
1962,Dean,86.0,boy
1962,Louis,85.0,boy
1962,Walter,84.0,boy
1962,Gerald,83.0,boy
1962,Jay,83.0,boy
1962,Martin,79.0,boy
1962,Russell,78.0,boy
1962,Frederick,73.0,boy
1962,Francis,72.0,boy
1962,Marc,70.0,boy
1962,Ralph,70.0,boy
1962,Barry,65.0,boy
1962,Sean,64.0,boy
1962,Chris,63.0,boy
1962,Howard,61.0,boy
1962,Albert,60.0,boy
1962,Henry,60.0,boy
1962,Edwin,59.0,boy
1962,Harold,59.0,boy
1962,Kurt,58.0,boy
1962,Theodore,58.0,boy
1962,Nicholas,55.0,boy
1962,Jon,54.0,boy
1962,Leonard,54.0,boy
1962,Bryan,52.0,boy
1962,Larry,51.0,boy
1962,Allen,49.0,boy
1962,Glen,49.0,boy
1962,Shawn,49.0,boy
1962,Victor,49.0,boy
1962,Dale,48.0,boy
1962,Eugene,48.0,boy
1962,Salvatore,48.0,boy
1962,Mike,47.0,boy
1962,Karl,45.0,boy
