year,name,number,sex
1960,Michael,755.0,boy
1960,John,631.0,boy
1960,David,609.0,boy
1960,James,607.0,boy
1960,Robert,577.0,boy
1960,William,465.0,boy
1960,Mark,346.0,boy
1960,Thomas,345.0,boy
1960,Richard,321.0,boy
1960,Kevin,297.0,boy
1960,Anthony,291.0,boy
1960,Charles,261.0,boy
1960,Joseph,241.0,boy
1960,Kenneth,221.0,boy
1960,Paul,212.0,boy
1960,Timothy,212.0,boy
1960,Steven,210.0,boy
1960,Christopher,198.0,boy
1960,Gregory,184.0,boy
1960,Jeffrey,181.0,boy
1960,Stephen,173.0,boy
1960,Ronald,172.0,boy
1960,Donald,147.0,boy
1960,Daniel,143.0,boy
1960,Brian,141.0,boy
1960,George,141.0,boy
1960,Eric,133.0,boy
1960,Gary,133.0,boy
1960,Edward,132.0,boy
1960,Andrew,123.0,boy
1960,Keith,123.0,boy
1960,Peter,115.0,boy
1960,Darryl,92.0,boy
1960,Patrick,91.0,boy
1960,Douglas,90.0,boy
1960,Larry,89.0,boy
1960,Bruce,85.0,boy
1960,Scott,81.0,boy
1960,Raymond,80.0,boy
1960,Wayne,79.0,boy
1960,Dennis,75.0,boy
1960,Frank,74.0,boy
1960,Craig,73.0,boy
1960,Lawrence,66.0,boy
1960,Matthew,66.0,boy
1960,Tyrone,62.0,boy
1960,Alan,60.0,boy
1960,Carl,60.0,boy
1960,Walter,59.0,boy
1960,Andre,58.0,boy
1960,Reginald,57.0,boy
1960,Vincent,57.0,boy
1960,Roger,55.0,boy
1960,Samuel,54.0,boy
1960,Terry,52.0,boy
1960,Mike,51.0,boy
1960,Russell,51.0,boy
1960,Rodney,50.0,boy
1960,Arthur,49.0,boy
1960,Albert,48.0,boy
1960,Gerald,47.0,boy
1960,Willie,47.0,boy
1960,Henry,46.0,boy
1960,Jonathan,46.0,boy
1960,Ricky,45.0,boy
1960,Theodore,45.0,boy
1960,Philip,44.0,boy
1960,Steve,44.0,boy
1960,Francis,43.0,boy
1960,Tony,42.0,boy
1960,Curtis,41.0,boy
1960,Victor,41.0,boy
1960,Martin,40.0,boy
1960,Dwayne,38.0,boy
1960,Glenn,38.0,boy
1960,Harry,38.0,boy
1960,Jerry,38.0,boy
1960,Phillip,38.0,boy
1960,Ralph,38.0,boy
1960,Ronnie,38.0,boy
1960,Chris,37.0,boy
1960,Allen,36.0,boy
1960,Bernard,36.0,boy
1960,Johnny,35.0,boy
1960,Eugene,34.0,boy
1960,Howard,34.0,boy
1960,Jeffery,34.0,boy
1960,Norman,34.0,boy
1960,Ernest,33.0,boy
1960,Harold,33.0,boy
1960,Jerome,33.0,boy
1960,Jon,33.0,boy
1960,Barry,32.0,boy
1960,Calvin,32.0,boy
1960,Frederick,32.0,boy
1960,Jay,32.0,boy
1960,Derrick,31.0,boy
1960,Greg,31.0,boy
1960,Louis,31.0,boy
1960,Sean,30.0,boy
1961,Michael,772.0,boy
1961,John,726.0,boy
1961,James,649.0,boy
1961,David,598.0,boy
1961,Robert,547.0,boy
1961,William,451.0,boy
1961,Mark,333.0,boy
1961,Kevin,312.0,boy
1961,Charles,299.0,boy
1961,Anthony,294.0,boy
1961,Thomas,288.0,boy
1961,Joseph,270.0,boy
1961,Richard,266.0,boy
1961,Christopher,227.0,boy
1961,Kenneth,217.0,boy
1961,Paul,206.0,boy
1961,Steven,203.0,boy
1961,Jeffrey,198.0,boy
1961,Gregory,195.0,boy
1961,Stephen,177.0,boy
1961,Timothy,170.0,boy
1961,Ronald,165.0,boy
1961,Daniel,146.0,boy
1961,Edward,144.0,boy
1961,Brian,140.0,boy
1961,Donald,139.0,boy
1961,Gary,130.0,boy
1961,George,127.0,boy
1961,Keith,124.0,boy
1961,Douglas,110.0,boy
1961,Eric,109.0,boy
1961,Andrew,106.0,boy
1961,Darryl,99.0,boy
1961,Patrick,96.0,boy
1961,Scott,93.0,boy
1961,Larry,87.0,boy
1961,Peter,87.0,boy
1961,Raymond,84.0,boy
1961,Wayne,74.0,boy
1961,Bruce,73.0,boy
1961,Andre,69.0,boy
1961,Tyrone,68.0,boy
1961,Carl,64.0,boy
1961,Frank,64.0,boy
1961,Lawrence,64.0,boy
1961,Matthew,64.0,boy
1961,Vincent,61.0,boy
1961,Philip,60.0,boy
1961,Dennis,59.0,boy
1961,Alan,58.0,boy
1961,Reginald,57.0,boy
1961,Jonathan,56.0,boy
1961,Dwayne,55.0,boy
1961,Walter,55.0,boy
1961,Steve,51.0,boy
1961,Jerome,50.0,boy
1961,Melvin,50.0,boy
1961,Derrick,47.0,boy
1961,Craig,46.0,boy
1961,Maurice,46.0,boy
1961,Curtis,45.0,boy
1961,Mike,45.0,boy
1961,Phillip,45.0,boy
1961,Roger,45.0,boy
1961,Calvin,44.0,boy
1961,Terry,43.0,boy
1961,Glenn,42.0,boy
1961,Francis,41.0,boy
1961,Jeffery,41.0,boy
1961,Rodney,41.0,boy
1961,Samuel,41.0,boy
1961,Chris,40.0,boy
1961,Darrell,39.0,boy
1961,Victor,39.0,boy
1961,Russell,38.0,boy
1961,Tony,38.0,boy
1961,Bernard,37.0,boy
1961,Dale,37.0,boy
1961,Frederick,37.0,boy
1961,Eugene,36.0,boy
1961,Martin,36.0,boy
1961,Ralph,36.0,boy
1961,Gerald,35.0,boy
1961,Jay,35.0,boy
1961,Jerry,35.0,boy
1961,Albert,34.0,boy
1961,Marvin,34.0,boy
1961,Allen,33.0,boy
1961,Henry,33.0,boy
1961,Ricky,33.0,boy
1961,Willie,33.0,boy
1961,Barry,32.0,boy
1961,Clarence,32.0,boy
1961,Antonio,31.0,boy
1961,Arthur,31.0,boy
1961,Danny,31.0,boy
1961,Theodore,31.0,boy
1961,Troy,31.0,boy
1961,Louis,29.0,boy
1961,Harold,28.0,boy
1961,Howard,28.0,boy
1961, ,,boy
1962,Michael,760.0,boy
1962,John,637.0,boy
