year,name,number,sex
1960,David,273.0,boy
1960,Michael,269.0,boy
1960,John,239.0,boy
1960,Robert,238.0,boy
1960,James,227.0,boy
1960,William,175.0,boy
1960,Mark,161.0,boy
1960,Thomas,132.0,boy
1960,Richard,127.0,boy
1960,Joseph,107.0,boy
1960,Kenneth,94.0,boy
1960,Charles,90.0,boy
1960,Steven,89.0,boy
1960,Jeffrey,85.0,boy
1960,Kevin,83.0,boy
1960,Paul,77.0,boy
1960,Donald,76.0,boy
1960,Edward,65.0,boy
1960,George,65.0,boy
1960,Timothy,64.0,boy
1960,Gregory,63.0,boy
1960,Anthony,62.0,boy
1960,Christopher,62.0,boy
1960,Daniel,62.0,boy
1960,Brian,60.0,boy
1960,Ronald,55.0,boy
1960,Douglas,54.0,boy
1960,Gary,54.0,boy
1960,Stephen,54.0,boy
1960,Bruce,48.0,boy
1960,Keith,46.0,boy
1960,Dennis,40.0,boy
1960,Raymond,38.0,boy
1960,Larry,34.0,boy
1960,Eric,33.0,boy
1960,Patrick,31.0,boy
1960,Gerald,29.0,boy
1960,Harry,29.0,boy
1960,Matthew,29.0,boy
1960,Francis,28.0,boy
1960,Walter,28.0,boy
1960,Andrew,27.0,boy
1960,Glenn,27.0,boy
1960,Peter,27.0,boy
1960,Frank,26.0,boy
1960,Ricky,26.0,boy
1960,Wayne,26.0,boy
1960,Scott,25.0,boy
1960,Craig,24.0,boy
1960,Dale,23.0,boy
1960,Philip,23.0,boy
1960,Roger,23.0,boy
1960,Carl,21.0,boy
1960,Curtis,21.0,boy
1960,Frederick,21.0,boy
1960,Jerry,21.0,boy
1960,Alan,20.0,boy
1960,Chris,20.0,boy
1960,Arthur,19.0,boy
1960,Eugene,19.0,boy
1960,Martin,19.0,boy
1960,Barry,18.0,boy
1960,Lawrence,18.0,boy
1960,Vincent,18.0,boy
1960,Henry,17.0,boy
1960,Jay,17.0,boy
1960,Mike,17.0,boy
1960,Jeffery,16.0,boy
1960,Randy,15.0,boy
1960,Steve,15.0,boy
1960,Tyrone,15.0,boy
1960,Albert,14.0,boy
1960,Dwayne,14.0,boy
1960,Howard,14.0,boy
1960,Ralph,14.0,boy
1960,Russell,14.0,boy
1960,Alfred,13.0,boy
1960,Jeff,13.0,boy
1960,Leonard,13.0,boy
1960,Randall,12.0,boy
1960,Samuel,12.0,boy
1960,Terry,12.0,boy
1960,Benjamin,11.0,boy
1960,Bryan,11.0,boy
1960,Ernest,11.0,boy
1960,Harold,11.0,boy
1960,Jerome,11.0,boy
1960,Joe,11.0,boy
1960,Nicholas,11.0,boy
1960,Norman,11.0,boy
1960,Tom,11.0,boy
1960,Bill,10.0,boy
1960,Dean,10.0,boy
1960,Gene,10.0,boy
1960,Lewis,10.0,boy
1960,Phillip,10.0,boy
1960,Ronnie,10.0,boy
1960,Roy,10.0,boy
1960,Theodore,10.0,boy
1960,Aaron,9.0,boy
1960,Billy,9.0,boy
1960,Danny,9.0,boy
1960,Hugh,9.0,boy
1960,Johnny,9.0,boy
1960,Jonathan,9.0,boy
1960,Louis,9.0,boy
1960,Randolph,9.0,boy
1960,Shawn,9.0,boy
1961,John,288.0,boy
1961,David,249.0,boy
1961,Michael,235.0,boy
1961,Robert,226.0,boy
1961,James,222.0,boy
1961,William,219.0,boy
1961,Mark,176.0,boy
1961,Richard,153.0,boy
1961,Joseph,122.0,boy
1961,Thomas,109.0,boy
1961,Kevin,104.0,boy
1961,Jeffrey,101.0,boy
1961,Charles,99.0,boy
1961,Steven,79.0,boy
1961,Daniel,77.0,boy
1961,Kenneth,76.0,boy
1961,Donald,73.0,boy
1961,Paul,70.0,boy
1961,Anthony,66.0,boy
1961,Christopher,65.0,boy
1961,Timothy,65.0,boy
1961,Gary,64.0,boy
1961,Brian,58.0,boy
1961,Gregory,57.0,boy
1961,Stephen,56.0,boy
1961,Edward,55.0,boy
1961,George,55.0,boy
1961,Ronald,53.0,boy
1961,Bruce,48.0,boy
1961,Douglas,45.0,boy
1961,Andrew,42.0,boy
1961,Wayne,41.0,boy
1961,Keith,39.0,boy
1961,Raymond,39.0,boy
1961,Scott,35.0,boy
1961,Francis,34.0,boy
1961,Alan,31.0,boy
1961,Matthew,31.0,boy
1961,Dennis,29.0,boy
1961,Dale,27.0,boy
1961,Peter,27.0,boy
1961,Glenn,26.0,boy
1961,Patrick,26.0,boy
1961,Carl,24.0,boy
1961,Eric,24.0,boy
1961,Larry,24.0,boy
1961,Ricky,23.0,boy
1961,Terry,23.0,boy
1961,Walter,23.0,boy
1961,Barry,22.0,boy
1961,Jeff,22.0,boy
1961,Frank,21.0,boy
1961,Harry,21.0,boy
1961,Vincent,21.0,boy
1961,Lawrence,20.0,boy
1961,Louis,20.0,boy
1961,Samuel,20.0,boy
1961,Albert,18.0,boy
1961,Dean,18.0,boy
1961,Gerald,18.0,boy
1961,Ralph,18.0,boy
1961,Howard,17.0,boy
1961,Stanley,17.0,boy
1961,Victor,17.0,boy
1961,Craig,16.0,boy
1961,Jeffery,16.0,boy
1961,Martin,16.0,boy
1961,Norman,16.0,boy
1961,Philip,16.0,boy
1961,Roger,16.0,boy
1961,Russell,16.0,boy
1961,Curtis,15.0,boy
1961,Henry,15.0,boy
1961,Jonathan,15.0,boy
1961,Randy,15.0,boy
1961,Bill,14.0,boy
1961,Darryl,14.0,boy
1961,Eugene,14.0,boy
1961,Jay,14.0,boy
1961,Jerry,14.0,boy
1961,Karl,14.0,boy
1961,Todd,14.0,boy
1961,Allen,13.0,boy
1961,Bryan,13.0,boy
1961,Dwayne,13.0,boy
1961,Frederick,13.0,boy
1961,Benjamin,12.0,boy
1961,Duane,12.0,boy
1961,Ernest,12.0,boy
1961,Mike,12.0,boy
1961,Calvin,11.0,boy
1961,Danny,11.0,boy
1961,Fred,11.0,boy
1961,Steve,11.0,boy
1961,Troy,11.0,boy
1961,Alvin,10.0,boy
1961,Arthur,10.0,boy
1961,Bernard,10.0,boy
1961,Chris,10.0,boy
1961,Franklin,10.0,boy
1961,Greg,10.0,boy
1961,Harold,10.0,boy
1961,Herbert,10.0,boy
1961,Jim,10.0,boy
1961,Roy,10.0,boy
1961,Tom,10.0,boy
1961,Warren,10.0,boy
1962,John,268.0,boy
1962,David,250.0,boy
1962,Michael,246.0,boy
1962,Robert,233.0,boy
1962,James,210.0,boy
1962,William,189.0,boy
1962,Mark,167.0,boy
1962,Thomas,132.0,boy
1962,Richard,114.0,boy
1962,Joseph,104.0,boy
1962,Jeffrey,96.0,boy
1962,Steven,94.0,boy
1962,Kevin,92.0,boy
1962,Charles,91.0,boy
1962,Kenneth,85.0,boy
1962,Christopher,74.0,boy
1962,Daniel,73.0,boy
1962,Paul,66.0,boy
1962,Timothy,65.0,boy
1962,Anthony,64.0,boy
1962,Gary,64.0,boy
1962,Brian,62.0,boy
1962,Edward,62.0,boy
1962,Scott,61.0,boy
1962,Donald,56.0,boy
1962,George,56.0,boy
1962,Stephen,56.0,boy
1962,Douglas,53.0,boy
1962,Gregory,51.0,boy
1962,Ronald,48.0,boy
1962,Eric,45.0,boy
1962,Bruce,41.0,boy
1962,Andrew,39.0,boy
1962,Glenn,35.0,boy
1962,Keith,34.0,boy
1962,Patrick,31.0,boy
1962,Larry,30.0,boy
1962,Vincent,28.0,boy
1962,Alan,27.0,boy
1962,Darryl,26.0,boy
1962,Jeff,26.0,boy
1962,Wayne,26.0,boy
1962,Dennis,25.0,boy
1962,Francis,25.0,boy
1962,Peter,25.0,boy
1962,Craig,23.0,boy
1962,Raymond,22.0,boy
1962,Lawrence,21.0,boy
1962,Jeffery,19.0,boy
1962,Matthew,19.0,boy
1962,Chris,18.0,boy
1962,Louis,18.0,boy
1962,Steve,18.0,boy
1962,Walter,18.0,boy
1962,Frederick,17.0,boy
1962,Ralph,17.0,boy
1962,Roger,17.0,boy
1962,Terry,17.0,boy
1962,Carl,16.0,boy
1962,Eugene,16.0,boy
1962,Frank,16.0,boy
1962,Harry,16.0,boy
