year,name,number,sex
1960,James,2130.0,boy
1960,David,1631.0,boy
1960,Michael,1540.0,boy
1960,William,1483.0,boy
1960,Robert,1419.0,boy
1960,John,1382.0,boy
1960,Charles,1040.0,boy
1960,Kenneth,860.0,boy
1960,Mark,808.0,boy
1960,Richard,764.0,boy
1960,Timothy,707.0,boy
1960,Willie,667.0,boy
1960,Gregory,597.0,boy
1960,Thomas,559.0,boy
1960,Anthony,552.0,boy
1960,Larry,549.0,boy
1960,Terry,534.0,boy
1960,Ricky,522.0,boy
1960,Tony,490.0,boy
1960,Joseph,481.0,boy
1960,Donald,476.0,boy
1960,Johnny,474.0,boy
1960,Gary,441.0,boy
1960,Ronald,418.0,boy
1960,George,407.0,boy
1960,Jimmy,401.0,boy
1960,Jeffrey,398.0,boy
1960,Randy,396.0,boy
1960,Jerry,393.0,boy
1960,Steven,389.0,boy
1960,Danny,381.0,boy
1960,Bobby,368.0,boy
1960,Dennis,335.0,boy
1960,Ronnie,306.0,boy
1960,Billy,304.0,boy
1960,Eddie,304.0,boy
1960,Edward,291.0,boy
1960,Christopher,278.0,boy
1960,Steve,278.0,boy
1960,Tommy,278.0,boy
1960,Jeffery,268.0,boy
1960,Paul,268.0,boy
1960,Keith,253.0,boy
1960,Stephen,253.0,boy
1960,Phillip,248.0,boy
1960,Walter,248.0,boy
1960,Stanley,237.0,boy
1960,Daniel,233.0,boy
1960,Mike,232.0,boy
1960,Wayne,227.0,boy
1960,Henry,219.0,boy
1960,Douglas,215.0,boy
1960,Curtis,214.0,boy
1960,Alan,206.0,boy
1960,Randall,203.0,boy
1960,Roy,196.0,boy
1960,Samuel,196.0,boy
1960,Joe,191.0,boy
1960,Barry,188.0,boy
1960,Carl,188.0,boy
1960,Calvin,187.0,boy
1960,Raymond,186.0,boy
1960,Scott,184.0,boy
1960,Kevin,183.0,boy
1960,Roger,180.0,boy
1960,Frank,178.0,boy
1960,Harold,177.0,boy
1960,Micheal,174.0,boy
1960,Russell,174.0,boy
1960,Jeff,167.0,boy
1960,Melvin,167.0,boy
1960,Marvin,163.0,boy
1960,Bruce,160.0,boy
1960,Tim,159.0,boy
1960,Eric,156.0,boy
1960,Allen,155.0,boy
1960,Brian,153.0,boy
1960,Rickey,150.0,boy
1960,Arthur,149.0,boy
1960,Rodney,145.0,boy
1960,Andrew,142.0,boy
1960,Darrell,142.0,boy
1960,Gerald,139.0,boy
1960,Charlie,134.0,boy
1960,Ralph,133.0,boy
1960,Jack,132.0,boy
1960,Reginald,132.0,boy
1960,Jerome,131.0,boy
1960,Glenn,126.0,boy
1960,Greg,124.0,boy
1960,Ray,124.0,boy
1960,Freddie,123.0,boy
1960,Craig,122.0,boy
1960,Eugene,122.0,boy
1960,Victor,122.0,boy
1960,Chris,120.0,boy
1960,Darryl,120.0,boy
1960,Joel,120.0,boy
1960,Alvin,113.0,boy
1960,Ernest,112.0,boy
1961,James,2140.0,boy
1961,Michael,1677.0,boy
1961,David,1486.0,boy
1961,Robert,1411.0,boy
1961,John,1401.0,boy
1961,William,1341.0,boy
1961,Charles,993.0,boy
1961,Mark,805.0,boy
1961,Kenneth,795.0,boy
1961,Richard,698.0,boy
1961,Gregory,674.0,boy
1961,Timothy,659.0,boy
1961,Anthony,640.0,boy
1961,Thomas,617.0,boy
1961,Willie,566.0,boy
1961,Ricky,486.0,boy
1961,Tony,478.0,boy
1961,Joseph,466.0,boy
1961,Terry,465.0,boy
1961,Jeffrey,463.0,boy
1961,Larry,446.0,boy
1961,Donald,438.0,boy
1961,Gary,438.0,boy
1961,Johnny,432.0,boy
1961,Ronald,429.0,boy
1961,Steven,413.0,boy
1961,Jerry,383.0,boy
1961,Jimmy,374.0,boy
1961,Randy,370.0,boy
1961,Bobby,368.0,boy
1961,George,363.0,boy
1961,Jeffery,357.0,boy
1961,Christopher,340.0,boy
1961,Danny,330.0,boy
1961,Paul,287.0,boy
1961,Keith,284.0,boy
1961,Billy,282.0,boy
1961,Edward,276.0,boy
1961,Dennis,272.0,boy
1961,Stephen,267.0,boy
1961,Ronnie,258.0,boy
1961,Eddie,252.0,boy
1961,Steve,252.0,boy
1961,Walter,241.0,boy
1961,Douglas,236.0,boy
1961,Stanley,230.0,boy
1961,Daniel,226.0,boy
1961,Curtis,220.0,boy
1961,Henry,220.0,boy
1961,Phillip,217.0,boy
1961,Calvin,216.0,boy
1961,Mike,209.0,boy
1961,Tommy,208.0,boy
1961,Roger,205.0,boy
1961,Scott,200.0,boy
1961,Kevin,197.0,boy
1961,Barry,192.0,boy
1961,Eric,191.0,boy
1961,Darryl,190.0,boy
1961,Wayne,190.0,boy
1961,Alan,187.0,boy
1961,Carl,184.0,boy
1961,Jeff,181.0,boy
1961,Randall,180.0,boy
1961,Joe,179.0,boy
1961,Bruce,176.0,boy
1961,Russell,176.0,boy
1961,Brian,174.0,boy
1961,Raymond,170.0,boy
1961,Samuel,168.0,boy
1961,Reginald,167.0,boy
1961,Frank,166.0,boy
1961,Harold,163.0,boy
1961,Chris,158.0,boy
1961,Rodney,158.0,boy
1961,Darrell,153.0,boy
1961,Marvin,152.0,boy
1961,Andrew,151.0,boy
1961,Gerald,149.0,boy
1961,Greg,149.0,boy
1961,Melvin,149.0,boy
1961,Roy,146.0,boy
1961,Micheal,145.0,boy
1961,Tim,145.0,boy
1961,Jack,140.0,boy
1961,Ralph,139.0,boy
1961,Glenn,136.0,boy
1961,Victor,136.0,boy
1961,Allen,135.0,boy
1961,Rickey,134.0,boy
1961,Charlie,131.0,boy
1961,Craig,128.0,boy
1961,Dwayne,128.0,boy
1961,Albert,117.0,boy
1961,Patrick,115.0,boy
1961,Benjamin,113.0,boy
1961,Ernest,113.0,boy
1961,Freddie,111.0,boy
1961,Arthur,110.0,boy
1961,Howard,108.0,boy
1961, ,,boy
1962,James,1992.0,boy
1962,Michael,1620.0,boy
1962,David,1489.0,boy
1962,John,1362.0,boy
1962,Robert,1342.0,boy
1962,William,1313.0,boy
1962,Charles,960.0,boy
1962,Kenneth,796.0,boy
1962,Mark,790.0,boy
1962,Gregory,684.0,boy
1962,Richard,668.0,boy
1962,Timothy,647.0,boy
1962,Anthony,624.0,boy
1962,Thomas,580.0,boy
1962,Willie,569.0,boy
1962,Gary,512.0,boy
1962,Joseph,500.0,boy
1962,Tony,500.0,boy
1962,Jeffrey,493.0,boy
1962,Terry,476.0,boy
1962,Ricky,464.0,boy
1962,Donald,442.0,boy
1962,Jerry,422.0,boy
1962,Johnny,409.0,boy
1962,Jeffery,408.0,boy
1962,Steven,399.0,boy
1962,Larry,396.0,boy
1962,Christopher,377.0,boy
1962,Bobby,364.0,boy
1962,Ronald,357.0,boy
1962,George,352.0,boy
1962,Randy,351.0,boy
1962,Jimmy,321.0,boy
1962,Scott,303.0,boy
1962,Paul,291.0,boy
1962,Stephen,284.0,boy
1962,Billy,274.0,boy
1962,Danny,273.0,boy
1962,Edward,270.0,boy
1962,Keith,269.0,boy
1962,Daniel,258.0,boy
1962,Douglas,256.0,boy
1962,Dennis,237.0,boy
1962,Eddie,236.0,boy
1962,Tommy,236.0,boy
1962,Stanley,229.0,boy
1962,Ronnie,228.0,boy
1962,Kevin,227.0,boy
1962,Walter,224.0,boy
1962,Steve,223.0,boy
1962,Henry,222.0,boy
1962,Jeff,219.0,boy
1962,Barry,217.0,boy
1962,Mike,216.0,boy
1962,Roger,202.0,boy
1962,Curtis,200.0,boy
1962,Phillip,200.0,boy
1962,Brian,193.0,boy
1962,Eric,191.0,boy
1962,Randall,188.0,boy
1962,Carl,187.0,boy
1962,Bruce,185.0,boy
1962,Joe,183.0,boy
1962,Alan,176.0,boy
1962,Darryl,176.0,boy
1962,Harold,175.0,boy
1962,Reginald,169.0,boy
1962,Russell,166.0,boy
1962,Wayne,165.0,boy
1962,Chris,162.0,boy
1962,Glenn,162.0,boy
1962,Raymond,162.0,boy
1962,Samuel,162.0,boy
1962,Melvin,161.0,boy
1962,Marvin,159.0,boy
1962,Greg,157.0,boy
1962,Andrew,154.0,boy
1962,Arthur,154.0,boy
1962,Calvin,152.0,boy
1962,Frank,151.0,boy
1962,Micheal,150.0,boy
1962,Rodney,148.0,boy
1962,Gerald,144.0,boy
1962,Roy,143.0,boy
1962,Jerome,137.0,boy
1962,Allen,132.0,boy
1962,Tim,132.0,boy
1962,Tracy,132.0,boy
1962,Darrell,128.0,boy
1962,Victor,127.0,boy
1962,Jack,121.0,boy
1962,Vincent,120.0,boy
1962,Charlie,118.0,boy
1962,Frederick,117.0,boy
1962,Benjamin,114.0,boy
1962,Troy,109.0,boy
1962,Joel,108.0,boy
1962,Rickey,106.0,boy
1962,Todd,106.0,boy
1962,Mitchell,105.0,boy
1962,Patrick,105.0,boy
1963,James,1980.0,boy
1963,Michael,1586.0,boy
1963,David,1512.0,boy
1963,John,1482.0,boy
1963,Robert,1389.0,boy
1963,William,1265.0,boy
1963,Charles,937.0,boy
1963,Richard,802.0,boy
1963,Mark,789.0,boy
1963,Kenneth,779.0,boy
1963,Timothy,701.0,boy
1963,Gregory,665.0,boy
1963,Anthony,634.0,boy
1963,Thomas,612.0,boy
1963,Jeffrey,515.0,boy
1963,Willie,492.0,boy
1963,Terry,488.0,boy
1963,Joseph,470.0,boy
1963,Donald,450.0,boy
1963,Tony,442.0,boy
1963,Ricky,437.0,boy
1963,Ronald,408.0,boy
1963,Johnny,404.0,boy
1963,Gary,391.0,boy
1963,Larry,380.0,boy
1963,Christopher,377.0,boy
1963,Jeffery,363.0,boy
1963,Steven,353.0,boy
1963,George,347.0,boy
1963,Jerry,341.0,boy
1963,Randy,322.0,boy
1963,Scott,314.0,boy
1963,Jimmy,312.0,boy
1963,Bobby,306.0,boy
1963,Paul,294.0,boy
1963,Keith,286.0,boy
1963,Stephen,279.0,boy
1963,Danny,277.0,boy
1963,Kevin,276.0,boy
1963,Tommy,269.0,boy
1963,Edward,251.0,boy
1963,Daniel,247.0,boy
1963,Billy,244.0,boy
1963,Steve,238.0,boy
1963,Eddie,237.0,boy
1963,Eric,233.0,boy
1963,Brian,227.0,boy
1963,Barry,225.0,boy
1963,Douglas,225.0,boy
1963,Dennis,224.0,boy
1963,Carl,222.0,boy
1963,Jeff,221.0,boy
1963,Bruce,219.0,boy
1963,Joe,218.0,boy
1963,Ronnie,212.0,boy
1963,Stanley,211.0,boy
1963,Randall,209.0,boy
1963,Walter,207.0,boy
1963,Darrell,203.0,boy
1963,Curtis,199.0,boy
1963,Roger,198.0,boy
1963,Phillip,197.0,boy
1963,Reginald,195.0,boy
1963,Darryl,190.0,boy
1963,Samuel,186.0,boy
1963,Frank,178.0,boy
1963,Henry,178.0,boy
1963,Roy,175.0,boy
1963,Mike,168.0,boy
1963,Patrick,168.0,boy
1963,Raymond,168.0,boy
1963,Alan,161.0,boy
1963,Russell,159.0,boy
1963,Andrew,158.0,boy
1963,Harold,158.0,boy
1963,Marvin,154.0,boy
