year,name,number,sex
1960,Michael,245.0,boy
1960,David,244.0,boy
1960,John,232.0,boy
1960,Robert,197.0,boy
1960,Mark,177.0,boy
1960,James,174.0,boy
1960,William,139.0,boy
1960,Richard,127.0,boy
1960,Brian,119.0,boy
1960,Steven,114.0,boy
1960,Kevin,102.0,boy
1960,Paul,98.0,boy
1960,Charles,97.0,boy
1960,Daniel,91.0,boy
1960,Eric,90.0,boy
1960,Jeffrey,86.0,boy
1960,Scott,81.0,boy
1960,Joseph,80.0,boy
1960,Thomas,80.0,boy
1960,Gary,77.0,boy
1960,Keith,70.0,boy
1960,Kenneth,68.0,boy
1960,Alan,64.0,boy
1960,Ronald,64.0,boy
1960,Craig,62.0,boy
1960,Timothy,61.0,boy
1960,George,59.0,boy
1960,Patrick,59.0,boy
1960,Raymond,58.0,boy
1960,Russell,57.0,boy
1960,Glenn,56.0,boy
1960,Randall,55.0,boy
1960,Darren,54.0,boy
1960,Peter,53.0,boy
1960,Wayne,53.0,boy
1960,Darryl,52.0,boy
1960,Edward,50.0,boy
1960,Douglas,49.0,boy
1960,Anthony,48.0,boy
1960,Donald,46.0,boy
1960,Stephen,46.0,boy
1960,Dean,45.0,boy
1960,Guy,44.0,boy
1960,Lance,44.0,boy
1960,Dennis,42.0,boy
1960,Jon,42.0,boy
1960,Christopher,41.0,boy
1960,Andrew,38.0,boy
1960,Henry,38.0,boy
1960,Randy,38.0,boy
1960,Rodney,37.0,boy
1960,Lawrence,36.0,boy
1960,Bryan,35.0,boy
1960,Jonathan,35.0,boy
1960,Larry,35.0,boy
1960,Bruce,34.0,boy
1960,Nathan,34.0,boy
1960,Frank,33.0,boy
1960,Jason,33.0,boy
1960,Ricky,33.0,boy
1960,Clayton,32.0,boy
1960,Derek,32.0,boy
1960,Dwayne,32.0,boy
1960,Carl,31.0,boy
1960,Roy,31.0,boy
1960,Gregory,30.0,boy
1960,Wesley,30.0,boy
1960,Samuel,29.0,boy
1960,Steve,29.0,boy
1960,Terry,29.0,boy
1960,Todd,29.0,boy
1960,Jerry,28.0,boy
1960,Walter,28.0,boy
1960,Arthur,27.0,boy
1960,Curtis,26.0,boy
1960,Tracy,26.0,boy
1960,Albert,25.0,boy
1960,Alfred,25.0,boy
1960,Earl,25.0,boy
1960,Leslie,25.0,boy
1960,Gerald,24.0,boy
1960,Jay,24.0,boy
1960,Mike,24.0,boy
1960,Ross,24.0,boy
1960,Alvin,23.0,boy
1960,Matthew,23.0,boy
1960,Stanley,23.0,boy
1960,Dale,22.0,boy
1960,Neal,22.0,boy
1960,Nelson,22.0,boy
1960,Norman,22.0,boy
1960,Aaron,21.0,boy
