year,name,number,sex
1960,David,1440.0,boy
1960,Michael,1197.0,boy
1960,Mark,1138.0,boy
1960,John,952.0,boy
1960,James,932.0,boy
1960,Robert,832.0,boy
1960,Steven,787.0,boy
1960,Jeffrey,785.0,boy
1960,Kevin,736.0,boy
1960,Scott,620.0,boy
1960,Thomas,592.0,boy
1960,Timothy,579.0,boy
1960,William,556.0,boy
1960,Daniel,550.0,boy
1960,Richard,542.0,boy
1960,Brian,524.0,boy
1960,Douglas,503.0,boy
1960,Randy,471.0,boy
1960,Dennis,385.0,boy
1960,Gary,378.0,boy
1960,Paul,348.0,boy
1960,Terry,345.0,boy
1960,Ronald,336.0,boy
1960,Larry,323.0,boy
1960,Craig,320.0,boy
1960,Gregory,312.0,boy
1960,Donald,295.0,boy
1960,Kenneth,282.0,boy
1960,Charles,276.0,boy
1960,Mike,268.0,boy
1960,Jeff,264.0,boy
1960,Joseph,249.0,boy
1960,Todd,234.0,boy
1960,Patrick,227.0,boy
1960,Randall,219.0,boy
1960,Alan,214.0,boy
1960,Jerry,213.0,boy
1960,Roger,213.0,boy
1960,Bruce,206.0,boy
1960,Tim,204.0,boy
1960,Rodney,191.0,boy
1960,Ricky,188.0,boy
1960,Bradley,186.0,boy
1960,Dale,184.0,boy
1960,Steve,183.0,boy
1960,Jon,166.0,boy
1960,Keith,165.0,boy
1960,Christopher,163.0,boy
1960,Russell,163.0,boy
1960,Rick,157.0,boy
1960,Tom,156.0,boy
1960,Eric,155.0,boy
1960,Danny,148.0,boy
1960,Stephen,148.0,boy
1960,Anthony,147.0,boy
1960,Jay,146.0,boy
1960,Jeffery,145.0,boy
1960,Dean,139.0,boy
1960,Dan,132.0,boy
1960,Edward,132.0,boy
1960,Matthew,131.0,boy
1960,Jim,127.0,boy
1960,Chris,123.0,boy
1960,Kent,121.0,boy
1960,Tony,116.0,boy
1960,Kelly,114.0,boy
1960,Joel,109.0,boy
1960,Kirk,107.0,boy
1960,Bryan,101.0,boy
1960,Duane,101.0,boy
1960,Curtis,100.0,boy
1960,Martin,100.0,boy
1960,Greg,98.0,boy
1960,Wayne,95.0,boy
1960,Bill,91.0,boy
1960,Kurt,90.0,boy
1960,Brad,88.0,boy
1960,Andrew,87.0,boy
1960,Brent,84.0,boy
1960,Dave,84.0,boy
1960,Peter,81.0,boy
1960,Raymond,80.0,boy
1960,Carl,78.0,boy
1960,Gerald,78.0,boy
1960,George,76.0,boy
1960,Allen,75.0,boy
