year,name,number,sex
1960,David,283.0,boy
1960,Michael,259.0,boy
1960,Robert,239.0,boy
1960,John,206.0,boy
1960,Mark,189.0,boy
1960,James,182.0,boy
1960,Steven,161.0,boy
1960,Richard,158.0,boy
1960,Kevin,151.0,boy
1960,William,132.0,boy
1960,Scott,116.0,boy
1960,Douglas,112.0,boy
1960,Brian,105.0,boy
1960,Ronald,96.0,boy
1960,Randy,92.0,boy
1960,Daniel,91.0,boy
1960,Gary,89.0,boy
1960,Kenneth,88.0,boy
1960,Jeffrey,87.0,boy
1960,Mike,85.0,boy
1960,Timothy,85.0,boy
1960,Jerry,75.0,boy
1960,Larry,75.0,boy
1960,Thomas,75.0,boy
1960,Kelly,74.0,boy
1960,Paul,72.0,boy
1960,Terry,71.0,boy
1960,Donald,70.0,boy
1960,Craig,64.0,boy
1960,Jeff,59.0,boy
1960,Charles,57.0,boy
1960,Steve,57.0,boy
1960,Tim,54.0,boy
1960,Brent,53.0,boy
1960,Jim,53.0,boy
1960,Joseph,51.0,boy
1960,Rick,51.0,boy
1960,Rodney,51.0,boy
1960,Bruce,46.0,boy
1960,Todd,46.0,boy
1960,Gregory,45.0,boy
1960,Alan,44.0,boy
1960,Bill,44.0,boy
1960,Dale,44.0,boy
1960,Dennis,42.0,boy
1960,Greg,42.0,boy
1960,Brett,41.0,boy
1960,Roger,40.0,boy
1960,Russell,40.0,boy
1960,Tracy,40.0,boy
1960,Dan,39.0,boy
1960,Patrick,38.0,boy
1960,Bradley,37.0,boy
1960,Tony,37.0,boy
1960,Chris,36.0,boy
1960,Brad,34.0,boy
1960,Curtis,34.0,boy
1960,Eric,34.0,boy
1960,Jeffery,34.0,boy
1960,Christopher,33.0,boy
1960,Wayne,33.0,boy
1960,Bart,32.0,boy
1960,Bret,32.0,boy
1960,Keith,32.0,boy
1960,Ricky,31.0,boy
1960,Tom,31.0,boy
1960,Bryan,30.0,boy
1960,Danny,30.0,boy
1960,Kirk,30.0,boy
1960,Carl,29.0,boy
1960,Edward,29.0,boy
1960,Jay,28.0,boy
1960,Stephen,28.0,boy
1960,Joe,27.0,boy
1960,Randall,27.0,boy
1960,Anthony,26.0,boy
1960,Kerry,26.0,boy
1960,Clinton,25.0,boy
1960,Don,25.0,boy
1960,Jon,25.0,boy
1960,Kent,25.0,boy
1960,Martin,25.0,boy
1960,Ray,25.0,boy
1960,Raymond,25.0,boy
1960,Jack,24.0,boy
1960,Phillip,23.0,boy
1960,Bob,22.0,boy
1960,Doug,22.0,boy
1960,Stanley,22.0,boy
1960,Darrell,21.0,boy
1960,Joel,21.0,boy
1960,Lynn,21.0,boy
1960,Darren,20.0,boy
1960,Dave,20.0,boy
1960,Frank,20.0,boy
1960,Kim,20.0,boy
1960,George,19.0,boy
1960,Matthew,19.0,boy
1960,Shane,19.0,boy
1960,Gerald,18.0,boy
1960,Karl,18.0,boy
1960,Marvin,18.0,boy
1960,Micheal,18.0,boy
1960,Philip,18.0,boy
1960,Roy,18.0,boy
1960,Ted,18.0,boy
1960,Wade,18.0,boy
1960,Walter,18.0,boy
1961,David,291.0,boy
1961,Robert,237.0,boy
1961,Michael,219.0,boy
1961,Mark,207.0,boy
1961,John,194.0,boy
1961,James,184.0,boy
1961,Kevin,151.0,boy
1961,Steven,145.0,boy
1961,Scott,140.0,boy
1961,Richard,138.0,boy
1961,William,117.0,boy
1961,Gary,93.0,boy
1961,Todd,89.0,boy
1961,Douglas,88.0,boy
1961,Mike,88.0,boy
1961,Randy,88.0,boy
1961,Brian,85.0,boy
1961,Daniel,79.0,boy
1961,Jeffrey,78.0,boy
1961,Thomas,78.0,boy
1961,Donald,75.0,boy
1961,Larry,74.0,boy
1961,Ronald,71.0,boy
1961,Kenneth,70.0,boy
1961,Paul,69.0,boy
1961,Brent,65.0,boy
1961,Jeff,62.0,boy
1961,Kelly,62.0,boy
1961,Charles,60.0,boy
1961,Jerry,60.0,boy
1961,Russell,58.0,boy
1961,Gregory,57.0,boy
1961,Timothy,57.0,boy
1961,Terry,56.0,boy
1961,Tony,54.0,boy
1961,Bradley,52.0,boy
1961,Dennis,50.0,boy
1961,Roger,50.0,boy
1961,Alan,49.0,boy
1961,Steve,48.0,boy
1961,Craig,46.0,boy
1961,Tim,46.0,boy
1961,Bruce,45.0,boy
1961,Rick,45.0,boy
1961,Rodney,45.0,boy
1961,Edward,44.0,boy
1961,Joseph,42.0,boy
1961,Eric,41.0,boy
1961,Jim,41.0,boy
1961,Danny,40.0,boy
1961,Dale,38.0,boy
1961,Greg,38.0,boy
1961,Randall,38.0,boy
1961,Stephen,35.0,boy
1961,Tracy,35.0,boy
1961,Chris,34.0,boy
1961,Patrick,34.0,boy
1961,Bryan,33.0,boy
1961,Christopher,33.0,boy
1961,Jon,33.0,boy
1961,Curtis,32.0,boy
1961,Doug,32.0,boy
1961,Joe,32.0,boy
1961,Anthony,31.0,boy
1961,Brad,31.0,boy
1961,Brett,31.0,boy
1961,Jay,31.0,boy
1961,Jeffery,31.0,boy
1961,Wayne,31.0,boy
1961,Bill,30.0,boy
1961,Troy,30.0,boy
1961,Dan,28.0,boy
1961,Kent,28.0,boy
1961,George,27.0,boy
1961,Matthew,27.0,boy
1961,Ricky,27.0,boy
1961,Allen,26.0,boy
1961,Don,25.0,boy
1961,Kirk,25.0,boy
1961,Martin,25.0,boy
1961,Tom,25.0,boy
1961,Carl,24.0,boy
1961,Shane,24.0,boy
1961,Bob,23.0,boy
1961,Keith,23.0,boy
1961,Darrell,22.0,boy
1961,Dave,22.0,boy
1961,Kurt,22.0,boy
1961,Marvin,22.0,boy
1961,Kim,21.0,boy
1961,Gerald,20.0,boy
1961,Jack,20.0,boy
1961,Mitchell,20.0,boy
1961,Raymond,20.0,boy
1961,Ron,20.0,boy
1961,Darren,19.0,boy
1961,Frank,19.0,boy
1961,Karl,19.0,boy
1961,Phillip,19.0,boy
1961,Bret,18.0,boy
1961,Dean,18.0,boy
1961,Jimmy,18.0,boy
1961,Stanley,18.0,boy
1962,David,271.0,boy
1962,Michael,220.0,boy
1962,Robert,210.0,boy
1962,Mark,204.0,boy
1962,John,197.0,boy
1962,James,195.0,boy
1962,Kevin,152.0,boy
1962,Steven,145.0,boy
1962,Richard,140.0,boy
1962,Scott,131.0,boy
1962,Todd,117.0,boy
1962,William,117.0,boy
1962,Jeffrey,98.0,boy
1962,Brian,94.0,boy
1962,Gary,89.0,boy
1962,Thomas,87.0,boy
1962,Mike,80.0,boy
1962,Douglas,79.0,boy
1962,Daniel,75.0,boy
1962,Larry,75.0,boy
1962,Kenneth,73.0,boy
1962,Timothy,73.0,boy
1962,Charles,69.0,boy
1962,Jeff,67.0,boy
1962,Randy,67.0,boy
1962,Ronald,66.0,boy
1962,Gregory,65.0,boy
1962,Donald,62.0,boy
1962,Eric,62.0,boy
1962,Troy,62.0,boy
1962,Paul,59.0,boy
1962,Jerry,56.0,boy
1962,Steve,54.0,boy
1962,Bruce,52.0,boy
1962,Alan,46.0,boy
1962,Kelly,46.0,boy
1962,Roger,46.0,boy
1962,Tony,46.0,boy
1962,Brent,45.0,boy
1962,Terry,45.0,boy
1962,Brett,43.0,boy
1962,Russell,43.0,boy
1962,Rodney,42.0,boy
1962,Joseph,41.0,boy
1962,Craig,40.0,boy
1962,Rick,40.0,boy
1962,Dan,39.0,boy
1962,Jon,38.0,boy
1962,Bryan,37.0,boy
1962,Kent,37.0,boy
1962,Bradley,35.0,boy
1962,Chris,35.0,boy
1962,Tim,35.0,boy
1962,Wayne,35.0,boy
1962,Dale,33.0,boy
1962,Ricky,33.0,boy
1962,Curtis,32.0,boy
1962,Jeffery,31.0,boy
1962,Keith,31.0,boy
1962,Bill,30.0,boy
1962,Danny,30.0,boy
1962,Patrick,30.0,boy
1962,Dennis,29.0,boy
1962,Jim,29.0,boy
1962,Joe,29.0,boy
1962,Stephen,29.0,boy
1962,Greg,28.0,boy
1962,Jay,28.0,boy
1962,Barry,27.0,boy
1962,Brad,27.0,boy
1962,Randall,27.0,boy
1962,George,26.0,boy
1962,Tom,26.0,boy
1962,Andrew,24.0,boy
1962,Christopher,24.0,boy
1962,Edward,24.0,boy
1962,Gerald,24.0,boy
1962,Kurt,24.0,boy
1962,Tracy,24.0,boy
1962,Doug,23.0,boy
1962,Don,22.0,boy
1962,Frank,21.0,boy
1962,Jack,21.0,boy
1962,Jimmy,21.0,boy
1962,Matthew,21.0,boy
1962,Ron,21.0,boy
1962,Shane,21.0,boy
1962,Lee,20.0,boy
1962,Lynn,20.0,boy
1962,Roy,20.0,boy
1962,Darrell,19.0,boy
1962,Dean,19.0,boy
1962,Kirk,19.0,boy
1962,Micheal,19.0,boy
1962,Bart,18.0,boy
1962,Lance,18.0,boy
1962,Wesley,18.0,boy
1962,Allen,17.0,boy
1962,Anthony,17.0,boy
1962,Bret,17.0,boy
1962,Kim,17.0,boy
1962,Martin,17.0,boy
1962,Phillip,17.0,boy
1962, ,,boy
1962, ,,boy
1962, ,,boy
1962, ,,boy
1963,Michael,237.0,boy
1963,David,232.0,boy
1963,John,192.0,boy
1963,Robert,192.0,boy
1963,Mark,155.0,boy
1963,James,151.0,boy
1963,Kevin,142.0,boy
1963,Scott,136.0,boy
1963,Richard,128.0,boy
1963,Todd,120.0,boy
1963,Douglas,104.0,boy
1963,Brian,101.0,boy
1963,Steven,97.0,boy
1963,Jeffrey,86.0,boy
1963,William,79.0,boy
1963,Mike,73.0,boy
1963,Kenneth,70.0,boy
1963,Ronald,69.0,boy
1963,Daniel,66.0,boy
1963,Thomas,66.0,boy
1963,Paul,65.0,boy
1963,Donald,61.0,boy
1963,Gary,61.0,boy
1963,Gregory,61.0,boy
1963,Timothy,60.0,boy
1963,Kelly,56.0,boy
1963,Charles,51.0,boy
1963,Jeff,51.0,boy
1963,Jerry,50.0,boy
1963,Joseph,50.0,boy
1963,Terry,50.0,boy
1963,Craig,49.0,boy
1963,Randy,48.0,boy
1963,Troy,47.0,boy
1963,Alan,44.0,boy
1963,Tony,44.0,boy
1963,Brent,43.0,boy
1963,Eric,43.0,boy
1963,Larry,43.0,boy
1963,Dennis,41.0,boy
1963,Brad,39.0,boy
1963,Steve,39.0,boy
1963,Bruce,38.0,boy
1963,Jim,38.0,boy
1963,Bryan,37.0,boy
1963,Jeffery,37.0,boy
1963,Dale,36.0,boy
1963,Patrick,36.0,boy
1963,Bradley,35.0,boy
1963,Russell,35.0,boy
1963,Christopher,34.0,boy
1963,Dan,33.0,boy
1963,Carl,32.0,boy
1963,Greg,32.0,boy
1963,Roger,32.0,boy
1963,Tim,32.0,boy
1963,Chris,31.0,boy
1963,Joe,31.0,boy
1963,Doug,30.0,boy
1963,Brett,29.0,boy
1963,Danny,29.0,boy
1963,Jay,29.0,boy
1963,Kent,29.0,boy
1963,Tracy,29.0,boy
1963,Martin,28.0,boy
1963,Wayne,28.0,boy
1963,Curtis,27.0,boy
1963,Ricky,27.0,boy
1963,Randall,26.0,boy
1963,Edward,25.0,boy
1963,Jon,25.0,boy
1963,Keith,24.0,boy
1963,Matthew,24.0,boy
1963,Peter,24.0,boy
1963,Rick,24.0,boy
1963,Shawn,24.0,boy
1963,Anthony,23.0,boy
1963,Gerald,23.0,boy
1963,Rodney,23.0,boy
1963,Tom,23.0,boy
1963,Bill,22.0,boy
1963,Shane,22.0,boy
1963,Billy,21.0,boy
1963,Darren,21.0,boy
1963,Don,20.0,boy
1963,Allen,19.0,boy
1963,Kirk,19.0,boy
1963,Raymond,19.0,boy
1963,Ron,19.0,boy
1963,Lawrence,18.0,boy
1963,Lonnie,18.0,boy
1963,Roy,18.0,boy
1963,Aaron,17.0,boy
1963,Darrell,17.0,boy
1963,Harold,17.0,boy
1963,Lance,17.0,boy
1963,Lynn,17.0,boy
1963,Phillip,17.0,boy
1963,Stephen,17.0,boy
1963,Bart,16.0,boy
1963,Bret,16.0,boy
1963,Dean,16.0,boy
1963,Ken,16.0,boy
1964,David,252.0,boy
1964,Michael,233.0,boy
1964,John,193.0,boy
1964,Robert,185.0,boy
1964,James,182.0,boy
1964,Kevin,122.0,boy
1964,Mark,122.0,boy
1964,Richard,120.0,boy
1964,Scott,116.0,boy
1964,Steven,108.0,boy
1964,Todd,108.0,boy
1964,Brian,103.0,boy
1964,William,102.0,boy
1964,Jeffrey,85.0,boy
1964,Paul,73.0,boy
1964,Ronald,73.0,boy
1964,Mike,71.0,boy
1964,Daniel,70.0,boy
1964,Thomas,70.0,boy
1964,Timothy,64.0,boy
1964,Kenneth,63.0,boy
1964,Donald,58.0,boy
1964,Gary,56.0,boy
1964,Charles,55.0,boy
1964,Douglas,54.0,boy
