year,name,number,sex
1960,David,2552.0,boy
1960,Michael,2183.0,boy
1960,James,2016.0,boy
1960,Mark,1994.0,boy
1960,John,1844.0,boy
1960,Robert,1705.0,boy
1960,Timothy,1169.0,boy
1960,William,1131.0,boy
1960,Jeffrey,1127.0,boy
1960,Richard,1008.0,boy
1960,Thomas,976.0,boy
1960,Kevin,966.0,boy
1960,Steven,923.0,boy
1960,Brian,860.0,boy
1960,Charles,785.0,boy
1960,Daniel,734.0,boy
1960,Gregory,729.0,boy
1960,Kenneth,666.0,boy
1960,Scott,653.0,boy
1960,Donald,608.0,boy
1960,Gary,600.0,boy
1960,Joseph,591.0,boy
1960,Paul,584.0,boy
1960,Ronald,581.0,boy
1960,Larry,530.0,boy
1960,Terry,524.0,boy
1960,Douglas,523.0,boy
1960,Dennis,510.0,boy
1960,Randy,480.0,boy
1960,Jerry,442.0,boy
1960,Anthony,439.0,boy
1960,Mike,426.0,boy
1960,Jeff,419.0,boy
1960,Christopher,418.0,boy
1960,Jeffery,405.0,boy
1960,Stephen,378.0,boy
1960,Keith,356.0,boy
1960,Bruce,355.0,boy
1960,Steve,347.0,boy
1960,Ricky,335.0,boy
1960,Tony,332.0,boy
1960,Tim,319.0,boy
1960,Roger,308.0,boy
1960,Edward,307.0,boy
1960,Danny,296.0,boy
1960,Eric,290.0,boy
1960,Randall,272.0,boy
1960,Chris,253.0,boy
1960,Patrick,249.0,boy
1960,George,246.0,boy
1960,Dale,235.0,boy
1960,Carl,231.0,boy
1960,Rick,228.0,boy
1960,Alan,224.0,boy
1960,Bradley,223.0,boy
1960,Phillip,218.0,boy
1960,Craig,211.0,boy
1960,Andrew,202.0,boy
1960,Jim,200.0,boy
1960,Jay,195.0,boy
1960,Greg,183.0,boy
1960,Matthew,183.0,boy
1960,Joe,182.0,boy
1960,Tom,180.0,boy
1960,Russell,178.0,boy
1960,Bryan,177.0,boy
1960,Frank,176.0,boy
1960,Jack,173.0,boy
1960,Philip,170.0,boy
1960,Todd,170.0,boy
1960,Rodney,167.0,boy
1960,Bill,161.0,boy
1960,Darrell,156.0,boy
1960,Jon,155.0,boy
1960,Raymond,152.0,boy
1960,Dan,151.0,boy
1960,Gerald,146.0,boy
1960,Billy,141.0,boy
1960,Curtis,135.0,boy
1960,Brent,134.0,boy
1960,Harold,132.0,boy
1960,Barry,128.0,boy
1960,Brad,128.0,boy
