year,name,number,sex
1960,David,1004.0,boy
1960,Michael,883.0,boy
1960,Mark,826.0,boy
1960,James,702.0,boy
1960,Robert,687.0,boy
1960,John,666.0,boy
1960,Kevin,498.0,boy
1960,Steven,461.0,boy
1960,William,458.0,boy
1960,Richard,454.0,boy
1960,Timothy,356.0,boy
1960,Gary,290.0,boy
1960,Jeffrey,288.0,boy
1960,Charles,287.0,boy
1960,Donald,282.0,boy
1960,Ronald,282.0,boy
1960,Brian,281.0,boy
1960,Thomas,280.0,boy
1960,Gregory,270.0,boy
1960,Scott,267.0,boy
1960,Daniel,266.0,boy
1960,Larry,264.0,boy
1960,Kenneth,251.0,boy
1960,Douglas,249.0,boy
1960,Terry,228.0,boy
1960,Randy,220.0,boy
1960,Mike,206.0,boy
1960,Paul,198.0,boy
1960,Jerry,191.0,boy
1960,Dennis,189.0,boy
1960,Joseph,175.0,boy
1960,Bradley,164.0,boy
1960,Bruce,157.0,boy
1960,Steve,156.0,boy
1960,Craig,154.0,boy
1960,Randall,153.0,boy
1960,Alan,148.0,boy
1960,Danny,146.0,boy
1960,Edward,143.0,boy
1960,Roger,143.0,boy
1960,Anthony,141.0,boy
1960,Ricky,141.0,boy
1960,Keith,140.0,boy
1960,Jeff,138.0,boy
1960,Stephen,136.0,boy
1960,Christopher,131.0,boy
1960,Patrick,129.0,boy
1960,Dale,128.0,boy
1960,Russell,128.0,boy
1960,Tim,119.0,boy
1960,Tony,119.0,boy
1960,Rodney,117.0,boy
1960,Chris,116.0,boy
1960,Jeffery,104.0,boy
1960,Curtis,100.0,boy
1960,Eric,100.0,boy
1960,Jim,100.0,boy
1960,Phillip,98.0,boy
1960,Greg,94.0,boy
1960,Kelly,93.0,boy
1960,Raymond,92.0,boy
1960,Kent,90.0,boy
1960,Jay,87.0,boy
1960,Gerald,86.0,boy
1960,Brad,84.0,boy
1960,Carl,82.0,boy
1960,Bill,80.0,boy
1960,George,80.0,boy
1960,Rick,80.0,boy
1960,Jon,78.0,boy
1960,Bryan,77.0,boy
1960,Wayne,76.0,boy
1960,Frank,72.0,boy
1960,Tom,72.0,boy
1960,Martin,71.0,boy
1960,Philip,71.0,boy
1960,Billy,67.0,boy
1960,Darren,67.0,boy
1960,Jack,67.0,boy
1960,Joe,66.0,boy
1960,Brent,65.0,boy
1960,Lawrence,64.0,boy
1960,Duane,61.0,boy
1960,Stanley,61.0,boy
1960,Jimmy,58.0,boy
1960,Marvin,58.0,boy
1960,Todd,58.0,boy
1960,Kirk,56.0,boy
1960,Roy,56.0,boy
1960,Bobby,55.0,boy
1960,Darrell,55.0,boy
1960,Allen,54.0,boy
1960,Harold,54.0,boy
1960,Matthew,54.0,boy
1960,Mitchell,54.0,boy
1960,Barry,53.0,boy
1960,Ronnie,53.0,boy
1960,Troy,53.0,boy
1960,Dean,52.0,boy
1960,Micheal,52.0,boy
1960,Tracy,52.0,boy
1961,David,1023.0,boy
1961,Michael,894.0,boy
1961,Mark,793.0,boy
1961,James,719.0,boy
1961,John,718.0,boy
1961,Robert,659.0,boy
1961,Kevin,493.0,boy
1961,Steven,443.0,boy
1961,William,402.0,boy
1961,Richard,392.0,boy
1961,Jeffrey,360.0,boy
1961,Brian,303.0,boy
1961,Scott,297.0,boy
1961,Gary,289.0,boy
1961,Thomas,285.0,boy
1961,Timothy,275.0,boy
1961,Douglas,272.0,boy
1961,Kenneth,258.0,boy
1961,Daniel,255.0,boy
1961,Gregory,253.0,boy
1961,Charles,252.0,boy
1961,Larry,250.0,boy
1961,Terry,229.0,boy
1961,Donald,222.0,boy
1961,Ronald,221.0,boy
1961,Mike,213.0,boy
1961,Paul,213.0,boy
