year,name,number,sex
1960,James,1739.0,boy
1960,David,1548.0,boy
1960,Michael,1182.0,boy
1960,William,1107.0,boy
1960,John,1051.0,boy
1960,Robert,1027.0,boy
1960,Mark,987.0,boy
1960,Charles,830.0,boy
1960,Timothy,767.0,boy
1960,Richard,568.0,boy
1960,Kenneth,567.0,boy
1960,Ricky,555.0,boy
1960,Gary,538.0,boy
1960,Jeffrey,537.0,boy
1960,Thomas,526.0,boy
1960,Gregory,477.0,boy
1960,Donald,468.0,boy
1960,Steven,464.0,boy
1960,Larry,458.0,boy
1960,Joseph,451.0,boy
1960,Terry,449.0,boy
1960,Paul,402.0,boy
1960,Kevin,383.0,boy
1960,Danny,380.0,boy
1960,Jerry,372.0,boy
1960,Ronald,349.0,boy
1960,Anthony,341.0,boy
1960,Billy,324.0,boy
1960,Roger,309.0,boy
1960,Daniel,282.0,boy
1960,Stephen,277.0,boy
1960,Dennis,268.0,boy
1960,Douglas,251.0,boy
1960,Tony,247.0,boy
1960,Jeffery,243.0,boy
1960,Keith,239.0,boy
1960,George,231.0,boy
1960,Bobby,227.0,boy
1960,Randy,218.0,boy
1960,Barry,214.0,boy
1960,Steve,211.0,boy
1960,Ronnie,209.0,boy
1960,Christopher,207.0,boy
1960,Darrell,207.0,boy
1960,Johnny,206.0,boy
1960,Jimmy,198.0,boy
1960,Randall,193.0,boy
1960,Mike,188.0,boy
1960,Phillip,176.0,boy
1960,Edward,175.0,boy
1960,Bruce,168.0,boy
1960,Jeff,165.0,boy
1960,Joe,157.0,boy
1960,Carl,155.0,boy
1960,Brian,154.0,boy
1960,Roy,147.0,boy
1960,Harold,144.0,boy
1960,Scott,131.0,boy
1960,Tommy,130.0,boy
1960,Tim,121.0,boy
1960,Glenn,120.0,boy
1960,Eddie,119.0,boy
1960,Frank,115.0,boy
1960,Rodney,114.0,boy
1960,Donnie,111.0,boy
1960,Raymond,110.0,boy
1960,Timmy,109.0,boy
1960,Greg,106.0,boy
1960,Patrick,106.0,boy
1960,Russell,106.0,boy
1960,Eric,103.0,boy
1960,Dale,102.0,boy
1960,Gerald,102.0,boy
1960,Jackie,99.0,boy
1960,Wayne,97.0,boy
1960,Rickey,95.0,boy
1960,Ralph,92.0,boy
1960,Micheal,91.0,boy
1960,Jack,90.0,boy
1960,Craig,87.0,boy
1960,Walter,86.0,boy
1960,Kenny,84.0,boy
1960,Dwayne,83.0,boy
1960,Alan,81.0,boy
1960,Chris,80.0,boy
1960,Philip,80.0,boy
1960,Darryl,79.0,boy
1960,Henry,79.0,boy
1960,Lonnie,79.0,boy
1960,Samuel,76.0,boy
1960,Lawrence,75.0,boy
1960,Stanley,75.0,boy
1960,Bill,73.0,boy
1960,Bradley,72.0,boy
1960,Curtis,72.0,boy
1960,Allen,68.0,boy
1960,Arthur,68.0,boy
1960,Martin,66.0,boy
1960,Jim,63.0,boy
1960,Don,62.0,boy
1961,James,1623.0,boy
1961,David,1457.0,boy
1961,Michael,1291.0,boy
1961,John,1132.0,boy
1961,William,1085.0,boy
1961,Robert,1057.0,boy
1961,Mark,980.0,boy
1961,Timothy,790.0,boy
1961,Charles,743.0,boy
1961,Jeffrey,587.0,boy
1961,Richard,536.0,boy
1961,Gary,509.0,boy
1961,Kenneth,479.0,boy
1961,Gregory,459.0,boy
1961,Terry,451.0,boy
1961,Donald,446.0,boy
1961,Thomas,445.0,boy
1961,Ricky,444.0,boy
1961,Joseph,441.0,boy
1961,Paul,428.0,boy
1961,Steven,417.0,boy
1961,Larry,393.0,boy
1961,Anthony,370.0,boy
1961,Kevin,361.0,boy
1961,Jerry,321.0,boy
1961,Billy,317.0,boy
1961,Ronald,315.0,boy
1961,Danny,304.0,boy
1961,Jeffery,302.0,boy
1961,Roger,275.0,boy
1961,Daniel,258.0,boy
1961,George,255.0,boy
1961,Douglas,248.0,boy
1961,Stephen,245.0,boy
1961,Tony,244.0,boy
1961,Bobby,234.0,boy
1961,Keith,231.0,boy
1961,Brian,214.0,boy
1961,Randy,214.0,boy
1961,Mike,211.0,boy
1961,Christopher,209.0,boy
1961,Dennis,209.0,boy
1961,Edward,204.0,boy
1961,Jimmy,193.0,boy
1961,Barry,184.0,boy
1961,Ronnie,181.0,boy
1961,Steve,181.0,boy
1961,Johnny,180.0,boy
1961,Darrell,176.0,boy
1961,Randall,170.0,boy
1961,Jeff,160.0,boy
1961,Phillip,160.0,boy
1961,Scott,159.0,boy
1961,Harold,150.0,boy
1961,Bruce,144.0,boy
1961,Tim,136.0,boy
1961,Raymond,130.0,boy
1961,Carl,129.0,boy
1961,Joe,129.0,boy
1961,Rodney,123.0,boy
1961,Eddie,122.0,boy
1961,Patrick,121.0,boy
1961,Tommy,116.0,boy
1961,Roy,114.0,boy
1961,Glenn,109.0,boy
1961,Gerald,108.0,boy
1961,Greg,108.0,boy
1961,Russell,107.0,boy
1961,Timmy,107.0,boy
1961,Eric,104.0,boy
1961,Todd,104.0,boy
1961,Frank,102.0,boy
1961,Dale,100.0,boy
1961,Jackie,100.0,boy
1961,Micheal,100.0,boy
1961,Samuel,100.0,boy
1961,Chris,97.0,boy
1961,Donnie,96.0,boy
1961,Alan,95.0,boy
1961,Jack,92.0,boy
1961,Curtis,91.0,boy
1961,Wayne,90.0,boy
1961,Dwayne,89.0,boy
1961,Philip,89.0,boy
1961,Martin,85.0,boy
1961,Mitchell,82.0,boy
1961,Henry,80.0,boy
1961,Troy,80.0,boy
1961,Allen,76.0,boy
1961,Craig,75.0,boy
