year,name,number,sex
1960,Michael,1556.0,boy
1960,David,1364.0,boy
1960,James,1362.0,boy
1960,John,1262.0,boy
1960,Robert,1068.0,boy
1960,Charles,812.0,boy
1960,Mark,780.0,boy
1960,Kenneth,721.0,boy
1960,Joseph,681.0,boy
1960,William,647.0,boy
1960,Donald,589.0,boy
1960,Richard,546.0,boy
1960,Ronald,486.0,boy
1960,Gregory,479.0,boy
1960,Kevin,477.0,boy
1960,Larry,457.0,boy
1960,Thomas,436.0,boy
1960,Anthony,434.0,boy
1960,Paul,429.0,boy
1960,Timothy,383.0,boy
1960,Gary,382.0,boy
1960,Keith,382.0,boy
1960,Terry,374.0,boy
1960,Steven,352.0,boy
1960,Ricky,340.0,boy
1960,Jerry,321.0,boy
1960,Edward,305.0,boy
1960,Brian,301.0,boy
1960,Randy,296.0,boy
1960,Carl,291.0,boy
1960,Stephen,291.0,boy
1960,Dennis,283.0,boy
1960,Willie,283.0,boy
1960,Christopher,272.0,boy
1960,Daniel,268.0,boy
1960,George,259.0,boy
1960,Johnny,253.0,boy
1960,Raymond,220.0,boy
1960,Jeffrey,218.0,boy
1960,Micheal,216.0,boy
1960,Craig,212.0,boy
1960,Patrick,212.0,boy
1960,Bobby,209.0,boy
1960,Billy,206.0,boy
1960,Eric,201.0,boy
1960,Danny,200.0,boy
1960,Frank,200.0,boy
1960,Gerald,200.0,boy
1960,Henry,200.0,boy
1960,Jimmy,195.0,boy
1960,Wayne,191.0,boy
1960,Rodney,186.0,boy
1960,Bruce,182.0,boy
1960,Ronnie,179.0,boy
1960,Jeffery,176.0,boy
1960,Calvin,173.0,boy
1960,Glenn,173.0,boy
1960,Russell,171.0,boy
1960,Scott,167.0,boy
1960,Albert,166.0,boy
1960,Bryan,166.0,boy
1960,Darrell,162.0,boy
1960,Roy,161.0,boy
1960,Walter,161.0,boy
1960,Tony,159.0,boy
1960,Douglas,158.0,boy
1960,Barry,157.0,boy
1960,Randall,157.0,boy
1960,Eddie,155.0,boy
1960,Louis,155.0,boy
1960,Melvin,155.0,boy
1960,Darryl,147.0,boy
1960,Tommy,147.0,boy
1960,Dwayne,146.0,boy
1960,Chris,144.0,boy
1960,Lawrence,143.0,boy
1960,Curtis,142.0,boy
1960,Arthur,138.0,boy
1960,Mike,137.0,boy
1960,Steve,135.0,boy
1960,Allen,131.0,boy
1960,Alvin,130.0,boy
1960,Roger,130.0,boy
1960,Rickey,126.0,boy
1960,Darren,123.0,boy
1960,Harold,123.0,boy
1960,Reginald,123.0,boy
1960,Samuel,122.0,boy
1960,Clarence,115.0,boy
1960,Leonard,114.0,boy
1960,Dale,111.0,boy
1960,Andrew,107.0,boy
1960,Joe,107.0,boy
1960,Phillip,107.0,boy
1960,Ernest,106.0,boy
1960,Tyrone,104.0,boy
1960,Don,103.0,boy
1960,Earl,102.0,boy
1960,Lee,102.0,boy
1960,Peter,100.0,boy
1961,Michael,1581.0,boy
1961,John,1325.0,boy
1961,David,1260.0,boy
1961,James,1237.0,boy
1961,Robert,1052.0,boy
1961,Mark,850.0,boy
1961,Charles,754.0,boy
1961,Kenneth,663.0,boy
1961,Joseph,661.0,boy
1961,William,654.0,boy
1961,Kevin,559.0,boy
1961,Donald,543.0,boy
1961,Gregory,510.0,boy
1961,Richard,491.0,boy
1961,Anthony,435.0,boy
1961,Paul,417.0,boy
1961,Ronald,413.0,boy
1961,Thomas,412.0,boy
1961,Gary,397.0,boy
1961,Larry,366.0,boy
1961,Terry,361.0,boy
1961,Timothy,356.0,boy
1961,Keith,351.0,boy
1961,Brian,331.0,boy
1961,Steven,320.0,boy
1961,Ricky,299.0,boy
1961,Daniel,283.0,boy
1961,Jerry,280.0,boy
1961,Patrick,273.0,boy
1961,Stephen,268.0,boy
1961,Randy,256.0,boy
1961,Edward,254.0,boy
1961,Carl,247.0,boy
1961,George,247.0,boy
1961,Jeffrey,242.0,boy
1961,Christopher,240.0,boy
1961,Johnny,235.0,boy
1961,Craig,227.0,boy
1961,Willie,226.0,boy
1961,Dennis,223.0,boy
1961,Jeffery,222.0,boy
1961,Billy,213.0,boy
1961,Dwayne,213.0,boy
1961,Gerald,207.0,boy
1961,Raymond,206.0,boy
1961,Bobby,205.0,boy
1961,Bruce,194.0,boy
1961,Scott,194.0,boy
1961,Wayne,190.0,boy
1961,Bryan,186.0,boy
1961,Eric,185.0,boy
1961,Danny,184.0,boy
1961,Frank,183.0,boy
1961,Micheal,183.0,boy
1961,Troy,183.0,boy
1961,Henry,179.0,boy
1961,Darryl,175.0,boy
1961,Darrell,172.0,boy
1961,Louis,172.0,boy
1961,Rodney,171.0,boy
1961,Roy,168.0,boy
1961,Tony,167.0,boy
1961,Chris,166.0,boy
1961,Douglas,165.0,boy
1961,Glenn,164.0,boy
1961,Todd,164.0,boy
1961,Harold,162.0,boy
1961,Russell,162.0,boy
1961,Barry,155.0,boy
1961,Jimmy,155.0,boy
1961,Calvin,152.0,boy
1961,Melvin,152.0,boy
1961,Curtis,147.0,boy
1961,Alvin,144.0,boy
1961,Ronnie,143.0,boy
1961,Randall,139.0,boy
1961,Walter,139.0,boy
1961,Roger,137.0,boy
1961,Tommy,133.0,boy
1961,Albert,132.0,boy
1961,Lawrence,131.0,boy
1961,Mike,130.0,boy
1961,Allen,129.0,boy
1961,Eddie,128.0,boy
1961,Samuel,126.0,boy
1961,Clarence,125.0,boy
1961,Andrew,124.0,boy
1961,Arthur,123.0,boy
1961,Dale,123.0,boy
1961,Phillip,123.0,boy
1961,Steve,123.0,boy
1961,Peter,115.0,boy
1961,Joe,113.0,boy
1961,Earl,110.0,boy
1961,Rickey,110.0,boy
1961,Reginald,109.0,boy
1961,Marvin,107.0,boy
1961,Jerome,105.0,boy
1961,Tyrone,102.0,boy
1961,Ernest,101.0,boy
1961, ,,boy
1962,Michael,1492.0,boy
1962,John,1285.0,boy
1962,James,1252.0,boy
1962,David,1161.0,boy
1962,Robert,976.0,boy
1962,Mark,810.0,boy
1962,Charles,709.0,boy
1962,Joseph,694.0,boy
1962,Kenneth,677.0,boy
