year,name,number,sex
1960,John,3475.0,boy
1960,Michael,3258.0,boy
1960,David,3117.0,boy
1960,Robert,2846.0,boy
1960,James,2508.0,boy
1960,Mark,2147.0,boy
1960,Richard,1948.0,boy
1960,William,1858.0,boy
1960,Paul,1803.0,boy
1960,Thomas,1669.0,boy
1960,Joseph,1478.0,boy
1960,Stephen,1235.0,boy
1960,Steven,1234.0,boy
1960,Kevin,1070.0,boy
1960,Brian,1028.0,boy
1960,Daniel,1010.0,boy
1960,Peter,996.0,boy
1960,Jeffrey,793.0,boy
1960,Scott,776.0,boy
1960,Edward,770.0,boy
1960,Kenneth,731.0,boy
1960,Charles,698.0,boy
1960,Timothy,684.0,boy
1960,Christopher,682.0,boy
1960,Donald,662.0,boy
1960,Gary,568.0,boy
1960,Ronald,540.0,boy
1960,George,484.0,boy
1960,Anthony,422.0,boy
1960,Bruce,405.0,boy
1960,Douglas,359.0,boy
1960,Andrew,358.0,boy
1960,Raymond,336.0,boy
1960,Dennis,331.0,boy
1960,Gregory,327.0,boy
1960,Philip,323.0,boy
1960,Wayne,322.0,boy
1960,Alan,318.0,boy
1960,Eric,315.0,boy
1960,Frank,297.0,boy
1960,Lawrence,271.0,boy
1960,Matthew,264.0,boy
1960,Francis,262.0,boy
1960,Keith,247.0,boy
1960,Patrick,247.0,boy
1960,Craig,234.0,boy
1960,Glenn,214.0,boy
1960,Russell,213.0,boy
1960,Arthur,210.0,boy
1960,Walter,206.0,boy
1960,Barry,197.0,boy
1960,Jonathan,189.0,boy
1960,Frederick,176.0,boy
1960,Gerald,173.0,boy
1960,Carl,169.0,boy
1960,Roger,169.0,boy
1960,Dana,161.0,boy
1960,Jay,153.0,boy
1960,Vincent,152.0,boy
1960,Louis,148.0,boy
1960,Ralph,147.0,boy
1960,Albert,138.0,boy
1960,Dean,130.0,boy
1960,Steve,130.0,boy
1960,Martin,124.0,boy
1960,Marc,121.0,boy
1960,Gerard,114.0,boy
1960,Sean,113.0,boy
1960,Jon,112.0,boy
1960,Henry,106.0,boy
1960,Mike,102.0,boy
1960,Dale,100.0,boy
1960,Shawn,100.0,boy
1960,Larry,98.0,boy
1960,Leonard,98.0,boy
1960,Alfred,96.0,boy
1960,Nicholas,95.0,boy
1960,Neil,93.0,boy
1960,Phillip,93.0,boy
1960,Eugene,92.0,boy
1960,Todd,91.0,boy
1960,Harold,89.0,boy
1960,Randy,89.0,boy
1960,Howard,87.0,boy
1960,Ernest,83.0,boy
1960,Leo,82.0,boy
1960,Chris,80.0,boy
1960,Karl,78.0,boy
1960,Norman,78.0,boy
1960,Theodore,78.0,boy
1960,Bryan,74.0,boy
1960,Roy,74.0,boy
1960,Glen,72.0,boy
1960,Randall,71.0,boy
1960,Fred,70.0,boy
1960,Stanley,69.0,boy
1960,Allen,64.0,boy
1960,Jeff,64.0,boy
1960,Gordon,63.0,boy
1960,Joel,63.0,boy
1961,John,3605.0,boy
1961,Michael,3300.0,boy
1961,Robert,3002.0,boy
1961,David,2942.0,boy
1961,James,2562.0,boy
1961,Mark,2036.0,boy
1961,Richard,1895.0,boy
1961,William,1783.0,boy
1961,Paul,1673.0,boy
1961,Thomas,1569.0,boy
1961,Joseph,1458.0,boy
1961,Stephen,1227.0,boy
1961,Steven,1114.0,boy
1961,Kevin,1094.0,boy
1961,Daniel,1039.0,boy
1961,Brian,1006.0,boy
1961,Peter,922.0,boy
1961,Scott,886.0,boy
1961,Edward,854.0,boy
1961,Jeffrey,831.0,boy
1961,Christopher,813.0,boy
1961,Kenneth,731.0,boy
1961,Timothy,722.0,boy
1961,Charles,653.0,boy
1961,Gary,590.0,boy
1961,Donald,586.0,boy
1961,Ronald,528.0,boy
1961,George,482.0,boy
1961,Anthony,469.0,boy
1961,Douglas,419.0,boy
1961,Bruce,390.0,boy
1961,Gregory,370.0,boy
1961,Andrew,335.0,boy
1961,Raymond,327.0,boy
1961,Alan,324.0,boy
1961,Eric,320.0,boy
1961,Dennis,319.0,boy
1961,Frank,307.0,boy
1961,Philip,298.0,boy
1961,Wayne,297.0,boy
1961,Patrick,293.0,boy
1961,Keith,284.0,boy
1961,Glenn,280.0,boy
1961,Matthew,276.0,boy
1961,Francis,264.0,boy
1961,Lawrence,239.0,boy
1961,Russell,223.0,boy
1961,Craig,205.0,boy
1961,Arthur,202.0,boy
1961,Barry,195.0,boy
1961,Roger,195.0,boy
1961,Todd,171.0,boy
1961,Carl,166.0,boy
1961,Dana,165.0,boy
1961,Jonathan,163.0,boy
1961,Frederick,161.0,boy
1961,Marc,161.0,boy
1961,Gerald,155.0,boy
1961,Walter,155.0,boy
1961,Jay,148.0,boy
1961,Ralph,145.0,boy
1961,Sean,139.0,boy
1961,Martin,135.0,boy
1961,Dean,121.0,boy
1961,Henry,121.0,boy
1961,Chris,119.0,boy
1961,Louis,115.0,boy
1961,Albert,114.0,boy
1961,Steve,112.0,boy
1961,Shawn,111.0,boy
1961,Vincent,110.0,boy
1961,Leonard,107.0,boy
1961,Neil,100.0,boy
1961,Glen,98.0,boy
1961,Norman,97.0,boy
1961,Ernest,95.0,boy
1961,Jon,94.0,boy
1961,Nicholas,94.0,boy
1961,Eugene,93.0,boy
1961,Gerard,93.0,boy
1961,Larry,93.0,boy
1961,Mike,90.0,boy
1961,Dale,88.0,boy
1961,Theodore,88.0,boy
1961,Alfred,87.0,boy
1961,Roy,81.0,boy
1961,Leo,79.0,boy
1961,Randy,79.0,boy
1961,Phillip,78.0,boy
1961,Bryan,77.0,boy
1961,Howard,77.0,boy
1961,Jeff,72.0,boy
1961,Randall,72.0,boy
1961,Harold,70.0,boy
1961,Karl,69.0,boy
1961,Victor,67.0,boy
1961,Kurt,65.0,boy
1961,Stanley,65.0,boy
1961,Jeffery,64.0,boy
1961,Joel,64.0,boy
1961, ,,boy
1962,John,3459.0,boy
1962,Michael,3301.0,boy
1962,David,3086.0,boy
1962,Robert,2855.0,boy
1962,James,2405.0,boy
1962,Mark,1895.0,boy
1962,Richard,1722.0,boy
