year,name,number,sex
1960,Michael,1593.0,boy
1960,David,1451.0,boy
1960,John,1379.0,boy
1960,Robert,1336.0,boy
1960,James,1268.0,boy
1960,William,1102.0,boy
1960,Mark,966.0,boy
1960,Charles,794.0,boy
1960,Thomas,737.0,boy
1960,Richard,710.0,boy
1960,Joseph,642.0,boy
1960,Steven,558.0,boy
1960,Kevin,534.0,boy
1960,Timothy,508.0,boy
1960,Kenneth,459.0,boy
1960,Donald,458.0,boy
1960,Jeffrey,455.0,boy
1960,Paul,398.0,boy
1960,Brian,395.0,boy
1960,Anthony,388.0,boy
1960,Ronald,369.0,boy
1960,Daniel,349.0,boy
1960,Gregory,338.0,boy
1960,Gary,337.0,boy
1960,Edward,335.0,boy
1960,George,323.0,boy
1960,Stephen,319.0,boy
1960,Christopher,277.0,boy
1960,Keith,244.0,boy
1960,Scott,220.0,boy
1960,Dennis,214.0,boy
1960,Douglas,211.0,boy
1960,Wayne,211.0,boy
1960,Eric,204.0,boy
1960,Raymond,197.0,boy
1960,Larry,194.0,boy
1960,Terry,172.0,boy
1960,Craig,170.0,boy
1960,Patrick,167.0,boy
1960,Bruce,165.0,boy
1960,Frank,160.0,boy
1960,Andrew,149.0,boy
1960,Carl,142.0,boy
1960,Dale,133.0,boy
1960,Lawrence,129.0,boy
1960,Walter,125.0,boy
1960,Matthew,123.0,boy
1960,Alan,120.0,boy
1960,Mike,119.0,boy
1960,Russell,119.0,boy
1960,Randy,118.0,boy
1960,Barry,117.0,boy
1960,Jerry,117.0,boy
1960,Steve,117.0,boy
1960,Ricky,116.0,boy
1960,Rodney,115.0,boy
1960,Glenn,111.0,boy
1960,Darryl,109.0,boy
1960,Peter,108.0,boy
1960,Philip,107.0,boy
1960,Phillip,106.0,boy
1960,Ralph,106.0,boy
1960,Samuel,106.0,boy
1960,Harry,101.0,boy
1960,Roger,101.0,boy
1960,Dwayne,99.0,boy
1960,Bernard,97.0,boy
1960,Albert,96.0,boy
1960,Gerald,95.0,boy
1960,Jeffery,94.0,boy
1960,Howard,92.0,boy
1960,Curtis,90.0,boy
1960,Melvin,90.0,boy
1960,Marvin,89.0,boy
1960,Bryan,88.0,boy
1960,Eugene,88.0,boy
1960,Frederick,87.0,boy
1960,Tony,86.0,boy
1960,Louis,85.0,boy
1960,Roy,84.0,boy
1960,Ronnie,82.0,boy
1960,Vincent,82.0,boy
1960,Henry,81.0,boy
1960,Tyrone,80.0,boy
1960,Martin,79.0,boy
1960,Reginald,78.0,boy
1960,Danny,77.0,boy
1960,Allen,75.0,boy
1960,Francis,75.0,boy
1960,Harold,75.0,boy
1960,Earl,72.0,boy
1960,Jerome,72.0,boy
1960,Randall,72.0,boy
1960,Andre,71.0,boy
1960,Stanley,70.0,boy
1960,Jeff,68.0,boy
1960,Leonard,68.0,boy
1960,Norman,68.0,boy
1960,Arthur,66.0,boy
1960,Jay,66.0,boy
1961,Michael,1585.0,boy
1961,John,1580.0,boy
1961,David,1429.0,boy
1961,James,1310.0,boy
1961,Robert,1310.0,boy
1961,William,1110.0,boy
1961,Mark,928.0,boy
1961,Charles,731.0,boy
1961,Richard,709.0,boy
1961,Joseph,644.0,boy
1961,Thomas,608.0,boy
1961,Kevin,558.0,boy
1961,Jeffrey,534.0,boy
1961,Steven,481.0,boy
1961,Kenneth,464.0,boy
1961,Timothy,443.0,boy
1961,Donald,430.0,boy
1961,Brian,423.0,boy
1961,Paul,400.0,boy
1961,Anthony,399.0,boy
1961,Gary,397.0,boy
1961,Ronald,351.0,boy
1961,George,344.0,boy
1961,Daniel,342.0,boy
1961,Gregory,338.0,boy
1961,Edward,317.0,boy
1961,Christopher,295.0,boy
1961,Stephen,293.0,boy
1961,Douglas,243.0,boy
1961,Keith,241.0,boy
1961,Eric,240.0,boy
1961,Scott,228.0,boy
1961,Larry,217.0,boy
1961,Wayne,210.0,boy
1961,Bruce,197.0,boy
1961,Frank,182.0,boy
1961,Raymond,175.0,boy
1961,Patrick,168.0,boy
1961,Dennis,163.0,boy
1961,Craig,158.0,boy
1961,Barry,145.0,boy
1961,Terry,141.0,boy
1961,Andrew,134.0,boy
1961,Glenn,134.0,boy
