year,name,number,sex
1960,David,586.0,boy
1960,Michael,582.0,boy
1960,Robert,405.0,boy
1960,James,389.0,boy
1960,John,378.0,boy
1960,Mark,362.0,boy
1960,Richard,341.0,boy
1960,William,244.0,boy
1960,Daniel,235.0,boy
1960,Timothy,212.0,boy
1960,Thomas,203.0,boy
1960,Peter,202.0,boy
1960,Steven,202.0,boy
1960,Jeffrey,199.0,boy
1960,Scott,197.0,boy
1960,Paul,183.0,boy
1960,Kevin,168.0,boy
1960,Stephen,160.0,boy
1960,Donald,157.0,boy
1960,Gary,156.0,boy
1960,Brian,153.0,boy
1960,Ronald,129.0,boy
1960,Joseph,128.0,boy
1960,Bruce,127.0,boy
1960,Charles,123.0,boy
1960,Kenneth,122.0,boy
1960,Christopher,109.0,boy
1960,Gregory,109.0,boy
1960,Dale,84.0,boy
1960,Dennis,82.0,boy
1960,Raymond,79.0,boy
1960,Craig,77.0,boy
1960,Alan,72.0,boy
1960,Roger,72.0,boy
1960,Wayne,72.0,boy
1960,Douglas,69.0,boy
1960,George,67.0,boy
1960,Andrew,66.0,boy
1960,Edward,66.0,boy
1960,Dana,65.0,boy
1960,Keith,64.0,boy
1960,Larry,64.0,boy
1960,Patrick,64.0,boy
1960,Randy,64.0,boy
1960,Eric,63.0,boy
1960,Russell,59.0,boy
1960,Ricky,57.0,boy
1960,Philip,56.0,boy
1960,Danny,55.0,boy
1960,Randall,54.0,boy
1960,Marc,50.0,boy
1960,Gerald,48.0,boy
1960,Jay,45.0,boy
1960,Anthony,44.0,boy
1960,Arthur,43.0,boy
1960,Terry,42.0,boy
1960,Carl,41.0,boy
1960,Frank,40.0,boy
1960,Jeffery,40.0,boy
1960,Lawrence,40.0,boy
1960,Matthew,40.0,boy
1960,Eugene,39.0,boy
1960,Chris,37.0,boy
1960,Frederick,37.0,boy
1960,Glenn,37.0,boy
1960,Ralph,37.0,boy
1960,Barry,36.0,boy
1960,Norman,35.0,boy
1960,Mike,34.0,boy
1960,Dean,33.0,boy
1960,Walter,32.0,boy
1960,Joel,31.0,boy
1960,Jonathan,31.0,boy
1960,Steve,31.0,boy
1960,Jeff,29.0,boy
1960,Todd,29.0,boy
1960,Allen,28.0,boy
1960,Fred,28.0,boy
1960,Martin,28.0,boy
1960,Brent,27.0,boy
1960,Rodney,27.0,boy
1960,Dwayne,26.0,boy
1960,Jerry,26.0,boy
1960,Harold,25.0,boy
1960,Roland,25.0,boy
1960,Jon,24.0,boy
1960,Darren,23.0,boy
1960,Glen,22.0,boy
1960,Reginald,22.0,boy
1960,Shawn,22.0,boy
1960,Stanley,22.0,boy
1960,Ernest,21.0,boy
1960,Lee,21.0,boy
1960,Albert,20.0,boy
1960,Lloyd,20.0,boy
1960,Maurice,20.0,boy
1960,Tony,20.0,boy
1960,Bradley,19.0,boy
1960,Guy,19.0,boy
1960,Darryl,18.0,boy
1960,Gerard,18.0,boy
1960,Roy,18.0,boy
1961,David,555.0,boy
1961,Michael,541.0,boy
1961,John,419.0,boy
1961,James,382.0,boy
1961,Robert,380.0,boy
1961,Mark,375.0,boy
1961,Richard,312.0,boy
1961,Scott,283.0,boy
1961,Jeffrey,252.0,boy
1961,William,244.0,boy
1961,Daniel,220.0,boy
1961,Timothy,215.0,boy
1961,Peter,206.0,boy
1961,Thomas,201.0,boy
1961,Paul,198.0,boy
1961,Steven,188.0,boy
1961,Kevin,184.0,boy
1961,Stephen,173.0,boy
1961,Brian,157.0,boy
1961,Ronald,157.0,boy
1961,Gary,156.0,boy
1961,Donald,138.0,boy
1961,Joseph,129.0,boy
1961,Charles,115.0,boy
1961,Bruce,113.0,boy
1961,Kenneth,109.0,boy
1961,Christopher,106.0,boy
1961,Gregory,106.0,boy
1961,Dennis,92.0,boy
1961,Douglas,90.0,boy
1961,Dana,88.0,boy
1961,Keith,82.0,boy
1961,Alan,81.0,boy
1961,Dale,72.0,boy
1961,Roger,72.0,boy
1961,Randy,70.0,boy
1961,George,68.0,boy
1961,Patrick,67.0,boy
1961,Wayne,66.0,boy
1961,Anthony,63.0,boy
1961,Craig,63.0,boy
1961,Raymond,61.0,boy
1961,Andrew,60.0,boy
1961,Larry,58.0,boy
1961,Edward,57.0,boy
1961,Philip,57.0,boy
1961,Russell,57.0,boy
1961,Eric,54.0,boy
1961,Glenn,52.0,boy
1961,Arthur,47.0,boy
1961,Carl,47.0,boy
1961,Ricky,47.0,boy
1961,Terry,47.0,boy
1961,Dean,44.0,boy
1961,Jay,44.0,boy
