year,name,number,sex
1960,David,1975.0,boy
1960,Mark,1754.0,boy
1960,Michael,1668.0,boy
1960,John,1523.0,boy
1960,James,1460.0,boy
1960,Thomas,1228.0,boy
1960,Robert,1220.0,boy
1960,Steven,1168.0,boy
1960,Scott,1153.0,boy
1960,Timothy,950.0,boy
1960,Daniel,904.0,boy
1960,Kevin,899.0,boy
1960,Jeffrey,867.0,boy
1960,Paul,837.0,boy
1960,Richard,837.0,boy
1960,Brian,735.0,boy
1960,William,617.0,boy
1960,Joseph,526.0,boy
1960,Gary,518.0,boy
1960,Gregory,503.0,boy
1960,Todd,488.0,boy
1960,Randy,484.0,boy
1960,Douglas,463.0,boy
1960,Ronald,397.0,boy
1960,Bruce,382.0,boy
1960,Charles,381.0,boy
1960,Craig,372.0,boy
1960,Donald,366.0,boy
1960,Bradley,359.0,boy
1960,Steve,351.0,boy
1960,Kenneth,346.0,boy
1960,Tim,337.0,boy
1960,Patrick,334.0,boy
1960,Mike,326.0,boy
1960,Dale,320.0,boy
1960,Peter,306.0,boy
1960,Dennis,305.0,boy
1960,Keith,302.0,boy
1960,Terry,291.0,boy
1960,Dean,273.0,boy
1960,Jeff,267.0,boy
1960,Larry,257.0,boy
1960,Tom,248.0,boy
1960,Jay,244.0,boy
1960,Christopher,239.0,boy
1960,Jon,237.0,boy
1960,Joel,224.0,boy
1960,Roger,223.0,boy
1960,Stephen,220.0,boy
1960,Greg,204.0,boy
1960,Jim,200.0,boy
1960,Alan,196.0,boy
1960,Wayne,195.0,boy
1960,Dan,191.0,boy
1960,Randall,182.0,boy
1960,Gerald,173.0,boy
1960,Ricky,166.0,boy
1960,Edward,164.0,boy
1960,Eric,164.0,boy
1960,Anthony,162.0,boy
1960,Duane,159.0,boy
1960,Chris,150.0,boy
1960,Curtis,149.0,boy
1960,Rick,149.0,boy
1960,Jerry,148.0,boy
1960,Bryan,145.0,boy
1960,Brad,133.0,boy
1960,Dave,133.0,boy
1960,Russell,131.0,boy
1960,Kurt,128.0,boy
1960,Joe,127.0,boy
1960,Jeffery,124.0,boy
1960,Kent,118.0,boy
1960,Matthew,115.0,boy
1960,Rodney,113.0,boy
1960,Allen,111.0,boy
1960,Bob,111.0,boy
1960,Philip,110.0,boy
1960,Andrew,109.0,boy
1960,George,107.0,boy
1960,Danny,103.0,boy
1960,Kelly,101.0,boy
1960,Lee,98.0,boy
1960,Bill,96.0,boy
1960,Mitchell,95.0,boy
1960,Raymond,93.0,boy
1960,Frank,92.0,boy
1960,Jerome,92.0,boy
1960,Martin,91.0,boy
1960,Lawrence,83.0,boy
1960,Tony,82.0,boy
1960,Micheal,79.0,boy
1960,Brett,77.0,boy
1960,Perry,76.0,boy
1960,Glenn,73.0,boy
1960,Glen,72.0,boy
1960,Karl,72.0,boy
1960,Allan,70.0,boy
1960,Eugene,70.0,boy
1960,Barry,69.0,boy
1960,Loren,69.0,boy
1961,David,1934.0,boy
1961,Michael,1707.0,boy
1961,Mark,1611.0,boy
1961,John,1512.0,boy
1961,James,1341.0,boy
1961,Scott,1173.0,boy
1961,Robert,1159.0,boy
1961,Thomas,1081.0,boy
1961,Steven,1079.0,boy
1961,Jeffrey,935.0,boy
1961,Daniel,932.0,boy
1961,Timothy,879.0,boy
1961,Kevin,850.0,boy
1961,Paul,841.0,boy
1961,Brian,777.0,boy
1961,Richard,732.0,boy
1961,Todd,648.0,boy
1961,William,594.0,boy
1961,Gregory,569.0,boy
1961,Gary,473.0,boy
