year,name,number,sex
1960,David,2071.0,boy
1960,Michael,2002.0,boy
1960,James,1791.0,boy
1960,John,1762.0,boy
1960,Mark,1695.0,boy
1960,Robert,1535.0,boy
1960,William,1081.0,boy
1960,Steven,985.0,boy
1960,Richard,938.0,boy
1960,Kevin,937.0,boy
1960,Charles,762.0,boy
1960,Thomas,761.0,boy
1960,Timothy,682.0,boy
1960,Kenneth,661.0,boy
1960,Gary,631.0,boy
1960,Jeffrey,629.0,boy
1960,Donald,623.0,boy
1960,Daniel,607.0,boy
1960,Larry,560.0,boy
1960,Paul,558.0,boy
1960,Gregory,551.0,boy
1960,Ronald,533.0,boy
1960,Terry,516.0,boy
1960,Joseph,503.0,boy
1960,Dennis,498.0,boy
1960,Randy,497.0,boy
1960,Brian,482.0,boy
1960,Mike,430.0,boy
1960,Keith,428.0,boy
1960,Scott,422.0,boy
1960,Douglas,413.0,boy
1960,Stephen,407.0,boy
1960,Christopher,387.0,boy
1960,Anthony,386.0,boy
1960,Steve,377.0,boy
1960,Jerry,374.0,boy
1960,Ricky,342.0,boy
1960,Danny,319.0,boy
1960,Craig,293.0,boy
1960,Roger,285.0,boy
1960,Bruce,271.0,boy
1960,Edward,265.0,boy
1960,Jeff,259.0,boy
1960,Tim,248.0,boy
1960,Patrick,246.0,boy
1960,Jim,239.0,boy
1960,George,229.0,boy
1960,Dale,227.0,boy
1960,Randall,225.0,boy
1960,Carl,215.0,boy
1960,Chris,212.0,boy
1960,Russell,205.0,boy
1960,Alan,204.0,boy
1960,Eric,202.0,boy
1960,Rodney,196.0,boy
1960,Billy,194.0,boy
1960,Matthew,191.0,boy
1960,Raymond,187.0,boy
1960,Greg,178.0,boy
1960,Joe,174.0,boy
1960,Phillip,171.0,boy
1960,Jeffery,168.0,boy
1960,Tom,166.0,boy
1960,Rick,159.0,boy
1960,Tony,159.0,boy
1960,Curtis,158.0,boy
1960,Jimmy,158.0,boy
1960,Roy,146.0,boy
1960,Bill,145.0,boy
1960,Harold,145.0,boy
1960,Darryl,143.0,boy
1960,Frank,142.0,boy
1960,Gerald,140.0,boy
1960,Bradley,135.0,boy
1960,Darrell,135.0,boy
1960,Ronnie,134.0,boy
1960,Bryan,133.0,boy
1960,Martin,129.0,boy
1960,Lawrence,128.0,boy
1960,Bobby,127.0,boy
1960,Wayne,126.0,boy
1960,Allen,122.0,boy
1960,Andrew,120.0,boy
1960,Barry,117.0,boy
1960,Dan,117.0,boy
1960,Stanley,114.0,boy
1960,Jack,112.0,boy
1960,Johnny,112.0,boy
1960,Bob,108.0,boy
1960,Eddie,107.0,boy
1960,Jay,107.0,boy
1960,Ralph,104.0,boy
1960,Don,103.0,boy
1960,Dwayne,103.0,boy
1960,Micheal,102.0,boy
1960,Walter,101.0,boy
1960,Philip,93.0,boy
1960,Brad,92.0,boy
1960,Kent,91.0,boy
1960,Jon,89.0,boy
1961,David,2063.0,boy
1961,Michael,2031.0,boy
1961,John,1840.0,boy
1961,James,1756.0,boy
1961,Mark,1642.0,boy
1961,Robert,1596.0,boy
1961,William,985.0,boy
1961,Steven,933.0,boy
1961,Richard,912.0,boy
1961,Kevin,861.0,boy
1961,Jeffrey,831.0,boy
1961,Charles,789.0,boy
1961,Thomas,709.0,boy
1961,Timothy,675.0,boy
1961,Kenneth,655.0,boy
1961,Paul,605.0,boy
1961,Daniel,584.0,boy
1961,Donald,582.0,boy
1961,Gary,580.0,boy
1961,Gregory,574.0,boy
1961,Scott,544.0,boy
1961,Terry,538.0,boy
1961,Joseph,510.0,boy
1961,Larry,488.0,boy
1961,Ronald,482.0,boy
1961,Brian,463.0,boy
1961,Douglas,435.0,boy
1961,Christopher,407.0,boy
1961,Dennis,407.0,boy
1961,Keith,406.0,boy
1961,Randy,398.0,boy
1961,Stephen,393.0,boy
1961,Mike,392.0,boy
1961,Jerry,388.0,boy
1961,Steve,381.0,boy
1961,Anthony,369.0,boy
1961,Craig,318.0,boy
1961,Ricky,317.0,boy
1961,Jeff,314.0,boy
1961,Danny,310.0,boy
1961,Edward,279.0,boy
1961,Roger,279.0,boy
1961,George,258.0,boy
1961,Bruce,232.0,boy
1961,Chris,227.0,boy
1961,Randall,226.0,boy
1961,Tim,221.0,boy
1961,Patrick,220.0,boy
1961,Eric,219.0,boy
1961,Jim,219.0,boy
1961,Jeffery,207.0,boy
1961,Russell,203.0,boy
1961,Alan,202.0,boy
1961,Dale,199.0,boy
1961,Rodney,199.0,boy
1961,Carl,198.0,boy
1961,Phillip,193.0,boy
1961,Raymond,192.0,boy
1961,Billy,187.0,boy
1961,Tony,184.0,boy
1961,Tom,180.0,boy
1961,Matthew,178.0,boy
1961,Joe,171.0,boy
1961,Todd,161.0,boy
1961,Darryl,160.0,boy
1961,Bobby,159.0,boy
1961,Curtis,159.0,boy
1961,Bryan,157.0,boy
1961,Ronnie,155.0,boy
1961,Bill,153.0,boy
1961,Frank,152.0,boy
1961,Jimmy,149.0,boy
1961,Greg,147.0,boy
1961,Rick,143.0,boy
1961,Gerald,142.0,boy
1961,Darrell,140.0,boy
1961,Roy,137.0,boy
1961,Bradley,133.0,boy
1961,Wayne,132.0,boy
1961,Barry,131.0,boy
1961,Lawrence,125.0,boy
1961,Andrew,123.0,boy
1961,Glenn,122.0,boy
1961,Martin,121.0,boy
1961,Harold,117.0,boy
1961,Dan,114.0,boy
1961,Bob,111.0,boy
1961,Micheal,111.0,boy
1961,Allen,109.0,boy
1961,Johnny,109.0,boy
1961,Eddie,103.0,boy
1961,Jack,103.0,boy
1961,Don,102.0,boy
1961,Dwayne,98.0,boy
1961,Jay,94.0,boy
1961,Peter,94.0,boy
1961,Stanley,93.0,boy
1961,Philip,91.0,boy
1961,Tommy,90.0,boy
1961,Jon,89.0,boy
1961,Walter,89.0,boy
1962,David,1943.0,boy
1962,Michael,1877.0,boy
1962,John,1760.0,boy
1962,James,1655.0,boy
1962,Robert,1516.0,boy
1962,Mark,1459.0,boy
1962,William,965.0,boy
1962,Steven,877.0,boy
1962,Jeffrey,870.0,boy
1962,Kevin,852.0,boy
1962,Richard,820.0,boy
1962,Thomas,724.0,boy
1962,Charles,680.0,boy
1962,Timothy,642.0,boy
1962,Scott,637.0,boy
1962,Daniel,619.0,boy
1962,Kenneth,598.0,boy
1962,Joseph,594.0,boy
1962,Gary,582.0,boy
1962,Donald,551.0,boy
1962,Gregory,526.0,boy
1962,Paul,491.0,boy
1962,Brian,488.0,boy
1962,Ronald,487.0,boy
1962,Douglas,450.0,boy
1962,Terry,422.0,boy
1962,Larry,420.0,boy
1962,Christopher,414.0,boy
1962,Randy,395.0,boy
1962,Anthony,390.0,boy
1962,Stephen,382.0,boy
1962,Dennis,369.0,boy
1962,Jerry,367.0,boy
1962,Mike,363.0,boy
1962,Keith,362.0,boy
1962,Jeff,321.0,boy
1962,Roger,306.0,boy
1962,Edward,299.0,boy
1962,Steve,283.0,boy
1962,Ricky,259.0,boy
1962,Jeffery,257.0,boy
1962,Danny,256.0,boy
1962,Craig,231.0,boy
1962,Bruce,225.0,boy
1962,Patrick,225.0,boy
1962,Chris,220.0,boy
1962,Todd,219.0,boy
1962,Russell,218.0,boy
1962,Alan,215.0,boy
1962,Eric,212.0,boy
1962,Tim,210.0,boy
