year,name,number,sex
1960,James,1379.0,boy
1960,Robert,881.0,boy
1960,David,789.0,boy
1960,John,767.0,boy
1960,Michael,716.0,boy
1960,Charles,651.0,boy
1960,William,639.0,boy
1960,Willie,593.0,boy
1960,Larry,482.0,boy
1960,Kenneth,424.0,boy
1960,Jerry,385.0,boy
1960,Richard,373.0,boy
1960,Terry,354.0,boy
1960,Thomas,347.0,boy
1960,Mark,313.0,boy
1960,Bobby,284.0,boy
1960,Donald,282.0,boy
1960,Johnny,281.0,boy
1960,Timothy,274.0,boy
1960,Ricky,267.0,boy
1960,Billy,248.0,boy
1960,George,248.0,boy
1960,Jimmy,239.0,boy
1960,Joseph,228.0,boy
1960,Anthony,225.0,boy
1960,Eddie,219.0,boy
1960,Gregory,218.0,boy
1960,Henry,217.0,boy
1960,Carl,206.0,boy
1960,Dennis,202.0,boy
1960,Joe,199.0,boy
1960,Steven,199.0,boy
1960,Gary,191.0,boy
1960,Danny,189.0,boy
1960,Paul,189.0,boy
1960,Curtis,179.0,boy
1960,Melvin,179.0,boy
1960,Randy,178.0,boy
1960,Edward,176.0,boy
1960,Ronald,175.0,boy
1960,Ronnie,174.0,boy
1960,Tommy,172.0,boy
1960,Tony,169.0,boy
1960,Walter,155.0,boy
1960,Micheal,134.0,boy
1960,Jeffery,132.0,boy
1960,Calvin,130.0,boy
1960,Frank,126.0,boy
1960,Douglas,125.0,boy
1960,Jeffrey,119.0,boy
1960,Albert,118.0,boy
1960,Daniel,117.0,boy
1960,Stephen,117.0,boy
1960,Mike,115.0,boy
1960,Roy,114.0,boy
1960,Samuel,112.0,boy
1960,Jimmie,111.0,boy
1960,Lee,111.0,boy
1960,Steve,110.0,boy
1960,Kevin,105.0,boy
1960,Stanley,105.0,boy
1960,Jessie,101.0,boy
1960,Rickey,101.0,boy
1960,Roger,100.0,boy
1960,Johnnie,98.0,boy
1960,Andrew,95.0,boy
1960,Marvin,92.0,boy
1960,Barry,90.0,boy
1960,Keith,90.0,boy
1960,Phillip,85.0,boy
1960,Harold,83.0,boy
1960,Arthur,82.0,boy
1960,Charlie,81.0,boy
1960,Raymond,81.0,boy
1960,Perry,80.0,boy
1960,Glenn,77.0,boy
1960,Christopher,76.0,boy
1960,Clarence,76.0,boy
1960,Ray,75.0,boy
1960,Howard,73.0,boy
1960,Lawrence,73.0,boy
1960,Wayne,73.0,boy
1960,Ernest,72.0,boy
1960,Bruce,68.0,boy
1960,Eugene,67.0,boy
1960,Alvin,65.0,boy
1960,Russell,65.0,boy
1960,Frederick,64.0,boy
1960,Gerald,64.0,boy
1960,Leroy,63.0,boy
1960,Louis,63.0,boy
