year,name,number,sex
1960,David,266.0,boy
1960,Mark,263.0,boy
1960,Michael,251.0,boy
1960,John,240.0,boy
1960,Robert,228.0,boy
1960,James,222.0,boy
1960,William,177.0,boy
1960,Daniel,144.0,boy
1960,Thomas,141.0,boy
1960,Richard,139.0,boy
1960,Steven,136.0,boy
1960,Scott,129.0,boy
1960,Timothy,125.0,boy
1960,Kevin,121.0,boy
1960,Brian,108.0,boy
1960,Joseph,101.0,boy
1960,Donald,89.0,boy
1960,Kenneth,89.0,boy
1960,Douglas,87.0,boy
1960,Jeffrey,87.0,boy
1960,Ronald,87.0,boy
1960,Charles,86.0,boy
1960,Gary,85.0,boy
1960,Mike,78.0,boy
1960,Randy,77.0,boy
1960,Larry,74.0,boy
1960,Gregory,73.0,boy
1960,Paul,73.0,boy
1960,Bruce,68.0,boy
1960,Dale,66.0,boy
1960,Russell,66.0,boy
1960,Patrick,65.0,boy
1960,Dennis,64.0,boy
1960,Steve,63.0,boy
1960,Terry,58.0,boy
1960,Edward,57.0,boy
1960,Keith,56.0,boy
1960,Dan,55.0,boy
1960,Rodney,49.0,boy
1960,Jim,48.0,boy
1960,Roger,48.0,boy
1960,Tim,48.0,boy
1960,Jeff,47.0,boy
1960,Alan,46.0,boy
1960,Jay,46.0,boy
1960,Tom,46.0,boy
1960,Kelly,42.0,boy
1960,Jerry,41.0,boy
1960,Wayne,41.0,boy
1960,Todd,40.0,boy
1960,Dean,38.0,boy
1960,Bradley,36.0,boy
1960,George,35.0,boy
1960,Gerald,35.0,boy
1960,Randall,35.0,boy
1960,Craig,34.0,boy
1960,Curtis,34.0,boy
1960,Ricky,34.0,boy
1960,Bill,33.0,boy
1960,Bob,33.0,boy
1960,Rick,33.0,boy
1960,Stephen,33.0,boy
1960,Jon,32.0,boy
1960,Greg,31.0,boy
1960,Jack,31.0,boy
1960,Eric,30.0,boy
1960,Frank,30.0,boy
1960,Martin,30.0,boy
1960,Anthony,29.0,boy
1960,Bret,28.0,boy
1960,Joe,28.0,boy
1960,Raymond,27.0,boy
1960,Ron,27.0,boy
1960,Carl,26.0,boy
1960,Jeffery,26.0,boy
1960,Duane,25.0,boy
1960,Marvin,25.0,boy
1960,Tracy,25.0,boy
1960,Brad,24.0,boy
1960,Bryan,24.0,boy
1960,Dave,24.0,boy
1960,Kent,24.0,boy
1960,Kurt,24.0,boy
1960,Lawrence,24.0,boy
1960,Brent,23.0,boy
1960,Don,23.0,boy
1960,Matthew,23.0,boy
1960,Wade,23.0,boy
1960,Peter,22.0,boy
1960,Kirk,21.0,boy
1960,Micheal,21.0,boy
1960,Barry,20.0,boy
1960,Doug,20.0,boy
1960,Gordon,20.0,boy
1960,Joel,20.0,boy
1960,Ken,20.0,boy
1960,Lance,20.0,boy
1960,Lee,20.0,boy
1960,Andrew,19.0,boy
1960,Glen,19.0,boy
1960,Lyle,19.0,boy
1961,David,287.0,boy
1961,Michael,273.0,boy
1961,John,248.0,boy
1961,Robert,239.0,boy
1961,Mark,234.0,boy
1961,James,230.0,boy
1961,William,162.0,boy
1961,Kevin,139.0,boy
1961,Steven,138.0,boy
1961,Scott,137.0,boy
1961,Thomas,131.0,boy
1961,Daniel,130.0,boy
1961,Richard,128.0,boy
1961,Timothy,126.0,boy
1961,Joseph,106.0,boy
1961,Gary,100.0,boy
1961,Kenneth,100.0,boy
1961,Douglas,99.0,boy
1961,Donald,95.0,boy
1961,Mike,94.0,boy
1961,Brian,92.0,boy
1961,Jeffrey,85.0,boy
1961,Ronald,83.0,boy
1961,Paul,80.0,boy
1961,Jeff,78.0,boy
1961,Randy,69.0,boy
1961,Charles,65.0,boy
1961,Steve,65.0,boy
1961,Dale,63.0,boy
1961,Todd,62.0,boy
1961,Gregory,61.0,boy
1961,Craig,60.0,boy
1961,Larry,60.0,boy
1961,Patrick,60.0,boy
1961,Jim,56.0,boy
1961,Greg,53.0,boy
1961,Bruce,52.0,boy
1961,Dennis,52.0,boy
1961,Alan,49.0,boy
