year,name,number,sex
1960,James,2366.0,boy
1960,David,1861.0,boy
1960,Michael,1843.0,boy
1960,William,1727.0,boy
1960,Robert,1523.0,boy
1960,John,1409.0,boy
1960,Charles,1095.0,boy
1960,Timothy,1025.0,boy
1960,Mark,945.0,boy
1960,Kenneth,868.0,boy
1960,Richard,781.0,boy
1960,Thomas,726.0,boy
1960,Ricky,715.0,boy
1960,Jeffrey,705.0,boy
1960,Terry,689.0,boy
1960,Donald,680.0,boy
1960,Larry,638.0,boy
1960,Gary,562.0,boy
1960,Randy,559.0,boy
1960,Tony,549.0,boy
1960,Jerry,548.0,boy
1960,Joseph,540.0,boy
1960,Ronald,501.0,boy
1960,Gregory,491.0,boy
1960,Steven,481.0,boy
1960,Anthony,471.0,boy
1960,Bobby,448.0,boy
1960,Danny,446.0,boy
1960,Johnny,386.0,boy
1960,Dennis,377.0,boy
1960,Christopher,376.0,boy
1960,George,369.0,boy
1960,Jimmy,362.0,boy
1960,Billy,352.0,boy
1960,Edward,347.0,boy
1960,Paul,341.0,boy
1960,Ronnie,336.0,boy
1960,Jeffery,333.0,boy
1960,Kevin,325.0,boy
1960,Roger,316.0,boy
1960,Stephen,306.0,boy
1960,Douglas,292.0,boy
1960,Willie,287.0,boy
1960,Phillip,263.0,boy
1960,Daniel,257.0,boy
1960,Keith,254.0,boy
1960,Tommy,240.0,boy
1960,Barry,238.0,boy
1960,Carl,237.0,boy
1960,Steve,232.0,boy
1960,Eric,228.0,boy
1960,Samuel,220.0,boy
1960,Curtis,215.0,boy
1960,Mike,211.0,boy
1960,Walter,208.0,boy
1960,Eddie,202.0,boy
1960,Wayne,200.0,boy
1960,Roy,190.0,boy
1960,Harold,189.0,boy
1960,Randall,189.0,boy
1960,Scott,188.0,boy
1960,Brian,184.0,boy
1960,Rodney,184.0,boy
1960,Henry,183.0,boy
1960,Micheal,181.0,boy
1960,Joe,178.0,boy
1960,Tim,176.0,boy
1960,Alan,175.0,boy
1960,Reginald,173.0,boy
1960,Darryl,167.0,boy
1960,Bruce,164.0,boy
1960,Darrell,163.0,boy
1960,Jeff,163.0,boy
1960,Dale,159.0,boy
1960,Frank,157.0,boy
1960,Allen,153.0,boy
1960,Calvin,144.0,boy
1960,Marvin,143.0,boy
1960,Russell,143.0,boy
1960,Stanley,143.0,boy
1960,Rickey,140.0,boy
1960,Gerald,137.0,boy
1960,Raymond,135.0,boy
1960,Donnie,131.0,boy
1960,Craig,129.0,boy
1960,Melvin,129.0,boy
1960,Chris,126.0,boy
1960,Howard,125.0,boy
1960,Andrew,123.0,boy
1960,Clarence,121.0,boy
1960,Dwight,121.0,boy
1960,Jack,120.0,boy
1960,Joel,118.0,boy
1960,Timmy,118.0,boy
1960,Arthur,115.0,boy
1960,Glenn,114.0,boy
1960,Ray,112.0,boy
1960,Ernest,110.0,boy
1960,Mitchell,110.0,boy
1960,Albert,106.0,boy
1961,James,2530.0,boy
1961,Michael,1991.0,boy
1961,David,1798.0,boy
1961,William,1791.0,boy
1961,John,1526.0,boy
