year,name,number,sex
1960,Michael,722.0,boy
1960,David,685.0,boy
1960,Mark,636.0,boy
1960,John,529.0,boy
1960,James,509.0,boy
1960,Robert,481.0,boy
1960,Kevin,383.0,boy
1960,Steven,373.0,boy
1960,Timothy,334.0,boy
1960,Thomas,332.0,boy
1960,Richard,325.0,boy
1960,Daniel,303.0,boy
1960,Scott,303.0,boy
1960,William,292.0,boy
1960,Jeffrey,275.0,boy
1960,Douglas,255.0,boy
1960,Gary,200.0,boy
1960,Randy,200.0,boy
1960,Brian,195.0,boy
1960,Ronald,188.0,boy
1960,Donald,179.0,boy
1960,Gregory,175.0,boy
1960,Charles,171.0,boy
1960,Kenneth,170.0,boy
1960,Joseph,167.0,boy
1960,Paul,162.0,boy
1960,Terry,162.0,boy
1960,Larry,159.0,boy
1960,Dennis,150.0,boy
1960,Patrick,146.0,boy
1960,Mike,141.0,boy
1960,Craig,137.0,boy
1960,Jerry,137.0,boy
1960,Bradley,131.0,boy
1960,Jeff,125.0,boy
1960,Todd,123.0,boy
1960,Dale,113.0,boy
1960,Randall,113.0,boy
1960,Rodney,110.0,boy
1960,Roger,109.0,boy
1960,Russell,106.0,boy
1960,Alan,104.0,boy
1960,Gerald,101.0,boy
1960,Bruce,99.0,boy
1960,Steve,97.0,boy
1960,Tim,89.0,boy
1960,Ricky,86.0,boy
1960,Keith,85.0,boy
1960,Tom,84.0,boy
1960,Edward,78.0,boy
1960,Stephen,74.0,boy
1960,Jim,72.0,boy
1960,Anthony,70.0,boy
1960,Christopher,69.0,boy
1960,Kent,69.0,boy
1960,Jay,66.0,boy
1960,Jeffery,66.0,boy
1960,Chris,62.0,boy
1960,Greg,62.0,boy
1960,Dan,61.0,boy
1960,Frank,60.0,boy
1960,Bill,59.0,boy
1960,Eric,58.0,boy
1960,Martin,58.0,boy
1960,Rick,58.0,boy
1960,Joe,57.0,boy
1960,Tony,57.0,boy
1960,Kurt,56.0,boy
1960,Danny,55.0,boy
1960,Allen,53.0,boy
1960,Bryan,53.0,boy
1960,Duane,52.0,boy
1960,Dean,51.0,boy
1960,Raymond,51.0,boy
1960,Jon,50.0,boy
1960,Wayne,50.0,boy
1960,George,49.0,boy
1960,Matthew,46.0,boy
1960,Carl,44.0,boy
1960,Phillip,44.0,boy
1960,Jack,43.0,boy
1960,Kirk,42.0,boy
1960,Brad,41.0,boy
1960,Lawrence,40.0,boy
1960,Philip,40.0,boy
1960,Andrew,39.0,boy
1960,Dave,38.0,boy
1960,Kelly,38.0,boy
1960,Curtis,36.0,boy
1960,Marvin,36.0,boy
1960,Peter,36.0,boy
1960,Bob,35.0,boy
1960,Joel,35.0,boy
1960,Harold,34.0,boy
1960,Don,33.0,boy
1960,Glen,33.0,boy
1960,Lee,32.0,boy
1960,Barry,31.0,boy
1960,Eugene,31.0,boy
1960,Rex,31.0,boy
1960, ,,boy
1960, ,,boy
1961,Michael,733.0,boy
1961,David,697.0,boy
1961,Mark,646.0,boy
1961,John,544.0,boy
1961,Robert,505.0,boy
1961,James,500.0,boy
1961,Steven,379.0,boy
1961,Scott,361.0,boy
1961,Jeffrey,325.0,boy
1961,Kevin,319.0,boy
1961,Timothy,310.0,boy
1961,Thomas,308.0,boy
1961,Daniel,299.0,boy
1961,Richard,282.0,boy
1961,William,282.0,boy
1961,Douglas,257.0,boy
1961,Brian,187.0,boy
1961,Ronald,187.0,boy
1961,Todd,185.0,boy
1961,Donald,182.0,boy
1961,Gary,175.0,boy
1961,Terry,170.0,boy
1961,Kenneth,159.0,boy
1961,Paul,159.0,boy
1961,Randy,157.0,boy
1961,Mike,155.0,boy
1961,Patrick,151.0,boy
1961,Gregory,146.0,boy
1961,Larry,142.0,boy
1961,Joseph,139.0,boy
1961,Dennis,137.0,boy
1961,Roger,135.0,boy
1961,Charles,131.0,boy
1961,Craig,121.0,boy
1961,Jerry,119.0,boy
1961,Alan,118.0,boy
1961,Jeff,115.0,boy
1961,Bradley,113.0,boy
1961,Bruce,108.0,boy
1961,Steve,106.0,boy
1961,Rodney,101.0,boy
1961,Randall,98.0,boy
1961,Russell,96.0,boy
1961,Christopher,94.0,boy
1961,Dale,89.0,boy
1961,Ricky,84.0,boy
1961,Tim,83.0,boy
1961,Jay,82.0,boy
1961,Anthony,81.0,boy
1961,Gerald,78.0,boy
1961,Jeffery,77.0,boy
1961,Jim,75.0,boy
1961,Stephen,69.0,boy
1961,Rick,68.0,boy
1961,Bryan,67.0,boy
1961,Edward,67.0,boy
1961,Dan,65.0,boy
1961,Jon,64.0,boy
1961,Keith,64.0,boy
1961,Chris,62.0,boy
1961,Greg,62.0,boy
1961,Eric,59.0,boy
1961,Tom,59.0,boy
1961,Dean,57.0,boy
1961,Kurt,57.0,boy
1961,Danny,56.0,boy
1961,Kent,55.0,boy
1961,Troy,55.0,boy
1961,Brad,53.0,boy
1961,Frank,53.0,boy
1961,Matthew,53.0,boy
1961,Martin,52.0,boy
1961,Joel,51.0,boy
1961,Bill,50.0,boy
1961,Tony,50.0,boy
1961,George,49.0,boy
1961,Barry,48.0,boy
1961,Andrew,46.0,boy
1961,Curtis,46.0,boy
1961,Raymond,46.0,boy
1961,Duane,44.0,boy
1961,Kirk,44.0,boy
1961,Joe,43.0,boy
1961,Wayne,43.0,boy
1961,Allen,42.0,boy
1961,Kelly,42.0,boy
1961,Mitchell,42.0,boy
1961,Carl,41.0,boy
1961,Lawrence,41.0,boy
1961,Brent,40.0,boy
1961,Bob,36.0,boy
