year,name,number,sex
1960,David,345.0,boy
1960,Michael,330.0,boy
1960,Robert,261.0,boy
1960,James,257.0,boy
1960,Mark,238.0,boy
1960,John,235.0,boy
1960,Richard,199.0,boy
1960,Paul,161.0,boy
1960,Thomas,159.0,boy
1960,William,152.0,boy
1960,Kevin,132.0,boy
1960,Brian,131.0,boy
1960,Timothy,124.0,boy
1960,Scott,123.0,boy
1960,Daniel,119.0,boy
1960,Steven,119.0,boy
1960,Jeffrey,112.0,boy
1960,Peter,110.0,boy
1960,Donald,99.0,boy
1960,Gary,91.0,boy
1960,Stephen,79.0,boy
1960,Kenneth,74.0,boy
1960,Charles,68.0,boy
1960,Edward,64.0,boy
1960,Joseph,63.0,boy
1960,Raymond,61.0,boy
1960,Bruce,59.0,boy
1960,Dennis,58.0,boy
1960,Christopher,57.0,boy
1960,Ronald,57.0,boy
1960,George,55.0,boy
1960,Douglas,51.0,boy
1960,Alan,45.0,boy
1960,Roger,45.0,boy
1960,Keith,42.0,boy
1960,Wayne,41.0,boy
1960,Gregory,40.0,boy
1960,Russell,40.0,boy
1960,Marc,38.0,boy
1960,Matthew,38.0,boy
1960,Dana,35.0,boy
1960,Eric,33.0,boy
1960,Randy,32.0,boy
1960,Andrew,30.0,boy
1960,Anthony,29.0,boy
1960,Arthur,28.0,boy
1960,Jay,28.0,boy
1960,Jonathan,28.0,boy
1960,Patrick,27.0,boy
1960,Philip,26.0,boy
1960,Barry,25.0,boy
1960,Dale,25.0,boy
1960,Jon,25.0,boy
1960,Glenn,23.0,boy
1960,Roland,23.0,boy
1960,Larry,22.0,boy
1960,Lawrence,21.0,boy
1960,Danny,20.0,boy
1960,Gerard,20.0,boy
1960,Bradley,19.0,boy
1960,Carl,19.0,boy
1960,Dean,19.0,boy
1960,Harold,19.0,boy
1960,Mike,19.0,boy
1960,Craig,18.0,boy
1960,Frank,18.0,boy
1960,Gerald,18.0,boy
1960,Randall,18.0,boy
1960,Shawn,18.0,boy
1960,Norman,17.0,boy
1960,Ralph,17.0,boy
1960,Walter,17.0,boy
1960,Denis,16.0,boy
1960,Henry,16.0,boy
1960,Jerry,16.0,boy
1960,Martin,16.0,boy
1960,Albert,15.0,boy
1960,Chris,15.0,boy
1960,Allen,14.0,boy
1960,Dave,14.0,boy
1960,Harry,14.0,boy
1960,Terry,14.0,boy
1960,Tracy,14.0,boy
1960,Bryan,13.0,boy
1960,Duane,13.0,boy
1960,Francis,13.0,boy
1960,Fred,13.0,boy
1960,Frederick,13.0,boy
1960,Jeff,13.0,boy
1960,Ricky,13.0,boy
1960,Roy,13.0,boy
1960,Steve,13.0,boy
1960,Gordon,12.0,boy
1960,Joel,12.0,boy
1960,Louis,12.0,boy
1960,Stanley,12.0,boy
1960,Theodore,12.0,boy
1960,Tom,12.0,boy
1960,Bernard,10.0,boy
1960,Bill,10.0,boy
1960,Glen,10.0,boy
1960,Leo,10.0,boy
1960,Maurice,10.0,boy
1961,Michael,334.0,boy
1961,David,320.0,boy
1961,John,264.0,boy
1961,James,238.0,boy
1961,Robert,238.0,boy
1961,Mark,230.0,boy
1961,Richard,200.0,boy
1961,Daniel,155.0,boy
1961,Thomas,152.0,boy
1961,Brian,145.0,boy
1961,William,143.0,boy
1961,Kevin,139.0,boy
1961,Steven,127.0,boy
1961,Scott,126.0,boy
1961,Jeffrey,121.0,boy
1961,Timothy,119.0,boy
1961,Stephen,113.0,boy
1961,Paul,109.0,boy
1961,Peter,106.0,boy
1961,Gary,104.0,boy
1961,Donald,92.0,boy
1961,Kenneth,78.0,boy
1961,Charles,77.0,boy
1961,Ronald,72.0,boy
1961,Joseph,68.0,boy
1961,Bruce,66.0,boy
1961,Dennis,66.0,boy
1961,Douglas,66.0,boy
1961,Edward,62.0,boy
1961,Christopher,61.0,boy
1961,Alan,55.0,boy
1961,Keith,53.0,boy
1961,Marc,47.0,boy
1961,Raymond,47.0,boy
1961,Gregory,44.0,boy
1961,Matthew,44.0,boy
1961,Glenn,43.0,boy
1961,George,39.0,boy
1961,Roger,39.0,boy
1961,Eric,36.0,boy
1961,Philip,35.0,boy
1961,Anthony,34.0,boy
1961,Craig,34.0,boy
1961,Dale,29.0,boy
1961,Wayne,27.0,boy
1961,Randy,25.0,boy
1961,Andrew,24.0,boy
1961,Arthur,24.0,boy
1961,Albert,23.0,boy
1961,Jay,23.0,boy
1961,Jonathan,23.0,boy
1961,Jon,22.0,boy
1961,Roland,22.0,boy
1961,Walter,22.0,boy
1961,Bradley,21.0,boy
1961,Dana,21.0,boy
1961,Larry,21.0,boy
1961,Randall,21.0,boy
1961,Shawn,21.0,boy
1961,Frank,20.0,boy
1961,Lawrence,20.0,boy
1961,Norman,20.0,boy
1961,Todd,19.0,boy
1961,Jeff,18.0,boy
1961,Ricky,18.0,boy
1961,Russell,18.0,boy
