year,name,number,sex
1960,David,527.0,boy
1960,Michael,483.0,boy
1960,Robert,440.0,boy
1960,James,404.0,boy
1960,John,382.0,boy
1960,Richard,313.0,boy
1960,Mark,283.0,boy
1960,William,201.0,boy
1960,Paul,195.0,boy
1960,Joseph,193.0,boy
1960,Charles,175.0,boy
1960,Anthony,158.0,boy
1960,Daniel,157.0,boy
1960,Thomas,156.0,boy
1960,Steven,151.0,boy
1960,Joe,141.0,boy
1960,Kenneth,141.0,boy
1960,Larry,135.0,boy
1960,Gary,134.0,boy
1960,Ronald,130.0,boy
1960,Steve,119.0,boy
1960,Donald,117.0,boy
1960,Mike,117.0,boy
1960,Kevin,114.0,boy
1960,George,108.0,boy
1960,Jerry,107.0,boy
1960,Manuel,104.0,boy
1960,Raymond,103.0,boy
1960,Timothy,102.0,boy
1960,Johnny,100.0,boy
1960,Danny,98.0,boy
1960,Edward,92.0,boy
1960,Gregory,92.0,boy
1960,Jose,92.0,boy
1960,Frank,89.0,boy
1960,Phillip,87.0,boy
1960,Dennis,85.0,boy
1960,Jeffrey,85.0,boy
1960,Randy,84.0,boy
1960,Christopher,82.0,boy
1960,Scott,82.0,boy
1960,Patrick,81.0,boy
1960,Ricky,81.0,boy
1960,Tommy,80.0,boy
1960,Albert,78.0,boy
1960,Terry,76.0,boy
1960,Gilbert,75.0,boy
1960,Jimmy,75.0,boy
1960,Lawrence,73.0,boy
1960,Bobby,69.0,boy
1960,Ernest,69.0,boy
1960,Stephen,68.0,boy
1960,Brian,67.0,boy
1960,Tony,67.0,boy
1960,Peter,66.0,boy
1960,Eddie,65.0,boy
1960,Billy,64.0,boy
1960,Douglas,64.0,boy
1960,Leonard,64.0,boy
1960,Andrew,63.0,boy
1960,Arthur,63.0,boy
1960,Ralph,61.0,boy
1960,Ronnie,60.0,boy
1960,Leroy,59.0,boy
1960,Martin,58.0,boy
1960,Chris,55.0,boy
1960,Victor,55.0,boy
1960,Roger,54.0,boy
1960,Henry,52.0,boy
1960,Ray,52.0,boy
1960,Carl,49.0,boy
1960,Carlos,49.0,boy
1960,Keith,48.0,boy
1960,Rodney,48.0,boy
1960,Russell,48.0,boy
1960,Gerald,47.0,boy
1960,Bill,46.0,boy
1960,Bruce,46.0,boy
1960,Jeff,44.0,boy
1960,Ruben,44.0,boy
1960,Wayne,44.0,boy
1960,Rudy,43.0,boy
1960,Roy,42.0,boy
1960,Dale,41.0,boy
