year,name,number,sex
1960,Robert,138.0,boy
1960,David,137.0,boy
1960,Michael,131.0,boy
1960,James,118.0,boy
1960,Mark,91.0,boy
1960,John,88.0,boy
1960,William,88.0,boy
1960,Richard,73.0,boy
1960,Steven,60.0,boy
1960,Kevin,54.0,boy
1960,Donald,50.0,boy
1960,Jeffrey,49.0,boy
1960,Thomas,48.0,boy
1960,Daniel,42.0,boy
1960,Charles,39.0,boy
1960,Scott,39.0,boy
1960,Paul,37.0,boy
1960,Gary,35.0,boy
1960,Ronald,35.0,boy
1960,Kenneth,34.0,boy
1960,Mike,34.0,boy
1960,Joseph,33.0,boy
1960,Anthony,28.0,boy
1960,Randy,27.0,boy
1960,George,26.0,boy
1960,Craig,25.0,boy
1960,Timothy,24.0,boy
1960,Brian,23.0,boy
1960,Edward,23.0,boy
1960,Gregory,23.0,boy
1960,Christopher,22.0,boy
1960,Dennis,21.0,boy
1960,Frank,21.0,boy
1960,Jeff,21.0,boy
1960,Terry,21.0,boy
1960,Larry,20.0,boy
1960,Douglas,19.0,boy
1960,Raymond,19.0,boy
1960,Russell,19.0,boy
1960,Steve,19.0,boy
1960,Bruce,18.0,boy
1960,Jerry,18.0,boy
1960,Tony,18.0,boy
1960,Brett,16.0,boy
1960,Carl,16.0,boy
1960,Keith,16.0,boy
1960,Rodney,15.0,boy
1960,Bill,14.0,boy
1960,Eric,14.0,boy
1960,Jim,14.0,boy
1960,Joe,14.0,boy
1960,Lawrence,14.0,boy
1960,Martin,14.0,boy
1960,Tom,14.0,boy
1960,Allen,13.0,boy
1960,Dale,13.0,boy
1960,Darryl,13.0,boy
1960,Mitchell,13.0,boy
1960,Philip,13.0,boy
1960,Stephen,13.0,boy
1960,Vincent,13.0,boy
1960,Andrew,12.0,boy
1960,Bryan,12.0,boy
1960,Danny,12.0,boy
1960,Jon,12.0,boy
1960,Ralph,12.0,boy
1960,Randall,12.0,boy
1960,Rick,12.0,boy
1960,Wayne,12.0,boy
1960,Alan,11.0,boy
1960,Brad,11.0,boy
1960,Chris,11.0,boy
1960,Dan,11.0,boy
1960,Fred,11.0,boy
1960,Jack,11.0,boy
1960,Jay,11.0,boy
1960,Jimmy,11.0,boy
1960,Roger,11.0,boy
1960,Victor,11.0,boy
1960,Gerald,10.0,boy
1960,Greg,10.0,boy
1960,Samuel,10.0,boy
1960,Shawn,10.0,boy
1960,Walter,10.0,boy
1960,Barry,9.0,boy
1960,Bobby,9.0,boy
1960,Dean,9.0,boy
1960,Johnny,9.0,boy
1960,Kelly,9.0,boy
1960,Matthew,9.0,boy
1960,Patrick,9.0,boy
1960,Ricky,9.0,boy
1960,Ron,9.0,boy
1960,Aaron,8.0,boy
1960,Brent,8.0,boy
1960,Clifford,8.0,boy
1960,Duane,8.0,boy
1960,Eugene,8.0,boy
1960,Henry,8.0,boy
1960,Jeffery,8.0,boy
1960,Lee,8.0,boy
1960,Leonard,8.0,boy
1960,Louis,8.0,boy
1960,Nathan,8.0,boy
1960,Phillip,8.0,boy
1960,Stanley,8.0,boy
1960,Stuart,8.0,boy
1960,Tim,8.0,boy
1961,Michael,154.0,boy
1961,David,153.0,boy
1961,John,126.0,boy
1961,Robert,124.0,boy
1961,James,114.0,boy
1961,Mark,100.0,boy
