year,name,number,sex
1960,Michael,8931.0,boy
1960,John,8332.0,boy
1960,Robert,7429.0,boy
1960,David,6598.0,boy
1960,James,6412.0,boy
1960,Thomas,4885.0,boy
1960,William,4829.0,boy
1960,Richard,4679.0,boy
1960,Joseph,4658.0,boy
1960,Mark,4216.0,boy
1960,Steven,3298.0,boy
1960,Kevin,2868.0,boy
1960,Anthony,2865.0,boy
1960,Paul,2781.0,boy
1960,Daniel,2606.0,boy
1960,Peter,2361.0,boy
1960,Timothy,2354.0,boy
1960,Jeffrey,2336.0,boy
1960,Kenneth,2140.0,boy
1960,Charles,2123.0,boy
1960,Christopher,2099.0,boy
1960,Edward,2095.0,boy
1960,Brian,2023.0,boy
1960,Stephen,1969.0,boy
1960,Frank,1765.0,boy
1960,Scott,1747.0,boy
1960,Donald,1673.0,boy
1960,Ronald,1656.0,boy
1960,George,1563.0,boy
1960,Gary,1484.0,boy
1960,Gregory,1435.0,boy
1960,Andrew,1300.0,boy
1960,Douglas,1173.0,boy
1960,Eric,1153.0,boy
1960,Raymond,1136.0,boy
1960,Patrick,1115.0,boy
1960,Dennis,965.0,boy
1960,Bruce,936.0,boy
1960,Vincent,923.0,boy
1960,Keith,911.0,boy
1960,Lawrence,870.0,boy
1960,Jose,841.0,boy
1960,Matthew,822.0,boy
1960,Craig,807.0,boy
1960,Alan,803.0,boy
1960,Louis,776.0,boy
1960,Philip,765.0,boy
1960,Wayne,643.0,boy
1960,Edwin,605.0,boy
1960,Glenn,602.0,boy
1960,Martin,596.0,boy
1960,Larry,561.0,boy
1960,Arthur,559.0,boy
1960,Carl,550.0,boy
1960,Randy,539.0,boy
1960,Howard,537.0,boy
1960,Nicholas,516.0,boy
1960,Gerald,504.0,boy
1960,Russell,504.0,boy
1960,Ralph,494.0,boy
1960,Albert,487.0,boy
1960,Walter,482.0,boy
1960,Victor,480.0,boy
1960,Henry,458.0,boy
1960,Roger,446.0,boy
1960,Steve,446.0,boy
1960,Barry,442.0,boy
1960,Luis,438.0,boy
1960,Jonathan,437.0,boy
1960,Chris,436.0,boy
1960,Eugene,436.0,boy
1960,Frederick,419.0,boy
1960,Francis,416.0,boy
1960,Marc,415.0,boy
1960,Gerard,413.0,boy
1960,Jay,405.0,boy
1960,Mike,389.0,boy
1960,Samuel,384.0,boy
1960,Dale,363.0,boy
1960,Mitchell,356.0,boy
1960,Leonard,351.0,boy
1960,Todd,350.0,boy
1960,Darryl,348.0,boy
1960,Jerry,348.0,boy
1960,Jack,346.0,boy
1960,Terry,339.0,boy
1960,Harold,337.0,boy
1960,Carlos,333.0,boy
1960,Dean,305.0,boy
1960,Juan,304.0,boy
1960,Roy,304.0,boy
1960,Theodore,299.0,boy
1960,Angel,298.0,boy
1960,Salvatore,294.0,boy
1960,Harry,292.0,boy
1960,Jeff,291.0,boy
1960,Stanley,281.0,boy
1960,Ricky,279.0,boy
1960,Alfred,277.0,boy
1960,Stuart,276.0,boy
1961,Michael,9054.0,boy
1961,John,8750.0,boy
1961,Robert,7477.0,boy
1961,David,6489.0,boy
1961,James,6441.0,boy
1961,Thomas,4783.0,boy
1961,Joseph,4683.0,boy
1961,William,4633.0,boy
1961,Richard,4400.0,boy
1961,Mark,4182.0,boy
1961,Steven,3094.0,boy
1961,Anthony,2954.0,boy
1961,Kevin,2848.0,boy
1961,Paul,2767.0,boy
1961,Daniel,2650.0,boy
1961,Jeffrey,2534.0,boy
1961,Peter,2236.0,boy
1961,Christopher,2160.0,boy
1961,Kenneth,2154.0,boy
1961,Timothy,2113.0,boy
1961,Edward,2073.0,boy
1961,Charles,2009.0,boy
1961,Scott,1988.0,boy
1961,Brian,1982.0,boy
1961,Stephen,1914.0,boy
1961,Frank,1626.0,boy
1961,Ronald,1577.0,boy
1961,Gary,1555.0,boy
1961,Donald,1518.0,boy
1961,George,1511.0,boy
1961,Gregory,1440.0,boy
1961,Andrew,1346.0,boy
1961,Eric,1248.0,boy
1961,Douglas,1233.0,boy
1961,Patrick,1180.0,boy
1961,Raymond,1069.0,boy
1961,Keith,964.0,boy
1961,Bruce,950.0,boy
1961,Vincent,938.0,boy
1961,Jose,909.0,boy
1961,Matthew,877.0,boy
1961,Dennis,860.0,boy
1961,Alan,845.0,boy
1961,Lawrence,813.0,boy
1961,Philip,785.0,boy
1961,Craig,734.0,boy
1961,Louis,710.0,boy
1961,Glenn,709.0,boy
1961,Edwin,629.0,boy
1961,Martin,606.0,boy
1961,Wayne,572.0,boy
1961,Todd,559.0,boy
1961,Carl,552.0,boy
1961,Victor,550.0,boy
1961,Roger,548.0,boy
1961,Walter,548.0,boy
1961,Larry,519.0,boy
1961,Arthur,505.0,boy
1961,Nicholas,503.0,boy
1961,Russell,485.0,boy
1961,Barry,480.0,boy
1961,Ralph,479.0,boy
1961,Gerald,472.0,boy
1961,Randy,472.0,boy
1961,Luis,465.0,boy
1961,Howard,463.0,boy
1961,Henry,461.0,boy
1961,Albert,457.0,boy
1961,Marc,447.0,boy
1961,Jonathan,442.0,boy
1961,Francis,419.0,boy
1961,Samuel,417.0,boy
1961,Eugene,416.0,boy
1961,Jay,406.0,boy
1961,Steve,399.0,boy
1961,Darryl,395.0,boy
1961,Frederick,392.0,boy
1961,Mike,384.0,boy
1961,Chris,381.0,boy
1961,Leonard,378.0,boy
1961,Gerard,376.0,boy
1961,Mitchell,373.0,boy
1961,Dean,368.0,boy
1961,Carlos,364.0,boy
1961,Dale,350.0,boy
1961,Jerry,346.0,boy
1961,Harold,335.0,boy
1961,Jeffery,325.0,boy
1961,Terry,312.0,boy
1961,Angel,300.0,boy
1961,Adam,294.0,boy
1961,Harry,290.0,boy
1961,Danny,289.0,boy
1961,Salvatore,288.0,boy
1961,Jeff,285.0,boy
1961,Sean,279.0,boy
1961,Phillip,272.0,boy
1961,Fred,269.0,boy
1961,Bernard,265.0,boy
1961,Jack,262.0,boy
1962,Michael,8859.0,boy
1962,John,8590.0,boy
1962,Robert,7099.0,boy
1962,David,6347.0,boy
1962,James,6160.0,boy
1962,Joseph,4585.0,boy
1962,Thomas,4427.0,boy
1962,William,4336.0,boy
1962,Richard,4299.0,boy
1962,Mark,3824.0,boy
1962,Steven,2909.0,boy
1962,Anthony,2861.0,boy
1962,Kevin,2697.0,boy
1962,Daniel,2612.0,boy
1962,Jeffrey,2539.0,boy
1962,Paul,2516.0,boy
1962,Scott,2450.0,boy
1962,Christopher,2307.0,boy
1962,Brian,2140.0,boy
1962,Peter,2138.0,boy
1962,Edward,2059.0,boy
1962,Kenneth,2039.0,boy
1962,Charles,2013.0,boy
1962,Timothy,2005.0,boy
1962,Stephen,1827.0,boy
1962,Frank,1668.0,boy
1962,Gary,1489.0,boy
1962,Ronald,1489.0,boy
1962,Donald,1472.0,boy
1962,Gregory,1442.0,boy
1962,George,1420.0,boy
1962,Andrew,1407.0,boy
1962,Eric,1258.0,boy
1962,Douglas,1200.0,boy
1962,Patrick,1120.0,boy
1962,Raymond,1060.0,boy
1962,Vincent,1015.0,boy
1962,Keith,909.0,boy
1962,Glenn,855.0,boy
1962,Jose,843.0,boy
1962,Matthew,835.0,boy
1962,Dennis,806.0,boy
1962,Bruce,787.0,boy
1962,Lawrence,775.0,boy
1962,Philip,759.0,boy
1962,Todd,707.0,boy
1962,Alan,705.0,boy
1962,Craig,689.0,boy
1962,Louis,660.0,boy
1962,Martin,567.0,boy
1962,Wayne,564.0,boy
1962,Jonathan,551.0,boy
1962,Edwin,546.0,boy
1962,Nicholas,528.0,boy
1962,Carl,494.0,boy
1962,Victor,493.0,boy
1962,Marc,487.0,boy
1962,Arthur,482.0,boy
1962,Walter,477.0,boy
1962,Luis,467.0,boy
1962,Gerald,465.0,boy
1962,Russell,462.0,boy
1962,Chris,453.0,boy
1962,Larry,441.0,boy
1962,Ralph,441.0,boy
1962,Barry,436.0,boy
1962,Roger,431.0,boy
1962,Howard,430.0,boy
1962,Randy,429.0,boy
1962,Francis,424.0,boy
1962,Darryl,423.0,boy
1962,Frederick,419.0,boy
1962,Albert,418.0,boy
1962,Eugene,410.0,boy
1962,Jay,391.0,boy
1962,Adam,387.0,boy
1962,Henry,386.0,boy
1962,Carlos,384.0,boy
1962,Samuel,373.0,boy
1962,Harold,341.0,boy
1962,Leonard,341.0,boy
1962,Steve,341.0,boy
1962,Dean,332.0,boy
1962,Jerry,329.0,boy
1962,Juan,320.0,boy
1962,Gerard,317.0,boy
1962,Mike,316.0,boy
1962,Jeffery,312.0,boy
1962,Mitchell,302.0,boy
1962,Terry,300.0,boy
1962,Angel,294.0,boy
1962,Salvatore,293.0,boy
1962,Dale,285.0,boy
1962,Jeff,285.0,boy
1962,Sean,277.0,boy
1962,Theodore,274.0,boy
1962,Harry,266.0,boy
1962,Alfred,262.0,boy
1962,Benjamin,255.0,boy
1962,Danny,252.0,boy
1962,Roy,252.0,boy
1963,Michael,9246.0,boy
1963,John,8675.0,boy
1963,Robert,7027.0,boy
1963,David,6280.0,boy
1963,James,5923.0,boy
1963,Joseph,4611.0,boy
1963,Richard,4505.0,boy
1963,William,4357.0,boy
1963,Thomas,4336.0,boy
1963,Mark,3710.0,boy
1963,Anthony,3042.0,boy
1963,Paul,2944.0,boy
1963,Steven,2785.0,boy
1963,Kevin,2769.0,boy
1963,Daniel,2601.0,boy
1963,Scott,2506.0,boy
1963,Jeffrey,2469.0,boy
1963,Christopher,2360.0,boy
1963,Peter,2117.0,boy
1963,Timothy,2099.0,boy
