year,name,number,sex
1960,David,5288.0,boy
1960,Michael,4558.0,boy
1960,James,4538.0,boy
1960,John,4373.0,boy
1960,Robert,4044.0,boy
1960,Mark,4011.0,boy
1960,William,2751.0,boy
1960,Thomas,2516.0,boy
1960,Richard,2502.0,boy
1960,Jeffrey,2461.0,boy
1960,Timothy,2369.0,boy
1960,Steven,1787.0,boy
1960,Charles,1709.0,boy
1960,Daniel,1610.0,boy
1960,Joseph,1574.0,boy
1960,Kevin,1570.0,boy
1960,Kenneth,1424.0,boy
1960,Gregory,1390.0,boy
1960,Donald,1387.0,boy
1960,Ronald,1366.0,boy
1960,Scott,1317.0,boy
1960,Paul,1304.0,boy
1960,Gary,1292.0,boy
1960,Brian,1280.0,boy
1960,Douglas,1226.0,boy
1960,Christopher,992.0,boy
1960,Anthony,985.0,boy
1960,Edward,886.0,boy
1960,Larry,869.0,boy
1960,Terry,840.0,boy
1960,Randy,818.0,boy
1960,Dennis,810.0,boy
1960,Stephen,805.0,boy
1960,Keith,772.0,boy
1960,Mike,737.0,boy
1960,Jeff,695.0,boy
1960,George,679.0,boy
1960,Bruce,654.0,boy
1960,Eric,649.0,boy
1960,Craig,637.0,boy
1960,Jerry,627.0,boy
1960,Tim,606.0,boy
1960,Jeffery,590.0,boy
1960,Steve,579.0,boy
1960,Dale,562.0,boy
1960,Patrick,562.0,boy
1960,Roger,537.0,boy
1960,Ricky,523.0,boy
1960,Frank,510.0,boy
1960,Raymond,494.0,boy
1960,Matthew,461.0,boy
1960,Rick,433.0,boy
1960,Todd,433.0,boy
1960,Randall,423.0,boy
1960,Danny,417.0,boy
1960,Carl,406.0,boy
1960,Alan,398.0,boy
1960,Chris,388.0,boy
1960,Andrew,387.0,boy
1960,Jim,386.0,boy
1960,Jack,374.0,boy
1960,Russell,371.0,boy
1960,Tom,370.0,boy
1960,Tony,357.0,boy
1960,Gerald,349.0,boy
1960,Lawrence,349.0,boy
1960,Martin,337.0,boy
1960,Greg,327.0,boy
1960,Peter,326.0,boy
1960,Philip,326.0,boy
1960,Rodney,321.0,boy
1960,Phillip,318.0,boy
1960,Bill,312.0,boy
1960,Jay,304.0,boy
1960,Wayne,284.0,boy
1960,Dave,282.0,boy
1960,Glenn,279.0,boy
1960,Jon,279.0,boy
1960,Walter,274.0,boy
1960,Ralph,273.0,boy
1960,Bradley,268.0,boy
1960,Harold,262.0,boy
1960,Dean,261.0,boy
1960,Dan,259.0,boy
1960,Joe,253.0,boy
1960,Bryan,251.0,boy
1960,Duane,246.0,boy
1960,Darryl,245.0,boy
1960,Roy,242.0,boy
1960,Barry,239.0,boy
1960,Darrell,222.0,boy
1960,Bob,220.0,boy
1960,Allen,216.0,boy
1960,Samuel,216.0,boy
1960,Arthur,215.0,boy
1960,Fred,203.0,boy
1960,Don,198.0,boy
1960,Curtis,196.0,boy
1960,Howard,195.0,boy
1960,Jonathan,188.0,boy
1961,David,5175.0,boy
1961,Michael,4793.0,boy
1961,John,4491.0,boy
1961,James,4454.0,boy
1961,Robert,4131.0,boy
1961,Mark,3777.0,boy
1961,William,2649.0,boy
1961,Jeffrey,2565.0,boy
1961,Richard,2431.0,boy
1961,Thomas,2397.0,boy
1961,Timothy,2211.0,boy
1961,Steven,1708.0,boy
1961,Charles,1664.0,boy
1961,Kevin,1589.0,boy
1961,Daniel,1572.0,boy
1961,Scott,1535.0,boy
1961,Joseph,1517.0,boy
1961,Gregory,1488.0,boy
1961,Donald,1396.0,boy
1961,Douglas,1378.0,boy
1961,Ronald,1357.0,boy
1961,Brian,1347.0,boy
1961,Kenneth,1328.0,boy
1961,Paul,1283.0,boy
1961,Gary,1281.0,boy
1961,Anthony,1056.0,boy
1961,Christopher,1052.0,boy
1961,Stephen,829.0,boy
1961,Edward,817.0,boy
1961,Terry,787.0,boy
1961,Keith,734.0,boy
1961,Jeff,733.0,boy
1961,Larry,719.0,boy
1961,Eric,718.0,boy
1961,Todd,714.0,boy
1961,Dennis,711.0,boy
1961,Randy,704.0,boy
1961,Mike,691.0,boy
1961,Jeffery,669.0,boy
1961,George,651.0,boy
1961,Jerry,638.0,boy
1961,Craig,616.0,boy
1961,Bruce,612.0,boy
1961,Patrick,586.0,boy
1961,Roger,583.0,boy
1961,Steve,583.0,boy
1961,Dale,522.0,boy
1961,Raymond,504.0,boy
1961,Tim,479.0,boy
1961,Frank,464.0,boy
1961,Matthew,464.0,boy
1961,Chris,458.0,boy
1961,Carl,452.0,boy
1961,Randall,448.0,boy
1961,Ricky,446.0,boy
1961,Andrew,438.0,boy
1961,Russell,405.0,boy
1961,Alan,398.0,boy
1961,Gerald,378.0,boy
1961,Jim,361.0,boy
1961,Tom,357.0,boy
1961,Danny,352.0,boy
1961,Peter,348.0,boy
1961,Jack,347.0,boy
1961,Tony,346.0,boy
1961,Greg,344.0,boy
1961,Bradley,333.0,boy
1961,Phillip,328.0,boy
1961,Rick,327.0,boy
1961,Lawrence,324.0,boy
1961,Philip,319.0,boy
1961,Rodney,312.0,boy
1961,Martin,311.0,boy
1961,Ralph,301.0,boy
1961,Bryan,288.0,boy
1961,Jay,282.0,boy
1961,Barry,275.0,boy
1961,Bill,265.0,boy
1961,Dean,264.0,boy
1961,Joe,264.0,boy
1961,Dave,262.0,boy
1961,Harold,258.0,boy
1961,Darryl,255.0,boy
1961,Glenn,255.0,boy
1961,Jon,248.0,boy
1961,Wayne,244.0,boy
1961,Walter,239.0,boy
1961,Dan,230.0,boy
1961,Roy,223.0,boy
1961,Samuel,221.0,boy
1961,Darrell,220.0,boy
1961,Allen,212.0,boy
1961,Don,212.0,boy
1961,Dwayne,211.0,boy
1961,Troy,202.0,boy
