year,name,number,sex
1960,David,1007.0,boy
1960,James,826.0,boy
1960,Michael,756.0,boy
1960,Mark,719.0,boy
1960,Robert,686.0,boy
1960,John,634.0,boy
1960,William,419.0,boy
1960,Steven,407.0,boy
1960,Richard,391.0,boy
1960,Charles,356.0,boy
1960,Kenneth,355.0,boy
1960,Terry,346.0,boy
1960,Gary,337.0,boy
1960,Larry,331.0,boy
1960,Kevin,314.0,boy
1960,Jerry,291.0,boy
1960,Randy,284.0,boy
1960,Donald,267.0,boy
1960,Timothy,260.0,boy
1960,Ronald,245.0,boy
1960,Paul,243.0,boy
1960,Mike,242.0,boy
1960,Ricky,242.0,boy
1960,Jimmy,237.0,boy
1960,Danny,216.0,boy
1960,Scott,214.0,boy
1960,Thomas,214.0,boy
1960,Billy,213.0,boy
1960,Bobby,202.0,boy
1960,Gregory,193.0,boy
1960,Jeffrey,189.0,boy
1960,Steve,182.0,boy
1960,Tony,178.0,boy
1960,Joe,172.0,boy
1960,Dennis,169.0,boy
1960,Johnny,169.0,boy
1960,Anthony,167.0,boy
1960,Stephen,166.0,boy
1960,Douglas,164.0,boy
1960,Roger,158.0,boy
1960,Russell,150.0,boy
1960,Brian,147.0,boy
1960,Tommy,147.0,boy
1960,Christopher,134.0,boy
1960,Daniel,131.0,boy
1960,Keith,130.0,boy
1960,Jeff,129.0,boy
1960,Chris,124.0,boy
1960,Phillip,121.0,boy
1960,Randall,120.0,boy
1960,Ronnie,118.0,boy
1960,Tim,116.0,boy
1960,Alan,114.0,boy
1960,George,114.0,boy
1960,Roy,113.0,boy
1960,Bruce,111.0,boy
1960,Craig,111.0,boy
1960,Carl,107.0,boy
1960,Joseph,107.0,boy
1960,Darrell,102.0,boy
1960,Bryan,101.0,boy
1960,Dale,101.0,boy
1960,Curtis,100.0,boy
1960,Edward,99.0,boy
1960,Rodney,94.0,boy
1960,Greg,89.0,boy
1960,Jim,86.0,boy
1960,Eddie,85.0,boy
1960,Gerald,83.0,boy
1960,Jack,83.0,boy
1960,Tracy,82.0,boy
1960,Jeffery,80.0,boy
1960,Kelly,80.0,boy
1960,Harold,78.0,boy
1960,Jay,78.0,boy
1960,Bill,74.0,boy
1960,Don,74.0,boy
1960,Rickey,73.0,boy
1960,Eric,70.0,boy
1960,Micheal,67.0,boy
1960,Jon,65.0,boy
1960,Kent,64.0,boy
1960,Patrick,64.0,boy
1960,Raymond,64.0,boy
1960,Wayne,64.0,boy
1960,Bradley,63.0,boy
1960,Frank,61.0,boy
1960,Wesley,60.0,boy
1960,Jackie,59.0,boy
1960,Allen,58.0,boy
1960,Stanley,58.0,boy
1960,Kenny,57.0,boy
1960,Mitchell,56.0,boy
1960,Ralph,56.0,boy
1960,Rick,56.0,boy
1960,Barry,55.0,boy
1960,Brad,54.0,boy
1960,Tom,54.0,boy
1960,Victor,54.0,boy
1960,Darren,53.0,boy
1960,Darryl,53.0,boy
1960,Martin,53.0,boy
1961,David,911.0,boy
1961,James,800.0,boy
1961,Michael,786.0,boy
1961,Robert,723.0,boy
1961,John,694.0,boy
1961,Mark,654.0,boy
1961,Charles,420.0,boy
1961,William,409.0,boy
1961,Steven,397.0,boy
1961,Richard,372.0,boy
1961,Kevin,352.0,boy
1961,Gary,332.0,boy
1961,Terry,315.0,boy
1961,Kenneth,303.0,boy
1961,Randy,293.0,boy
1961,Larry,288.0,boy
1961,Jerry,276.0,boy
1961,Gregory,266.0,boy
1961,Ronald,262.0,boy
1961,Billy,259.0,boy
1961,Donald,257.0,boy
1961,Jeffrey,235.0,boy
1961,Scott,231.0,boy
