year,name,number,sex
1960,David,855.0,boy
1960,Michael,669.0,boy
1960,Mark,643.0,boy
1960,John,515.0,boy
1960,Robert,514.0,boy
1960,James,494.0,boy
1960,Richard,361.0,boy
1960,Steven,337.0,boy
1960,Scott,313.0,boy
1960,Daniel,295.0,boy
1960,Kevin,291.0,boy
1960,Jeffrey,281.0,boy
1960,William,281.0,boy
1960,Mike,271.0,boy
1960,Kenneth,263.0,boy
1960,Thomas,260.0,boy
1960,Brian,240.0,boy
1960,Timothy,239.0,boy
1960,Randy,227.0,boy
1960,Donald,225.0,boy
1960,Ronald,217.0,boy
1960,Gary,204.0,boy
1960,Douglas,185.0,boy
1960,Charles,181.0,boy
1960,Steve,180.0,boy
1960,Jeff,179.0,boy
1960,Gregory,173.0,boy
1960,Terry,171.0,boy
1960,Paul,169.0,boy
1960,Larry,167.0,boy
1960,Dennis,137.0,boy
1960,Jim,135.0,boy
1960,Eric,130.0,boy
1960,Craig,128.0,boy
1960,Tim,128.0,boy
1960,Joseph,118.0,boy
1960,Christopher,116.0,boy
1960,Patrick,115.0,boy
1960,Jerry,114.0,boy
1960,Bruce,112.0,boy
1960,Rick,112.0,boy
1960,Stephen,112.0,boy
1960,Greg,108.0,boy
1960,Dale,106.0,boy
1960,Anthony,102.0,boy
1960,Dan,102.0,boy
1960,Alan,100.0,boy
1960,Chris,93.0,boy
1960,Tom,92.0,boy
1960,Kelly,90.0,boy
1960,Russell,90.0,boy
1960,Keith,88.0,boy
1960,Edward,85.0,boy
1960,Jeffery,85.0,boy
1960,Bill,84.0,boy
1960,Roger,83.0,boy
1960,Tony,82.0,boy
1960,Matthew,80.0,boy
1960,Brad,79.0,boy
1960,Randall,79.0,boy
1960,Todd,78.0,boy
1960,Bradley,76.0,boy
1960,Danny,74.0,boy
1960,Jay,74.0,boy
1960,Dean,69.0,boy
1960,Jack,69.0,boy
1960,Curtis,67.0,boy
1960,Ricky,66.0,boy
1960,Ron,66.0,boy
1960,Raymond,65.0,boy
1960,Rodney,65.0,boy
1960,Gerald,64.0,boy
1960,Bob,63.0,boy
1960,Andrew,62.0,boy
1960,Bryan,62.0,boy
1960,Wayne,62.0,boy
1960,Martin,61.0,boy
1960,Joe,60.0,boy
1960,Jon,56.0,boy
1960,Dave,55.0,boy
1960,Peter,55.0,boy
1960,Philip,54.0,boy
1960,Phillip,52.0,boy
1960,Doug,51.0,boy
1960,Gordon,49.0,boy
1960,Micheal,48.0,boy
1960,Frank,46.0,boy
1960,George,46.0,boy
1960,Walter,46.0,boy
1960,Carl,45.0,boy
1960,Roy,44.0,boy
1960,Ted,44.0,boy
1960,Brett,43.0,boy
1960,Darren,43.0,boy
1960,Don,43.0,boy
1960,Ken,43.0,boy
1960,Tracy,43.0,boy
1960,Duane,42.0,boy
1960,Glenn,42.0,boy
1960,Allen,40.0,boy
1960,Harold,40.0,boy
1960,Kent,40.0,boy
1960,Kerry,40.0,boy
1961,David,809.0,boy
1961,Michael,682.0,boy
1961,Mark,595.0,boy
1961,John,523.0,boy
1961,Robert,516.0,boy
1961,James,492.0,boy
1961,Scott,347.0,boy
1961,Steven,341.0,boy
1961,Richard,338.0,boy
1961,Kevin,309.0,boy
1961,Jeffrey,299.0,boy
1961,Brian,291.0,boy
1961,William,270.0,boy
1961,Mike,263.0,boy
1961,Daniel,239.0,boy
1961,Timothy,234.0,boy
1961,Gary,217.0,boy
1961,Thomas,213.0,boy
1961,Kenneth,209.0,boy
1961,Paul,198.0,boy
1961,Jeff,189.0,boy
1961,Douglas,186.0,boy
1961,Ronald,183.0,boy
1961,Donald,178.0,boy
1961,Gregory,178.0,boy
1961,Randy,167.0,boy
1961,Larry,158.0,boy
1961,Charles,155.0,boy
1961,Patrick,147.0,boy
1961,Steve,145.0,boy
1961,Joseph,139.0,boy
1961,Todd,136.0,boy
1961,Jim,131.0,boy
1961,Terry,131.0,boy
1961,Craig,119.0,boy
1961,Eric,118.0,boy
1961,Bruce,115.0,boy
1961,Christopher,107.0,boy
1961,Dennis,107.0,boy
1961,Stephen,107.0,boy
1961,Jerry,102.0,boy
1961,Rick,102.0,boy
1961,Tim,101.0,boy
1961,Dale,98.0,boy
1961,Tony,93.0,boy
1961,Chris,90.0,boy
1961,Dan,89.0,boy
1961,Edward,89.0,boy
1961,Roger,89.0,boy
1961,Greg,86.0,boy
1961,Anthony,85.0,boy
1961,Matthew,85.0,boy
1961,Troy,84.0,boy
1961,Jeffery,82.0,boy
1961,Randall,81.0,boy
1961,Tom,81.0,boy
1961,Rodney,80.0,boy
1961,Bill,79.0,boy
1961,Russell,79.0,boy
1961,Kelly,78.0,boy
1961,Keith,77.0,boy
1961,Ricky,77.0,boy
1961,Danny,75.0,boy
1961,Jay,74.0,boy
1961,Jon,74.0,boy
1961,Alan,73.0,boy
1961,Bradley,73.0,boy
1961,Ron,71.0,boy
1961,Dean,69.0,boy
1961,Brad,66.0,boy
1961,Joe,65.0,boy
1961,Brent,64.0,boy
1961,Carl,63.0,boy
1961,Doug,62.0,boy
1961,Gerald,60.0,boy
1961,Raymond,58.0,boy
1961,Tracy,58.0,boy
1961,Jack,57.0,boy
1961,Bryan,56.0,boy
1961,Frank,56.0,boy
1961,George,56.0,boy
1961,Bob,55.0,boy
1961,Martin,54.0,boy
1961,Peter,54.0,boy
1961,Barry,49.0,boy
1961,Darrell,49.0,boy
1961,Don,49.0,boy
1961,Ken,49.0,boy
1961,Andrew,46.0,boy
1961,Curtis,45.0,boy
1961,Wayne,45.0,boy
1961,Dave,44.0,boy
1961,Kurt,44.0,boy
1961,Glenn,43.0,boy
1961,Philip,43.0,boy
1961,Shawn,42.0,boy
1961,Allen,40.0,boy
1961,Gordon,40.0,boy
1961,Kent,40.0,boy
1961,Clifford,38.0,boy
1961,Darren,38.0,boy
1962,David,734.0,boy
1962,Michael,686.0,boy
1962,John,601.0,boy
1962,Mark,548.0,boy
1962,Robert,511.0,boy
1962,James,451.0,boy
1962,Scott,365.0,boy
1962,Steven,310.0,boy
1962,Richard,298.0,boy
1962,Kevin,295.0,boy
1962,Jeffrey,281.0,boy
1962,Brian,274.0,boy
1962,William,262.0,boy
1962,Daniel,256.0,boy
1962,Mike,234.0,boy
1962,Thomas,225.0,boy
1962,Douglas,220.0,boy
1962,Gary,212.0,boy
1962,Jeff,207.0,boy
1962,Timothy,206.0,boy
1962,Kenneth,191.0,boy
1962,Ronald,190.0,boy
1962,Todd,185.0,boy
1962,Donald,183.0,boy
1962,Paul,176.0,boy
1962,Gregory,168.0,boy
1962,Steve,151.0,boy
1962,Charles,150.0,boy
1962,Eric,147.0,boy
1962,Joseph,146.0,boy
1962,Randy,145.0,boy
1962,Terry,133.0,boy
1962,Greg,128.0,boy
1962,Dennis,121.0,boy
1962,Larry,121.0,boy
1962,Patrick,115.0,boy
1962,Tim,115.0,boy
1962,Christopher,110.0,boy
1962,Troy,108.0,boy
1962,Jim,105.0,boy
1962,Rick,105.0,boy
1962,Bruce,103.0,boy
1962,Jeffery,103.0,boy
1962,Craig,101.0,boy
1962,Jerry,101.0,boy
1962,Tony,96.0,boy
1962,Edward,94.0,boy
1962,Stephen,92.0,boy
1962,Chris,91.0,boy
1962,Matthew,90.0,boy
1962,Roger,89.0,boy
1962,Dale,87.0,boy
1962,Anthony,84.0,boy
1962,George,84.0,boy
1962,Keith,81.0,boy
1962,Dan,79.0,boy
1962,Jon,78.0,boy
1962,Alan,77.0,boy
1962,Tom,77.0,boy
1962,Bradley,75.0,boy
1962,Russell,75.0,boy
1962,Bill,71.0,boy
1962,Ricky,67.0,boy
1962,Joe,65.0,boy
1962,Danny,63.0,boy
1962,Ron,63.0,boy
1962,Kelly,62.0,boy
1962,Andrew,61.0,boy
1962,Doug,61.0,boy
1962,Randall,61.0,boy
1962,Curtis,60.0,boy
1962,Tracy,59.0,boy
1962,Brent,58.0,boy
1962,Dean,58.0,boy
1962,Rodney,58.0,boy
1962,Bob,56.0,boy
1962,Peter,56.0,boy
1962,Shawn,53.0,boy
1962,Allen,51.0,boy
1962,Jay,51.0,boy
1962,Raymond,51.0,boy
1962,Brad,50.0,boy
1962,Duane,49.0,boy
1962,Jack,49.0,boy
1962,Martin,48.0,boy
1962,Wayne,48.0,boy
1962,Bryan,47.0,boy
1962,Don,47.0,boy
1962,Frank,46.0,boy
1962,Kirk,46.0,boy
1962,Carl,44.0,boy
1962,Micheal,44.0,boy
1962,Barry,43.0,boy
1962,Brett,43.0,boy
1962,Gerald,43.0,boy
1962,Kent,39.0,boy
1962,Dave,38.0,boy
1962,Glenn,38.0,boy
1962,Philip,38.0,boy
1962,Darrell,37.0,boy
1963,David,753.0,boy
1963,Michael,579.0,boy
1963,Robert,510.0,boy
1963,John,498.0,boy
1963,Mark,463.0,boy
1963,James,439.0,boy
1963,Scott,367.0,boy
1963,Richard,363.0,boy
1963,Kevin,307.0,boy
1963,Brian,285.0,boy
1963,Steven,284.0,boy
1963,Jeffrey,253.0,boy
1963,Daniel,249.0,boy
1963,William,240.0,boy
1963,Thomas,217.0,boy
1963,Timothy,215.0,boy
1963,Todd,209.0,boy
1963,Gary,204.0,boy
1963,Kenneth,187.0,boy
1963,Mike,187.0,boy
1963,Donald,182.0,boy
1963,Douglas,179.0,boy
1963,Paul,179.0,boy
1963,Ronald,178.0,boy
1963,Gregory,172.0,boy
1963,Charles,168.0,boy
1963,Jeff,168.0,boy
1963,Randy,160.0,boy
1963,Steve,147.0,boy
1963,Eric,146.0,boy
1963,Terry,138.0,boy
1963,Christopher,136.0,boy
1963,Joseph,129.0,boy
1963,Patrick,125.0,boy
1963,Larry,124.0,boy
1963,Troy,113.0,boy
1963,Tim,111.0,boy
1963,Dennis,106.0,boy
1963,Tony,104.0,boy
1963,Jim,101.0,boy
1963,Jeffery,100.0,boy
1963,Anthony,97.0,boy
1963,Matthew,95.0,boy
1963,Greg,94.0,boy
1963,Stephen,94.0,boy
1963,Craig,87.0,boy
1963,Chris,86.0,boy
1963,Bruce,81.0,boy
1963,Russell,78.0,boy
1963,Jerry,77.0,boy
1963,Jon,77.0,boy
1963,Keith,77.0,boy
1963,Dale,76.0,boy
1963,Kelly,74.0,boy
1963,Jay,73.0,boy
1963,Rick,71.0,boy
1963,Edward,70.0,boy
1963,Andrew,69.0,boy
1963,Bill,69.0,boy
1963,Dan,69.0,boy
1963,Alan,68.0,boy
1963,Rodney,68.0,boy
1963,George,67.0,boy
1963,Joe,66.0,boy
1963,Bradley,65.0,boy
1963,Ricky,63.0,boy
1963,Shawn,63.0,boy
1963,Randall,62.0,boy
1963,Tom,62.0,boy
1963,Bryan,61.0,boy
1963,Roger,61.0,boy
1963,Dean,59.0,boy
1963,Danny,56.0,boy
1963,Brent,54.0,boy
1963,Peter,54.0,boy
1963,Gerald,53.0,boy
1963,Carl,51.0,boy
1963,Brad,49.0,boy
1963,Raymond,49.0,boy
1963,Curtis,48.0,boy
1963,Darrell,47.0,boy
1963,Frank,47.0,boy
1963,Martin,47.0,boy
1963,Doug,46.0,boy
1963,Jack,46.0,boy
1963,Tracy,45.0,boy
1963,Ron,44.0,boy
1963,Vincent,44.0,boy
1963,Allen,41.0,boy
1963,Don,41.0,boy
1963,Duane,40.0,boy
1963,Dave,39.0,boy
1963,Ken,38.0,boy
1963,Micheal,38.0,boy
1963,Wayne,38.0,boy
1963,Darren,37.0,boy
1963,Kurt,37.0,boy
1963,Lawrence,37.0,boy
1963,Gordon,36.0,boy
1963,Bob,35.0,boy
1963, ,,boy
1963, ,,boy
1963, ,,boy
1963, ,,boy
1963, ,,boy
1964,David,711.0,boy
1964,Michael,629.0,boy
1964,Robert,550.0,boy
1964,John,534.0,boy
1964,James,457.0,boy
1964,Mark,432.0,boy
1964,Richard,331.0,boy
1964,Brian,304.0,boy
1964,Scott,302.0,boy
1964,Steven,292.0,boy
1964,Jeffrey,287.0,boy
1964,Kevin,278.0,boy
1964,William,246.0,boy
1964,Daniel,214.0,boy
1964,Timothy,214.0,boy
1964,Paul,207.0,boy
1964,Thomas,200.0,boy
1964,Todd,194.0,boy
1964,Donald,179.0,boy
1964,Douglas,174.0,boy
1964,Kenneth,172.0,boy
1964,Eric,167.0,boy
1964,Ronald,165.0,boy
1964,Mike,163.0,boy
1964,Gary,160.0,boy
1964,Gregory,149.0,boy
1964,Charles,143.0,boy
1964,Joseph,143.0,boy
1964,Patrick,127.0,boy
1964,Jeff,124.0,boy
1964,Christopher,120.0,boy
1964,Troy,117.0,boy
1964,Steve,115.0,boy
1964,Randy,111.0,boy
1964,Larry,109.0,boy
1964,Craig,105.0,boy
1964,Anthony,104.0,boy
1964,Matthew,100.0,boy
1964,Terry,100.0,boy
1964,Jerry,98.0,boy
1964,Dennis,90.0,boy
1964,Tim,87.0,boy
1964,Stephen,84.0,boy
1964,Chris,82.0,boy
1964,Jim,81.0,boy
1964,Rick,78.0,boy
1964,Edward,75.0,boy
1964,Andrew,74.0,boy
1964,Dale,73.0,boy
1964,Greg,71.0,boy
1964,Shawn,70.0,boy
1964,Bradley,69.0,boy
1964,Tony,69.0,boy
1964,Keith,68.0,boy
1964,Bruce,67.0,boy
1964,Dean,67.0,boy
1964,Kelly,65.0,boy
1964,Dan,64.0,boy
1964,Jon,64.0,boy
1964,Danny,63.0,boy
1964,Jay,63.0,boy
1964,Jeffery,63.0,boy
1964,Peter,63.0,boy
1964,Raymond,61.0,boy
1964,Tom,60.0,boy
1964,Alan,59.0,boy
1964,Roger,56.0,boy
1964,Carl,55.0,boy
1964,Rodney,55.0,boy
1964,Russell,55.0,boy
