year,name,number,sex
1960,Michael,566.0,boy
1960,David,558.0,boy
1960,John,536.0,boy
1960,Robert,528.0,boy
1960,James,357.0,boy
1960,Paul,292.0,boy
1960,Richard,285.0,boy
1960,Joseph,279.0,boy
1960,William,273.0,boy
1960,Mark,245.0,boy
1960,Steven,229.0,boy
1960,Thomas,223.0,boy
1960,Stephen,174.0,boy
1960,Kevin,166.0,boy
1960,Kenneth,164.0,boy
1960,Peter,143.0,boy
1960,Ronald,132.0,boy
1960,Jeffrey,123.0,boy
1960,Brian,121.0,boy
1960,Anthony,120.0,boy
1960,Edward,120.0,boy
1960,Charles,119.0,boy
1960,Donald,119.0,boy
1960,Gary,118.0,boy
1960,Daniel,114.0,boy
1960,Raymond,102.0,boy
1960,Timothy,101.0,boy
1960,Christopher,93.0,boy
1960,George,86.0,boy
1960,Scott,85.0,boy
1960,Gregory,80.0,boy
1960,Frank,74.0,boy
1960,Bruce,63.0,boy
1960,Dennis,62.0,boy
1960,Alan,56.0,boy
1960,Marc,51.0,boy
1960,Patrick,50.0,boy
1960,Walter,49.0,boy
1960,Eric,48.0,boy
1960,Wayne,47.0,boy
1960,Keith,46.0,boy
1960,Craig,45.0,boy
1960,Andrew,42.0,boy
1960,Arthur,41.0,boy
1960,Philip,39.0,boy
1960,Louis,37.0,boy
1960,Carl,35.0,boy
1960,Glenn,35.0,boy
1960,Russell,35.0,boy
1960,Matthew,34.0,boy
1960,Vincent,33.0,boy
1960,Albert,32.0,boy
1960,Lawrence,32.0,boy
1960,Roger,32.0,boy
1960,Douglas,31.0,boy
1960,Mike,31.0,boy
1960,Francis,30.0,boy
1960,Eugene,29.0,boy
1960,Gerald,27.0,boy
1960,Norman,27.0,boy
1960,Ralph,27.0,boy
1960,Jonathan,26.0,boy
1960,Steve,26.0,boy
1960,Dean,25.0,boy
1960,Alfred,23.0,boy
1960,Barry,22.0,boy
1960,Ernest,22.0,boy
1960,Henry,22.0,boy
1960,Roland,21.0,boy
1960,Frederick,20.0,boy
1960,Chris,19.0,boy
1960,Gerard,19.0,boy
1960,Leo,19.0,boy
1960,Jay,18.0,boy
1960,Allen,17.0,boy
1960,Stanley,17.0,boy
1960,Martin,16.0,boy
1960,Phillip,16.0,boy
1960,Glen,15.0,boy
1960,Leonard,15.0,boy
1960,Micheal,15.0,boy
1960,Rene,15.0,boy
1960,Theodore,14.0,boy
1960,Bryan,13.0,boy
1960,Fred,13.0,boy
1960,Larry,13.0,boy
1960,Manuel,13.0,boy
1960,Ricky,13.0,boy
1960,Roy,13.0,boy
1960,Todd,13.0,boy
1960,Antonio,12.0,boy
1960,Curtis,12.0,boy
1960,Dale,12.0,boy
1960,Danny,12.0,boy
1960,Harold,12.0,boy
1960,Howard,12.0,boy
1960,Jack,12.0,boy
1960,Jeff,12.0,boy
1960,Gordon,11.0,boy
1960,Jerry,11.0,boy
1960,Nicholas,11.0,boy
1961,Michael,568.0,boy
1961,John,540.0,boy
1961,David,539.0,boy
1961,Robert,508.0,boy
1961,James,343.0,boy
1961,William,300.0,boy
1961,Richard,294.0,boy
1961,Joseph,280.0,boy
1961,Mark,276.0,boy
1961,Thomas,246.0,boy
1961,Paul,233.0,boy
1961,Steven,226.0,boy
1961,Stephen,194.0,boy
1961,Kevin,173.0,boy
1961,Kenneth,158.0,boy
1961,Brian,147.0,boy
1961,Edward,144.0,boy
1961,Peter,139.0,boy
1961,Jeffrey,129.0,boy
1961,Daniel,127.0,boy
1961,Donald,110.0,boy
1961,Raymond,108.0,boy
1961,Anthony,106.0,boy
1961,Scott,106.0,boy
1961,Timothy,106.0,boy
1961,Gary,104.0,boy
1961,Charles,100.0,boy
1961,Christopher,100.0,boy
1961,Ronald,96.0,boy
1961,Gregory,70.0,boy
1961,Bruce,68.0,boy
1961,George,67.0,boy
1961,Frank,65.0,boy
1961,Alan,62.0,boy
1961,Russell,56.0,boy
1961,Wayne,55.0,boy
1961,Keith,52.0,boy
1961,Dennis,49.0,boy
1961,Marc,49.0,boy
1961,Albert,43.0,boy
1961,Douglas,42.0,boy
1961,Glenn,42.0,boy
1961,Andrew,40.0,boy
1961,Arthur,39.0,boy
1961,Matthew,39.0,boy
1961,Carl,38.0,boy
1961,Craig,37.0,boy
1961,Louis,37.0,boy
1961,Patrick,35.0,boy
1961,Roger,34.0,boy
1961,Todd,34.0,boy
1961,Eric,33.0,boy
1961,Frederick,30.0,boy
1961,Vincent,30.0,boy
1961,Barry,29.0,boy
1961,Walter,27.0,boy
1961,Philip,26.0,boy
1961,Ernest,24.0,boy
1961,Gerald,24.0,boy
1961,Jay,23.0,boy
1961,Lawrence,23.0,boy
1961,Jonathan,22.0,boy
1961,Norman,22.0,boy
1961,Ralph,22.0,boy
1961,Alfred,21.0,boy
1961,Nicholas,20.0,boy
1961,Bryan,19.0,boy
1961,Eugene,19.0,boy
1961,Randy,19.0,boy
1961,Roland,19.0,boy
1961,Henry,18.0,boy
1961,Allan,17.0,boy
1961,Dean,17.0,boy
1961,Mike,17.0,boy
1961,Allen,16.0,boy
1961,Glen,16.0,boy
1961,Harold,16.0,boy
1961,Larry,16.0,boy
1961,Leo,16.0,boy
1961,Martin,16.0,boy
1961,Gerard,15.0,boy
