year,name,number,sex
1960,James,1509.0,boy
1960,David,905.0,boy
1960,John,898.0,boy
1960,Michael,896.0,boy
1960,William,884.0,boy
1960,Robert,879.0,boy
1960,Charles,600.0,boy
1960,Kenneth,513.0,boy
1960,Thomas,470.0,boy
1960,Richard,461.0,boy
1960,Mark,425.0,boy
1960,Timothy,413.0,boy
1960,Willie,340.0,boy
1960,Anthony,336.0,boy
1960,Larry,324.0,boy
1960,Joseph,311.0,boy
1960,Donald,302.0,boy
1960,Ronald,300.0,boy
1960,George,286.0,boy
1960,Johnny,265.0,boy
1960,Terry,264.0,boy
1960,Ricky,263.0,boy
1960,Steven,254.0,boy
1960,Bobby,251.0,boy
1960,Jerry,244.0,boy
1960,Tony,229.0,boy
1960,Randy,212.0,boy
1960,Gregory,211.0,boy
1960,Edward,208.0,boy
1960,Henry,203.0,boy
1960,Ronnie,203.0,boy
1960,Gary,191.0,boy
1960,Jimmy,191.0,boy
1960,Dennis,175.0,boy
1960,Danny,173.0,boy
1960,Billy,171.0,boy
1960,Daniel,170.0,boy
1960,Paul,167.0,boy
1960,Roger,166.0,boy
1960,Christopher,161.0,boy
1960,Jeffrey,159.0,boy
1960,Joe,149.0,boy
1960,Samuel,145.0,boy
1960,Stanley,144.0,boy
1960,Steve,143.0,boy
1960,Barry,138.0,boy
1960,Carl,138.0,boy
1960,Stephen,136.0,boy
1960,Keith,131.0,boy
1960,Eddie,130.0,boy
1960,Walter,126.0,boy
1960,Micheal,125.0,boy
1960,Tommy,124.0,boy
1960,Curtis,119.0,boy
1960,Frank,119.0,boy
1960,Phillip,117.0,boy
1960,Russell,117.0,boy
1960,Kevin,115.0,boy
1960,Douglas,112.0,boy
1960,Melvin,112.0,boy
1960,Raymond,112.0,boy
1960,Wayne,111.0,boy
1960,Harold,110.0,boy
1960,Marvin,108.0,boy
1960,Gerald,107.0,boy
1960,Jeffery,103.0,boy
1960,Calvin,102.0,boy
1960,Bruce,101.0,boy
1960,Harry,101.0,boy
1960,Mike,101.0,boy
1960,Ernest,100.0,boy
1960,Arthur,98.0,boy
1960,Benjamin,96.0,boy
1960,Leroy,96.0,boy
1960,Rickey,93.0,boy
1960,Albert,89.0,boy
1960,Nathaniel,89.0,boy
1960,Clarence,87.0,boy
1960,Roy,86.0,boy
1960,Allen,84.0,boy
1960,Brian,84.0,boy
1960,Eugene,84.0,boy
1960,Andrew,83.0,boy
1960,Jerome,83.0,boy
1960,Lee,83.0,boy
1960,Earl,80.0,boy
1960,Ralph,80.0,boy
1960,Reginald,78.0,boy
1960,Franklin,76.0,boy
1960,Bernard,74.0,boy
1960,Alvin,73.0,boy
1960,Ray,73.0,boy
1960,Donnie,71.0,boy
1960,Glenn,70.0,boy
1960,Perry,70.0,boy
1960,Scott,70.0,boy
1960,Rodney,69.0,boy
1960,Darryl,68.0,boy
1960,Chris,67.0,boy
1960,Eric,66.0,boy
1961,James,1467.0,boy
1961,John,957.0,boy
1961,Michael,933.0,boy
1961,David,919.0,boy
1961,William,889.0,boy
1961,Robert,881.0,boy
1961,Charles,595.0,boy
1961,Kenneth,509.0,boy
1961,Richard,492.0,boy
1961,Mark,418.0,boy
1961,Timothy,404.0,boy
1961,Thomas,401.0,boy
1961,Anthony,386.0,boy
1961,Willie,330.0,boy
1961,Larry,316.0,boy
1961,Joseph,303.0,boy
1961,Ricky,297.0,boy
1961,George,296.0,boy
1961,Jerry,286.0,boy
1961,Donald,276.0,boy
1961,Terry,263.0,boy
1961,Gregory,258.0,boy
1961,Ronald,254.0,boy
1961,Jeffrey,242.0,boy
1961,Tony,228.0,boy
1961,Johnny,223.0,boy
1961,Edward,208.0,boy
1961,Jimmy,206.0,boy
1961,Steven,205.0,boy
1961,Bobby,192.0,boy
1961,Christopher,183.0,boy
1961,Danny,183.0,boy
1961,Randy,183.0,boy
1961,Gary,181.0,boy
1961,Paul,169.0,boy
1961,Roger,167.0,boy
1961,Billy,162.0,boy
1961,Daniel,161.0,boy
1961,Ronnie,161.0,boy
1961,Dennis,159.0,boy
1961,Stephen,149.0,boy
1961,Henry,147.0,boy
1961,Carl,146.0,boy
1961,Keith,142.0,boy
1961,Steve,142.0,boy
1961,Joe,140.0,boy
1961,Stanley,138.0,boy
1961,Gerald,135.0,boy
1961,Barry,134.0,boy
1961,Jeffery,134.0,boy
1961,Brian,133.0,boy
1961,Tommy,127.0,boy
1961,Curtis,126.0,boy
1961,Eddie,124.0,boy
1961,Samuel,120.0,boy
1961,Micheal,119.0,boy
1961,Wayne,119.0,boy
1961,Harold,118.0,boy
1961,Calvin,116.0,boy
1961,Douglas,116.0,boy
1961,Walter,116.0,boy
1961,Leroy,110.0,boy
1961,Marvin,106.0,boy
1961,Phillip,106.0,boy
1961,Kevin,105.0,boy
1961,Raymond,104.0,boy
1961,Jerome,101.0,boy
1961,Melvin,101.0,boy
1961,Ernest,100.0,boy
1961,Russell,100.0,boy
1961,Andrew,99.0,boy
1961,Arthur,97.0,boy
1961,Frank,96.0,boy
1961,Allen,95.0,boy
1961,Mike,95.0,boy
1961,Glenn,92.0,boy
1961,Harry,91.0,boy
1961,Rodney,89.0,boy
1961,Marion,88.0,boy
1961,Clarence,87.0,boy
1961,Darryl,87.0,boy
1961,Bruce,85.0,boy
1961,Roy,84.0,boy
1961,Benjamin,83.0,boy
1961,Eric,82.0,boy
1961,Chris,80.0,boy
1961,Randall,78.0,boy
1961,Ray,78.0,boy
1961,Scott,78.0,boy
1961,Rickey,75.0,boy
1961,Jeff,74.0,boy
1961,Nathaniel,73.0,boy
1961,Jack,71.0,boy
1961,Herbert,70.0,boy
1961,Ralph,70.0,boy
1961,Albert,69.0,boy
1961,Alvin,69.0,boy
1961,Tim,68.0,boy
1961,Joel,66.0,boy
1961,Lawrence,66.0,boy
1961, ,,boy
1961, ,,boy
1961, ,,boy
1962,James,1378.0,boy
1962,John,973.0,boy
1962,Michael,956.0,boy
1962,Robert,847.0,boy
1962,William,811.0,boy
1962,David,807.0,boy
1962,Charles,557.0,boy
1962,Thomas,460.0,boy
1962,Richard,447.0,boy
1962,Kenneth,444.0,boy
1962,Mark,438.0,boy
1962,Timothy,379.0,boy
1962,Anthony,377.0,boy
1962,Donald,324.0,boy
1962,Joseph,318.0,boy
1962,Willie,302.0,boy
1962,Terry,284.0,boy
1962,Larry,277.0,boy
1962,Tony,267.0,boy
1962,Ricky,258.0,boy
1962,Jeffrey,251.0,boy
1962,Gregory,243.0,boy
1962,Ronald,241.0,boy
1962,George,232.0,boy
1962,Jerry,220.0,boy
1962,Paul,202.0,boy
1962,Christopher,201.0,boy
1962,Johnny,200.0,boy
1962,Bobby,195.0,boy
1962,Randy,190.0,boy
1962,Edward,187.0,boy
1962,Danny,184.0,boy
1962,Steven,183.0,boy
1962,Jimmy,174.0,boy
1962,Gary,173.0,boy
1962,Stephen,168.0,boy
1962,Daniel,160.0,boy
1962,Scott,153.0,boy
1962,Henry,148.0,boy
1962,Kevin,144.0,boy
1962,Stanley,143.0,boy
1962,Ronnie,142.0,boy
1962,Dennis,137.0,boy
1962,Keith,135.0,boy
1962,Roger,135.0,boy
1962,Samuel,133.0,boy
1962,Barry,130.0,boy
1962,Joe,129.0,boy
1962,Billy,126.0,boy
1962,Steve,125.0,boy
1962,Jeffery,120.0,boy
1962,Carl,119.0,boy
1962,Curtis,117.0,boy
1962,Tommy,117.0,boy
1962,Glenn,114.0,boy
1962,Douglas,112.0,boy
1962,Brian,110.0,boy
1962,Eddie,110.0,boy
1962,Russell,107.0,boy
1962,Phillip,105.0,boy
