year,name,number,sex
1960,David,307.0,boy
1960,Michael,270.0,boy
1960,Mark,247.0,boy
1960,James,238.0,boy
1960,Robert,212.0,boy
1960,Steven,192.0,boy
1960,Timothy,188.0,boy
1960,Scott,185.0,boy
1960,Kevin,178.0,boy
1960,John,176.0,boy
1960,Richard,164.0,boy
1960,Jeffrey,148.0,boy
1960,Daniel,136.0,boy
1960,Thomas,134.0,boy
1960,Brian,130.0,boy
1960,Douglas,129.0,boy
1960,Paul,114.0,boy
1960,William,109.0,boy
1960,Randy,106.0,boy
1960,Todd,101.0,boy
1960,Gary,88.0,boy
1960,Craig,87.0,boy
1960,Larry,84.0,boy
1960,Ronald,79.0,boy
1960,Terry,79.0,boy
1960,Charles,78.0,boy
1960,Donald,77.0,boy
1960,Mike,73.0,boy
1960,Dale,69.0,boy
1960,Tim,69.0,boy
1960,Dennis,66.0,boy
1960,Bruce,65.0,boy
1960,Rodney,64.0,boy
1960,Roger,63.0,boy
1960,Kenneth,62.0,boy
1960,Gregory,61.0,boy
1960,Patrick,61.0,boy
1960,Keith,60.0,boy
1960,Bradley,59.0,boy
1960,Joseph,59.0,boy
1960,Jerry,53.0,boy
1960,Alan,50.0,boy
1960,Jay,50.0,boy
1960,Jeff,49.0,boy
1960,Steve,49.0,boy
1960,Dean,48.0,boy
1960,Ricky,44.0,boy
1960,Wayne,43.0,boy
1960,Curtis,42.0,boy
1960,Randall,42.0,boy
1960,Jim,40.0,boy
1960,Rick,39.0,boy
1960,Danny,38.0,boy
1960,Kelly,37.0,boy
1960,Russell,37.0,boy
1960,Jon,36.0,boy
1960,Gerald,35.0,boy
1960,Bryan,32.0,boy
1960,Joel,32.0,boy
1960,Tom,32.0,boy
1960,Brad,31.0,boy
1960,Dan,31.0,boy
1960,Duane,31.0,boy
1960,Tony,31.0,boy
1960,Brett,30.0,boy
1960,Lyle,30.0,boy
1960,George,28.0,boy
1960,Greg,28.0,boy
1960,Allen,27.0,boy
1960,Anthony,27.0,boy
1960,Jeffery,26.0,boy
1960,Joe,26.0,boy
1960,Dana,25.0,boy
1960,Kent,25.0,boy
1960,Bob,23.0,boy
1960,Lee,23.0,boy
1960,Stephen,23.0,boy
1960,Bill,22.0,boy
1960,Glenn,22.0,boy
1960,Doug,21.0,boy
1960,Kirk,21.0,boy
1960,Marty,21.0,boy
1960,Marvin,21.0,boy
1960,Peter,21.0,boy
1960,Edward,20.0,boy
1960,Jack,20.0,boy
1960,Micheal,20.0,boy
1960,Barry,19.0,boy
1960,Philip,19.0,boy
1960,Bret,18.0,boy
1960,Christopher,18.0,boy
1960,Daryl,18.0,boy
1960,Eric,18.0,boy
1960,Kurt,18.0,boy
1960,Perry,18.0,boy
1960,Brent,17.0,boy
1960,Calvin,17.0,boy
1960,Kim,17.0,boy
1960,Leslie,17.0,boy
1960,Lonnie,17.0,boy
1960,Loren,17.0,boy
1960,Monte,17.0,boy
1960,Ross,17.0,boy
1960,Roy,17.0,boy
1961,David,328.0,boy
1961,Mark,285.0,boy
1961,Michael,260.0,boy
1961,James,227.0,boy
1961,Kevin,206.0,boy
1961,John,197.0,boy
1961,Todd,194.0,boy
1961,Scott,190.0,boy
1961,Robert,188.0,boy
1961,Steven,166.0,boy
1961,Jeffrey,163.0,boy
1961,Timothy,159.0,boy
1961,Daniel,148.0,boy
1961,Brian,127.0,boy
1961,Richard,125.0,boy
1961,Thomas,113.0,boy
1961,William,112.0,boy
1961,Douglas,111.0,boy
1961,Gary,109.0,boy
1961,Paul,99.0,boy
1961,Terry,91.0,boy
1961,Donald,86.0,boy
1961,Kenneth,81.0,boy
1961,Bradley,78.0,boy
1961,Gregory,76.0,boy
1961,Randy,76.0,boy
1961,Craig,72.0,boy
1961,Ronald,71.0,boy
1961,Bruce,70.0,boy
1961,Charles,70.0,boy
1961,Dennis,66.0,boy
1961,Mike,65.0,boy
1961,Keith,64.0,boy
1961,Larry,64.0,boy
1961,Roger,61.0,boy
1961,Dale,54.0,boy
1961,Jay,54.0,boy
1961,Joseph,54.0,boy
1961,Dean,53.0,boy
1961,Alan,52.0,boy
1961,Patrick,52.0,boy
1961,Tim,52.0,boy
1961,Jerry,49.0,boy
1961,Randall,48.0,boy
1961,Jeffery,47.0,boy
1961,Rodney,47.0,boy
1961,Jeff,46.0,boy
1961,Russell,46.0,boy
1961,Wayne,46.0,boy
1961,Tom,45.0,boy
1961,Jon,44.0,boy
1961,Steve,43.0,boy
1961,Greg,41.0,boy
1961,Kelly,40.0,boy
1961,Curtis,36.0,boy
1961,Jim,35.0,boy
1961,Brad,34.0,boy
1961,Bryan,31.0,boy
1961,Danny,31.0,boy
1961,Duane,31.0,boy
1961,Ricky,31.0,boy
1961,Dan,30.0,boy
1961,Joel,30.0,boy
1961,Rick,30.0,boy
1961,Christopher,28.0,boy
1961,Anthony,27.0,boy
1961,Edward,27.0,boy
1961,Kent,26.0,boy
1961,Raymond,26.0,boy
1961,Troy,26.0,boy
1961,George,25.0,boy
1961,Matthew,25.0,boy
1961,Dave,24.0,boy
1961,Barry,23.0,boy
1961,Allen,22.0,boy
1961,Eric,22.0,boy
1961,Lyle,22.0,boy
1961,Andrew,21.0,boy
1961,Bill,21.0,boy
1961,Kurt,21.0,boy
1961,Stephen,21.0,boy
1961,Frank,20.0,boy
1961,Micheal,20.0,boy
1961,Peter,20.0,boy
1961,Chris,19.0,boy
1961,Lance,19.0,boy
1961,Tony,19.0,boy
1961,Glen,18.0,boy
1961,Jack,18.0,boy
1961,Lee,18.0,boy
1961,Loren,18.0,boy
1961,Brent,17.0,boy
1961,Brett,17.0,boy
1961,Darrell,17.0,boy
1961,Darwin,17.0,boy
1961,Don,17.0,boy
1961,Monte,17.0,boy
1961,Wade,17.0,boy
1961,Gerald,16.0,boy
1961,Joe,16.0,boy
1961,Kim,16.0,boy
1961,Kirk,16.0,boy
1961,Philip,16.0,boy
1962,David,295.0,boy
1962,Mark,260.0,boy
1962,Michael,260.0,boy
1962,Robert,232.0,boy
1962,John,220.0,boy
1962,Scott,213.0,boy
1962,Todd,208.0,boy
1962,Kevin,195.0,boy
1962,James,181.0,boy
1962,Jeffrey,176.0,boy
1962,Steven,169.0,boy
1962,Richard,146.0,boy
1962,Thomas,137.0,boy
1962,Timothy,136.0,boy
1962,Brian,132.0,boy
1962,Douglas,129.0,boy
1962,Daniel,127.0,boy
1962,William,115.0,boy
1962,Paul,102.0,boy
1962,Gary,89.0,boy
1962,Terry,89.0,boy
1962,Ronald,84.0,boy
1962,Kenneth,81.0,boy
1962,Bradley,80.0,boy
1962,Randy,73.0,boy
1962,Charles,71.0,boy
1962,Donald,71.0,boy
1962,Gregory,71.0,boy
1962,Jeff,70.0,boy
1962,Dale,68.0,boy
1962,Roger,63.0,boy
1962,Craig,61.0,boy
1962,Joseph,61.0,boy
1962,Keith,61.0,boy
1962,Troy,57.0,boy
1962,Mike,56.0,boy
1962,Bruce,54.0,boy
1962,Tim,54.0,boy
1962,Larry,53.0,boy
1962,Rodney,53.0,boy
1962,Steve,52.0,boy
1962,Dennis,51.0,boy
1962,Jay,51.0,boy
1962,Alan,50.0,boy
1962,Greg,50.0,boy
1962,Patrick,50.0,boy
1962,Kelly,48.0,boy
1962,Rick,43.0,boy
