year,name,number,sex
1960,James,1997.0,boy
1960,David,1522.0,boy
1960,Michael,1403.0,boy
1960,William,1209.0,boy
1960,Robert,1110.0,boy
1960,John,1103.0,boy
1960,Charles,847.0,boy
1960,Mark,822.0,boy
1960,Timothy,717.0,boy
1960,Ricky,672.0,boy
1960,Kenneth,633.0,boy
1960,Terry,626.0,boy
1960,Jeffrey,568.0,boy
1960,Richard,558.0,boy
1960,Thomas,517.0,boy
1960,Gary,500.0,boy
1960,Jerry,474.0,boy
1960,Donald,459.0,boy
1960,Steven,440.0,boy
1960,Anthony,436.0,boy
1960,Larry,432.0,boy
1960,Gregory,411.0,boy
1960,Danny,404.0,boy
1960,Ronald,383.0,boy
1960,Billy,367.0,boy
1960,Bobby,366.0,boy
1960,Paul,366.0,boy
1960,Randy,360.0,boy
1960,Tony,360.0,boy
1960,Jimmy,340.0,boy
1960,Jeffery,337.0,boy
1960,Johnny,323.0,boy
1960,Dennis,283.0,boy
1960,Roger,280.0,boy
1960,Joseph,276.0,boy
1960,Mike,269.0,boy
1960,George,267.0,boy
1960,Steve,263.0,boy
1960,Joe,251.0,boy
1960,Stephen,250.0,boy
1960,Ronnie,235.0,boy
1960,Tim,221.0,boy
1960,Kevin,219.0,boy
1960,Jeff,216.0,boy
1960,Edward,214.0,boy
1960,Barry,213.0,boy
1960,Tommy,213.0,boy
1960,Randall,209.0,boy
1960,Christopher,198.0,boy
1960,Eddie,198.0,boy
1960,Carl,193.0,boy
1960,Rickey,193.0,boy
1960,Darrell,190.0,boy
1960,Phillip,190.0,boy
1960,Willie,186.0,boy
1960,Douglas,182.0,boy
1960,Keith,182.0,boy
1960,Daniel,180.0,boy
1960,Brian,171.0,boy
1960,Roy,167.0,boy
1960,Walter,155.0,boy
1960,Stanley,154.0,boy
1960,Scott,147.0,boy
1960,Harold,146.0,boy
1960,Micheal,142.0,boy
1960,Jackie,137.0,boy
1960,Timmy,129.0,boy
1960,Russell,125.0,boy
1960,Gerald,122.0,boy
1960,Marvin,121.0,boy
1960,Eric,120.0,boy
1960,Samuel,119.0,boy
1960,Reginald,117.0,boy
1960,Chris,116.0,boy
1960,Donnie,116.0,boy
1960,Frank,116.0,boy
1960,Raymond,112.0,boy
1960,Bruce,108.0,boy
1960,Curtis,108.0,boy
1960,Alan,107.0,boy
1960,Allen,106.0,boy
1960,Rodney,103.0,boy
1960,Melvin,101.0,boy
1960,Wayne,100.0,boy
1960,Ralph,98.0,boy
1960,Jack,97.0,boy
1960,Ray,93.0,boy
1960,Andrew,90.0,boy
1960,Calvin,90.0,boy
1960,Craig,90.0,boy
1960,Henry,87.0,boy
1960,Darryl,85.0,boy
1960,Glenn,84.0,boy
1960,Lawrence,81.0,boy
1960,Patrick,80.0,boy
1960,Kenny,79.0,boy
1960,Arthur,78.0,boy
1960,Clarence,77.0,boy
1960,Don,77.0,boy
1960,Ernest,75.0,boy
1960,Howard,75.0,boy
1960,Joel,75.0,boy
1960,Philip,75.0,boy
1961,James,1928.0,boy
1961,David,1488.0,boy
1961,Michael,1477.0,boy
1961,Robert,1144.0,boy
1961,William,1127.0,boy
1961,John,1054.0,boy
1961,Mark,889.0,boy
1961,Charles,849.0,boy
1961,Timothy,715.0,boy
1961,Jeffrey,646.0,boy
1961,Terry,618.0,boy
1961,Kenneth,590.0,boy
1961,Ricky,566.0,boy
1961,Richard,543.0,boy
1961,Gary,521.0,boy
1961,Thomas,510.0,boy
1961,Jerry,505.0,boy
1961,Gregory,452.0,boy
1961,Anthony,437.0,boy
1961,Donald,430.0,boy
1961,Steven,419.0,boy
1961,Larry,416.0,boy
1961,Danny,400.0,boy
1961,Billy,390.0,boy
1961,Tony,383.0,boy
1961,Jeffery,380.0,boy
1961,Ronald,376.0,boy
1961,Randy,371.0,boy
1961,Johnny,356.0,boy
1961,Jimmy,345.0,boy
1961,Paul,337.0,boy
1961,Bobby,334.0,boy
1961,Roger,303.0,boy
1961,Joseph,300.0,boy
1961,Ronnie,284.0,boy
1961,Christopher,271.0,boy
1961,Kevin,260.0,boy
1961,Jeff,255.0,boy
1961,Stephen,252.0,boy
1961,Dennis,249.0,boy
1961,Steve,236.0,boy
1961,Barry,234.0,boy
1961,George,231.0,boy
1961,Randall,228.0,boy
1961,Keith,226.0,boy
1961,Mike,218.0,boy
