year,name,number,sex
1960,David,4710.0,boy
1960,James,3972.0,boy
1960,Robert,3548.0,boy
1960,Michael,3493.0,boy
1960,John,3268.0,boy
1960,Mark,2463.0,boy
1960,Richard,2100.0,boy
1960,William,1892.0,boy
1960,Charles,1696.0,boy
1960,Kenneth,1693.0,boy
1960,Joe,1368.0,boy
1960,Jose,1346.0,boy
1960,Steven,1288.0,boy
1960,Gary,1250.0,boy
1960,Larry,1219.0,boy
1960,Thomas,1146.0,boy
1960,Daniel,1125.0,boy
1960,Paul,1111.0,boy
1960,Donald,1103.0,boy
1960,Jerry,989.0,boy
1960,Ronald,957.0,boy
1960,Ricky,953.0,boy
1960,Terry,933.0,boy
1960,Kevin,895.0,boy
1960,Juan,882.0,boy
1960,George,864.0,boy
1960,Randy,855.0,boy
1960,Billy,851.0,boy
1960,Johnny,848.0,boy
1960,Timothy,842.0,boy
1960,Stephen,836.0,boy
1960,Jimmy,830.0,boy
1960,Gregory,820.0,boy
1960,Anthony,786.0,boy
1960,Bobby,779.0,boy
1960,Mike,769.0,boy
1960,Danny,747.0,boy
1960,Joseph,729.0,boy
1960,Jeffrey,722.0,boy
1960,Edward,687.0,boy
1960,Roy,604.0,boy
1960,Tony,596.0,boy
1960,Steve,581.0,boy
1960,Raymond,572.0,boy
1960,Dennis,567.0,boy
1960,Frank,566.0,boy
1960,Douglas,557.0,boy
1960,Scott,557.0,boy
1960,Ruben,544.0,boy
1960,Brian,527.0,boy
1960,Tommy,526.0,boy
1960,Victor,516.0,boy
1960,Russell,512.0,boy
1960,Keith,509.0,boy
1960,Roger,507.0,boy
1960,Christopher,501.0,boy
1960,Jesse,500.0,boy
1960,Carlos,492.0,boy
1960,Ronnie,480.0,boy
1960,Ricardo,476.0,boy
1960,Eddie,459.0,boy
1960,Manuel,459.0,boy
1960,Craig,457.0,boy
1960,Carl,455.0,boy
1960,Darrell,433.0,boy
1960,Bruce,425.0,boy
1960,Jesus,417.0,boy
1960,Albert,407.0,boy
1960,Patrick,401.0,boy
1960,Raul,396.0,boy
1960,Curtis,384.0,boy
1960,Rodney,382.0,boy
1960,Chris,381.0,boy
1960,Henry,381.0,boy
1960,Randall,378.0,boy
1960,Gilbert,376.0,boy
1960,Roberto,362.0,boy
1960,Phillip,351.0,boy
1960,Ray,351.0,boy
1960,Oscar,345.0,boy
1960,Willie,342.0,boy
1960,Joel,340.0,boy
1960,Mario,340.0,boy
1960,Arthur,339.0,boy
1960,Alan,337.0,boy
1960,Jack,337.0,boy
1960,Jeffery,333.0,boy
1960,Samuel,332.0,boy
1960,Jay,322.0,boy
1960,Eric,320.0,boy
1960,Gerald,320.0,boy
1960,Andrew,317.0,boy
1960,Hector,312.0,boy
1960,Bryan,305.0,boy
1960,Martin,305.0,boy
1960,Antonio,302.0,boy
1960,Luis,301.0,boy
1960,Don,297.0,boy
1960,Jeff,293.0,boy
1960,Dale,288.0,boy
1960, ,,boy
1961,David,4506.0,boy
1961,James,3686.0,boy
1961,Michael,3520.0,boy
1961,Robert,3448.0,boy
1961,John,3314.0,boy
1961,Mark,2436.0,boy
1961,Richard,1938.0,boy
1961,William,1864.0,boy
1961,Charles,1721.0,boy
1961,Kenneth,1496.0,boy
1961,Gary,1363.0,boy
1961,Joe,1328.0,boy
1961,Steven,1250.0,boy
1961,Jose,1234.0,boy
1961,Paul,1103.0,boy
1961,Thomas,1074.0,boy
1961,Daniel,1066.0,boy
1961,Larry,1065.0,boy
1961,Kevin,976.0,boy
1961,Donald,952.0,boy
1961,Gregory,912.0,boy
1961,Jerry,911.0,boy
1961,Terry,885.0,boy
1961,Ronald,871.0,boy
1961,Johnny,855.0,boy
1961,Ricky,837.0,boy
1961,Juan,833.0,boy
1961,Billy,820.0,boy
1961,Stephen,813.0,boy
1961,Jeffrey,806.0,boy
1961,Timothy,806.0,boy
1961,Jimmy,799.0,boy
1961,George,772.0,boy
1961,Anthony,753.0,boy
1961,Randy,729.0,boy
1961,Mike,721.0,boy
1961,Bobby,719.0,boy
1961,Danny,697.0,boy
1961,Edward,663.0,boy
1961,Joseph,660.0,boy
1961,Scott,609.0,boy
1961,Tony,597.0,boy
1961,Douglas,583.0,boy
1961,Steve,567.0,boy
1961,Christopher,565.0,boy
1961,Raymond,549.0,boy
1961,Brian,541.0,boy
1961,Dennis,536.0,boy
1961,Roger,526.0,boy
1961,Roy,525.0,boy
1961,Keith,519.0,boy
