year,name,number,sex
1960,David,523.0,boy
1960,Michael,395.0,boy
1960,Mark,368.0,boy
1960,Robert,355.0,boy
1960,John,332.0,boy
1960,Scott,330.0,boy
1960,Steven,285.0,boy
1960,James,264.0,boy
1960,Richard,250.0,boy
1960,Kevin,229.0,boy
1960,Paul,154.0,boy
1960,Jeff,143.0,boy
1960,Kenneth,143.0,boy
1960,William,140.0,boy
1960,Gary,139.0,boy
1960,Brent,138.0,boy
1960,Douglas,136.0,boy
1960,Mike,136.0,boy
1960,Jeffrey,135.0,boy
1960,Craig,134.0,boy
1960,Todd,133.0,boy
1960,Brian,130.0,boy
1960,Kelly,120.0,boy
1960,Ronald,118.0,boy
1960,Daniel,112.0,boy
1960,Alan,104.0,boy
1960,Brad,100.0,boy
1960,Larry,100.0,boy
1960,Bruce,98.0,boy
1960,Randy,98.0,boy
1960,Steve,94.0,boy
1960,Russell,91.0,boy
1960,Thomas,87.0,boy
1960,Gregory,86.0,boy
1960,Bradley,83.0,boy
1960,Kent,83.0,boy
1960,Roger,77.0,boy
1960,Dale,73.0,boy
1960,Stephen,72.0,boy
1960,Jeffery,71.0,boy
1960,Terry,71.0,boy
1960,Eric,70.0,boy
1960,Joseph,70.0,boy
1960,Donald,68.0,boy
1960,Rick,68.0,boy
1960,Jerry,66.0,boy
1960,Charles,65.0,boy
1960,Bryan,64.0,boy
1960,Curtis,63.0,boy
1960,Jay,63.0,boy
1960,Rodney,63.0,boy
1960,Dennis,61.0,boy
1960,Wayne,59.0,boy
1960,Jim,58.0,boy
1960,Kirk,57.0,boy
1960,Chris,56.0,boy
1960,Gordon,54.0,boy
1960,Ricky,54.0,boy
1960,Tracy,54.0,boy
1960,Keith,51.0,boy
1960,Timothy,51.0,boy
1960,Kyle,49.0,boy
1960,Tim,49.0,boy
1960,Troy,49.0,boy
1960,Dan,48.0,boy
1960,Glen,48.0,boy
1960,Kerry,48.0,boy
1960,Bret,46.0,boy
1960,Christopher,46.0,boy
1960,Don,46.0,boy
1960,Brett,45.0,boy
1960,Danny,45.0,boy
1960,Tony,44.0,boy
1960,Bart,43.0,boy
1960,Dean,43.0,boy
1960,Phillip,43.0,boy
1960,Greg,42.0,boy
1960,Jon,41.0,boy
1960,Raymond,41.0,boy
1960,Bill,40.0,boy
1960,Frank,40.0,boy
1960,George,40.0,boy
1960,Allen,39.0,boy
1960,Anthony,39.0,boy
1960,Lance,39.0,boy
1960,Tom,39.0,boy
1960,Cory,38.0,boy
1960,Joe,37.0,boy
1960,Darren,36.0,boy
1960,Lynn,36.0,boy
1960,Ron,36.0,boy
1960,Andrew,35.0,boy
1960,Doug,35.0,boy
1960,Randall,35.0,boy
1960,Martin,34.0,boy
1960,Carl,33.0,boy
1960,Wade,33.0,boy
1960,Kurt,32.0,boy
1960,Matthew,32.0,boy
1960,Patrick,31.0,boy
1960,Shawn,31.0,boy
1960, ,,boy
1961,David,565.0,boy
1961,Michael,445.0,boy
1961,Mark,383.0,boy
1961,Robert,355.0,boy
1961,John,301.0,boy
1961,Scott,294.0,boy
1961,Steven,275.0,boy
1961,Richard,218.0,boy
1961,James,201.0,boy
1961,Kevin,199.0,boy
1961,Jeffrey,175.0,boy
1961,Paul,174.0,boy
1961,Gary,171.0,boy
