year,name,number,sex
1960,James,1887.0,boy
1960,David,1742.0,boy
1960,Michael,1694.0,boy
1960,Robert,1533.0,boy
1960,William,1503.0,boy
1960,John,1471.0,boy
1960,Mark,950.0,boy
1960,Charles,853.0,boy
1960,Richard,841.0,boy
1960,Thomas,806.0,boy
1960,Timothy,748.0,boy
1960,Kenneth,702.0,boy
1960,Jeffrey,572.0,boy
1960,Steven,553.0,boy
1960,Donald,520.0,boy
1960,Joseph,499.0,boy
1960,Ronald,471.0,boy
1960,Gary,469.0,boy
1960,Larry,438.0,boy
1960,Anthony,409.0,boy
1960,Gregory,404.0,boy
1960,George,392.0,boy
1960,Paul,380.0,boy
1960,Edward,375.0,boy
1960,Ricky,374.0,boy
1960,Kevin,357.0,boy
1960,Stephen,336.0,boy
1960,Jerry,332.0,boy
1960,Douglas,311.0,boy
1960,Dennis,310.0,boy
1960,Daniel,309.0,boy
1960,Terry,298.0,boy
1960,Christopher,275.0,boy
1960,Keith,271.0,boy
1960,Danny,259.0,boy
1960,Brian,255.0,boy
1960,Tony,242.0,boy
1960,Barry,239.0,boy
1960,Roger,234.0,boy
1960,Randy,221.0,boy
1960,Raymond,219.0,boy
1960,Jeffery,209.0,boy
1960,Wayne,205.0,boy
1960,Steve,201.0,boy
1960,Bruce,197.0,boy
1960,Frank,188.0,boy
1960,Carl,185.0,boy
1960,Scott,185.0,boy
1960,Ronnie,183.0,boy
1960,Bobby,182.0,boy
1960,Samuel,171.0,boy
1960,Walter,171.0,boy
1960,Johnny,157.0,boy
1960,Eric,154.0,boy
1960,Calvin,153.0,boy
1960,Roy,153.0,boy
1960,Curtis,150.0,boy
1960,Phillip,149.0,boy
1960,Marvin,142.0,boy
1960,Rodney,142.0,boy
1960,Russell,141.0,boy
1960,Andrew,140.0,boy
1960,Lawrence,138.0,boy
1960,Billy,137.0,boy
1960,Dale,137.0,boy
1960,Mike,136.0,boy
1960,Alan,135.0,boy
1960,Clarence,134.0,boy
1960,Harold,132.0,boy
1960,Glenn,125.0,boy
1960,Randall,125.0,boy
1960,Jimmy,124.0,boy
1960,Melvin,122.0,boy
1960,Patrick,121.0,boy
1960,Howard,120.0,boy
1960,Darrell,116.0,boy
1960,Craig,115.0,boy
1960,Henry,113.0,boy
1960,Ralph,113.0,boy
1960,Willie,111.0,boy
1960,Dwayne,110.0,boy
1960,Allen,109.0,boy
1960,Arthur,107.0,boy
1960,Joe,106.0,boy
1960,Jeff,104.0,boy
1960,Harry,102.0,boy
1960,Stanley,102.0,boy
1960,Alvin,100.0,boy
1960,Ernest,100.0,boy
1960,Peter,100.0,boy
1960,Jack,99.0,boy
1960,Bryan,98.0,boy
1960,Micheal,98.0,boy
1960,Gerald,96.0,boy
1960,Earl,95.0,boy
1960,Reginald,94.0,boy
1960,Eddie,91.0,boy
1960,Ray,89.0,boy
1960,Albert,86.0,boy
1960,Carlton,86.0,boy
1960,Eugene,86.0,boy
1961,James,1956.0,boy
1961,David,1889.0,boy
1961,Michael,1815.0,boy
1961,John,1555.0,boy
1961,Robert,1522.0,boy
1961,William,1479.0,boy
1961,Mark,903.0,boy
1961,Charles,866.0,boy
1961,Richard,791.0,boy
1961,Jeffrey,767.0,boy
1961,Thomas,748.0,boy
1961,Timothy,670.0,boy
1961,Kenneth,662.0,boy
1961,Joseph,527.0,boy
1961,Steven,523.0,boy
1961,Gary,513.0,boy
1961,Donald,483.0,boy
1961,Anthony,449.0,boy
1961,Kevin,448.0,boy
1961,Ronald,446.0,boy
