year,name,number,sex
1960,Michael,249.0,boy
1960,David,198.0,boy
1960,James,158.0,boy
1960,John,151.0,boy
1960,Robert,150.0,boy
1960,Mark,122.0,boy
1960,Richard,108.0,boy
1960,Timothy,104.0,boy
1960,Brian,85.0,boy
1960,William,83.0,boy
1960,Kevin,81.0,boy
1960,Thomas,80.0,boy
1960,Jeffrey,76.0,boy
1960,Peter,75.0,boy
1960,Daniel,70.0,boy
1960,Paul,67.0,boy
1960,Randy,62.0,boy
1960,Scott,62.0,boy
1960,Stephen,60.0,boy
1960,Steven,59.0,boy
1960,Douglas,48.0,boy
1960,Charles,47.0,boy
1960,Joseph,44.0,boy
1960,Christopher,43.0,boy
1960,Kenneth,43.0,boy
1960,Bruce,42.0,boy
1960,Raymond,40.0,boy
1960,Donald,39.0,boy
1960,Gary,39.0,boy
1960,Edward,38.0,boy
1960,Ronald,38.0,boy
1960,Randall,37.0,boy
1960,Alan,35.0,boy
1960,Dennis,34.0,boy
1960,Gregory,30.0,boy
1960,Patrick,29.0,boy
1960,Dale,28.0,boy
1960,Ricky,28.0,boy
1960,Lawrence,27.0,boy
1960,Eric,26.0,boy
1960,Matthew,26.0,boy
1960,George,25.0,boy
1960,Keith,24.0,boy
1960,Terry,24.0,boy
1960,Anthony,22.0,boy
1960,Craig,22.0,boy
1960,Roger,22.0,boy
1960,Chris,21.0,boy
1960,Todd,21.0,boy
1960,Andrew,20.0,boy
1960,Wayne,20.0,boy
1960,Dean,19.0,boy
1960,Larry,19.0,boy
1960,Bradley,18.0,boy
1960,Philip,18.0,boy
1960,Allen,17.0,boy
1960,Francis,16.0,boy
1960,Howard,15.0,boy
1960,Jay,15.0,boy
1960,Russell,15.0,boy
1960,Danny,14.0,boy
1960,Gerald,14.0,boy
1960,Rodney,14.0,boy
1960,Steve,14.0,boy
1960,Mike,13.0,boy
1960,Norman,13.0,boy
1960,Dana,12.0,boy
1960,Frederick,12.0,boy
1960,Jon,12.0,boy
1960,Roland,12.0,boy
1960,Ernest,11.0,boy
1960,Allan,10.0,boy
1960,Arthur,10.0,boy
1960,Barry,10.0,boy
1960,Carl,10.0,boy
1960,Duane,10.0,boy
1960,Glenn,10.0,boy
1960,Harold,10.0,boy
1960,Henry,10.0,boy
1960,Jeffery,10.0,boy
1960,Marc,10.0,boy
1960,Martin,10.0,boy
1960,Ralph,10.0,boy
1960,Stuart,10.0,boy
1960,Walter,10.0,boy
1960,Eugene,9.0,boy
1960,Fred,9.0,boy
1960,Jonathan,9.0,boy
1960,Karl,9.0,boy
1960,Kelly,9.0,boy
1960,Tom,9.0,boy
1960,Arnold,8.0,boy
1960,Bernard,8.0,boy
1960,Brent,8.0,boy
1960,Jerry,8.0,boy
1960,Joel,8.0,boy
1960,Kirk,8.0,boy
1960,Micheal,8.0,boy
1960,Reginald,8.0,boy
1960,Theodore,8.0,boy
1960, ,,boy
1961,David,211.0,boy
1961,Michael,211.0,boy
1961,Robert,164.0,boy
1961,John,163.0,boy
1961,James,139.0,boy
1961,Mark,137.0,boy
1961,Richard,108.0,boy
1961,Jeffrey,105.0,boy
1961,Brian,96.0,boy
1961,Timothy,94.0,boy
1961,William,88.0,boy
1961,Kevin,83.0,boy
1961,Steven,79.0,boy
1961,Thomas,77.0,boy
1961,Scott,66.0,boy
1961,Daniel,63.0,boy
1961,Joseph,63.0,boy
1961,Paul,61.0,boy
1961,Donald,56.0,boy
1961,Gary,56.0,boy
1961,Peter,55.0,boy
1961,Stephen,54.0,boy
1961,Randy,53.0,boy
1961,Christopher,52.0,boy
1961,Douglas,52.0,boy
1961,Ronald,50.0,boy
1961,Gregory,47.0,boy
1961,Bruce,40.0,boy
1961,Edward,40.0,boy
1961,Charles,38.0,boy
1961,Kenneth,37.0,boy
1961,Raymond,34.0,boy
1961,Dennis,32.0,boy
1961,George,31.0,boy
