year,name,number,sex
1960,David,1376.0,boy
1960,Michael,1160.0,boy
1960,Mark,1011.0,boy
1960,John,992.0,boy
1960,Robert,960.0,boy
1960,James,884.0,boy
1960,Richard,658.0,boy
1960,Scott,609.0,boy
1960,Steven,577.0,boy
1960,William,539.0,boy
1960,Kevin,530.0,boy
1960,Brian,526.0,boy
1960,Daniel,456.0,boy
1960,Mike,442.0,boy
1960,Jeffrey,427.0,boy
1960,Thomas,419.0,boy
1960,Kenneth,404.0,boy
1960,Timothy,381.0,boy
1960,Douglas,363.0,boy
1960,Donald,353.0,boy
1960,Paul,348.0,boy
1960,Ronald,342.0,boy
1960,Gregory,326.0,boy
1960,Gary,324.0,boy
1960,Charles,318.0,boy
1960,Jeff,280.0,boy
1960,Steve,279.0,boy
1960,Craig,267.0,boy
1960,Randy,249.0,boy
1960,Joseph,225.0,boy
1960,Patrick,222.0,boy
1960,Larry,221.0,boy
1960,Eric,220.0,boy
1960,Jim,214.0,boy
1960,Bruce,203.0,boy
1960,Edward,201.0,boy
1960,Dennis,198.0,boy
1960,Christopher,196.0,boy
1960,Jerry,192.0,boy
1960,Dale,191.0,boy
1960,Keith,186.0,boy
1960,Terry,185.0,boy
1960,Stephen,182.0,boy
1960,Tim,167.0,boy
1960,Rick,164.0,boy
1960,Greg,161.0,boy
1960,Matthew,159.0,boy
1960,Chris,155.0,boy
1960,Tom,154.0,boy
1960,Bradley,151.0,boy
1960,Jay,151.0,boy
1960,Russell,151.0,boy
1960,Dan,148.0,boy
1960,Dean,142.0,boy
1960,Alan,140.0,boy
1960,Todd,140.0,boy
1960,Bill,139.0,boy
1960,Jeffery,139.0,boy
1960,Roger,134.0,boy
1960,Anthony,131.0,boy
1960,Jon,131.0,boy
1960,Dave,125.0,boy
1960,Peter,125.0,boy
1960,Wayne,124.0,boy
1960,Frank,123.0,boy
1960,George,123.0,boy
1960,Tony,122.0,boy
1960,Randall,121.0,boy
1960,Kelly,119.0,boy
1960,Raymond,113.0,boy
1960,Ron,112.0,boy
1960,Joe,103.0,boy
1960,Carl,102.0,boy
1960,Don,101.0,boy
1960,Brad,98.0,boy
1960,Duane,98.0,boy
1960,Curtis,95.0,boy
1960,Gerald,95.0,boy
1960,Martin,95.0,boy
1960,Bryan,94.0,boy
1960,Andrew,90.0,boy
1960,Bob,90.0,boy
1960,Ken,89.0,boy
1960,Rodney,88.0,boy
1960,Darren,85.0,boy
1960,Brett,82.0,boy
1960,Allen,78.0,boy
1960,Jack,78.0,boy
1960,Danny,77.0,boy
1960,Tracy,77.0,boy
1960,Doug,75.0,boy
1960,Glenn,75.0,boy
1960,Joel,74.0,boy
1960,Gordon,72.0,boy
1960,Kurt,72.0,boy
1960,Brent,71.0,boy
1960,Philip,71.0,boy
1960,Shawn,71.0,boy
1960,Lee,70.0,boy
1960,Phillip,70.0,boy
1961,David,1303.0,boy
1961,Michael,1220.0,boy
1961,John,1135.0,boy
1961,Mark,1000.0,boy
1961,Robert,950.0,boy
1961,James,926.0,boy
1961,Richard,613.0,boy
1961,Steven,605.0,boy
1961,Scott,567.0,boy
1961,Kevin,531.0,boy
1961,William,521.0,boy
1961,Jeffrey,515.0,boy
1961,Brian,475.0,boy
1961,Thomas,438.0,boy
1961,Daniel,421.0,boy
1961,Mike,394.0,boy
1961,Paul,369.0,boy
1961,Kenneth,365.0,boy
1961,Timothy,364.0,boy
1961,Donald,357.0,boy
1961,Gary,354.0,boy
1961,Ronald,348.0,boy
1961,Douglas,331.0,boy
1961,Jeff,318.0,boy
1961,Gregory,299.0,boy
1961,Eric,278.0,boy
1961,Charles,273.0,boy
1961,Steve,254.0,boy
1961,Joseph,245.0,boy
1961,Todd,243.0,boy
1961,Larry,240.0,boy
1961,Craig,236.0,boy
1961,Christopher,229.0,boy
1961,Patrick,222.0,boy
1961,Randy,214.0,boy
1961,Dennis,208.0,boy
1961,Chris,196.0,boy
1961,Terry,196.0,boy
1961,Dale,194.0,boy
1961,Keith,188.0,boy
