year,name,number,sex
1960,David,2312.0,boy
1960,Michael,2149.0,boy
1960,Mark,1934.0,boy
1960,James,1744.0,boy
1960,John,1693.0,boy
1960,Robert,1581.0,boy
1960,Thomas,1368.0,boy
1960,Steven,1338.0,boy
1960,Jeffrey,1285.0,boy
1960,Daniel,1164.0,boy
1960,Scott,1075.0,boy
1960,Timothy,1044.0,boy
1960,Richard,1032.0,boy
1960,Brian,946.0,boy
1960,William,909.0,boy
1960,Kevin,846.0,boy
1960,Paul,781.0,boy
1960,Joseph,606.0,boy
1960,Gary,599.0,boy
1960,Gregory,547.0,boy
1960,Randy,540.0,boy
1960,Ronald,521.0,boy
1960,Donald,505.0,boy
1960,Kenneth,500.0,boy
1960,Dennis,489.0,boy
1960,Patrick,450.0,boy
1960,Peter,441.0,boy
1960,Todd,417.0,boy
1960,Charles,415.0,boy
1960,Dale,402.0,boy
1960,Bruce,383.0,boy
1960,Douglas,380.0,boy
1960,Craig,325.0,boy
1960,Terry,316.0,boy
1960,Randall,309.0,boy
1960,Jeff,303.0,boy
1960,Keith,303.0,boy
1960,Jeffery,300.0,boy
1960,Mike,300.0,boy
1960,Christopher,292.0,boy
1960,Anthony,285.0,boy
1960,Dean,283.0,boy
1960,Steve,281.0,boy
1960,Larry,275.0,boy
1960,Edward,258.0,boy
1960,Alan,250.0,boy
1960,Jay,245.0,boy
1960,Tim,241.0,boy
1960,Roger,227.0,boy
1960,Gerald,216.0,boy
1960,Tom,212.0,boy
1960,Stephen,210.0,boy
1960,Eric,204.0,boy
1960,Kurt,200.0,boy
1960,Ricky,193.0,boy
1960,Andrew,188.0,boy
1960,Jim,188.0,boy
1960,Jon,186.0,boy
1960,Wayne,186.0,boy
1960,Russell,182.0,boy
1960,Greg,174.0,boy
1960,George,164.0,boy
1960,Matthew,161.0,boy
1960,Jerry,157.0,boy
1960,Chris,154.0,boy
1960,Dan,153.0,boy
1960,Bradley,152.0,boy
1960,Rick,151.0,boy
1960,Duane,140.0,boy
1960,Joel,136.0,boy
1960,Allen,135.0,boy
1960,Rodney,135.0,boy
1960,Lawrence,131.0,boy
1960,Raymond,129.0,boy
1960,Bryan,125.0,boy
1960,Lee,125.0,boy
1960,Philip,116.0,boy
1960,Dave,115.0,boy
1960,Jerome,115.0,boy
1960,Joe,114.0,boy
1960,Carl,112.0,boy
1960,Bill,111.0,boy
1960,Frank,108.0,boy
1960,Jack,105.0,boy
1960,Tony,104.0,boy
1960,Glenn,103.0,boy
1960,Martin,102.0,boy
1960,Phillip,99.0,boy
1960,Kelly,89.0,boy
1960,Danny,88.0,boy
1960,Micheal,86.0,boy
1960,Curtis,85.0,boy
1960,Ralph,81.0,boy
1960,Barry,77.0,boy
1960,Eugene,75.0,boy
1960,Brad,73.0,boy
1960,Gregg,73.0,boy
1960,Randal,73.0,boy
1960,Karl,72.0,boy
1960,Gene,69.0,boy
1960,Glen,69.0,boy
1960,Roy,69.0,boy
1961,David,2262.0,boy
1961,Michael,2138.0,boy
1961,John,1926.0,boy
1961,Mark,1916.0,boy
1961,James,1773.0,boy
1961,Robert,1523.0,boy
1961,Thomas,1372.0,boy
1961,Jeffrey,1327.0,boy
1961,Steven,1215.0,boy
1961,Daniel,1141.0,boy
1961,Scott,1108.0,boy
1961,Brian,957.0,boy
1961,Timothy,922.0,boy
1961,William,903.0,boy
1961,Richard,856.0,boy
1961,Paul,834.0,boy
1961,Kevin,802.0,boy
1961,Todd,636.0,boy
1961,Joseph,596.0,boy
1961,Gary,570.0,boy
1961,Gregory,514.0,boy
1961,Ronald,484.0,boy
1961,Donald,464.0,boy
1961,Randy,442.0,boy
1961,Peter,437.0,boy
1961,Kenneth,434.0,boy
1961,Patrick,414.0,boy
1961,Douglas,407.0,boy
1961,Dennis,404.0,boy
1961,Charles,400.0,boy
1961,Christopher,356.0,boy
1961,Dale,356.0,boy
1961,Jeff,336.0,boy
1961,Mike,326.0,boy
1961,Bruce,322.0,boy
1961,Craig,320.0,boy
1961,Jeffery,305.0,boy
1961,Keith,286.0,boy
1961,Terry,280.0,boy
1961,Anthony,273.0,boy
1961,Dean,260.0,boy
1961,Larry,257.0,boy
1961,Roger,257.0,boy
1961,Steve,256.0,boy
1961,Alan,253.0,boy
1961,Randall,251.0,boy
1961,Eric,236.0,boy
1961,Edward,232.0,boy
1961,Jay,225.0,boy
1961,Tim,225.0,boy
1961,Stephen,224.0,boy
1961,Gerald,215.0,boy
1961,Russell,213.0,boy
1961,Jon,204.0,boy
1961,Ricky,201.0,boy
1961,Andrew,194.0,boy
1961,Tom,194.0,boy
1961,Chris,182.0,boy
1961,Kurt,181.0,boy
1961,Jim,179.0,boy
1961,Bradley,173.0,boy
1961,Wayne,167.0,boy
1961,Matthew,165.0,boy
1961,Jerry,163.0,boy
1961,Dan,161.0,boy
1961,Joel,154.0,boy
1961,Rick,151.0,boy
1961,George,145.0,boy
1961,Duane,140.0,boy
1961,Greg,137.0,boy
1961,Rodney,135.0,boy
1961,Allen,131.0,boy
1961,Carl,124.0,boy
1961,Lawrence,123.0,boy
1961,Frank,120.0,boy
1961,Raymond,120.0,boy
1961,Bryan,113.0,boy
1961,Bill,112.0,boy
1961,Glenn,112.0,boy
1961,Tony,108.0,boy
1961,Dave,107.0,boy
1961,Philip,104.0,boy
1961,Barry,100.0,boy
1961,Jack,100.0,boy
1961,Jerome,100.0,boy
1961,Lee,99.0,boy
1961,Joe,98.0,boy
1961,Martin,97.0,boy
1961,Karl,91.0,boy
1961,Phillip,88.0,boy
1961,Curtis,82.0,boy
1961,Danny,79.0,boy
1961,Darrell,77.0,boy
1961,Glen,77.0,boy
1961,Perry,77.0,boy
1961,Brad,75.0,boy
1961,Eugene,75.0,boy
1961,Troy,75.0,boy
1961,Gregg,72.0,boy
1961,Kelly,71.0,boy
1962,Michael,2094.0,boy
1962,David,2066.0,boy
1962,John,1799.0,boy
1962,Mark,1667.0,boy
1962,James,1636.0,boy
1962,Robert,1471.0,boy
1962,Scott,1385.0,boy
1962,Jeffrey,1259.0,boy
1962,Thomas,1240.0,boy
1962,Daniel,1216.0,boy
1962,Steven,1158.0,boy
1962,Brian,948.0,boy
1962,Timothy,899.0,boy
1962,Richard,874.0,boy
1962,Todd,796.0,boy
1962,Paul,774.0,boy
1962,Kevin,756.0,boy
1962,William,744.0,boy
1962,Joseph,650.0,boy
1962,Gary,536.0,boy
1962,Gregory,512.0,boy
1962,Kenneth,451.0,boy
1962,Ronald,447.0,boy
1962,Donald,444.0,boy
1962,Douglas,433.0,boy
1962,Patrick,401.0,boy
1962,Charles,391.0,boy
1962,Peter,379.0,boy
1962,Randy,377.0,boy
1962,Christopher,373.0,boy
1962,Dennis,328.0,boy
1962,Anthony,321.0,boy
1962,Bruce,319.0,boy
1962,Dale,316.0,boy
1962,Jeffery,298.0,boy
1962,Keith,291.0,boy
1962,Jeff,281.0,boy
1962,Dean,278.0,boy
1962,Craig,276.0,boy
1962,Eric,270.0,boy
1962,Terry,251.0,boy
1962,Mike,247.0,boy
1962,Steve,242.0,boy
1962,Jay,227.0,boy
1962,Larry,224.0,boy
1962,Alan,216.0,boy
1962,Kurt,216.0,boy
1962,Edward,213.0,boy
1962,Randall,213.0,boy
1962,Andrew,211.0,boy
1962,Roger,204.0,boy
1962,Stephen,203.0,boy
1962,Jon,200.0,boy
1962,Russell,194.0,boy
1962,Tim,194.0,boy
1962,Chris,176.0,boy
1962,Bradley,172.0,boy
1962,Gerald,172.0,boy
1962,Tom,170.0,boy
1962,Jim,167.0,boy
1962,Rick,160.0,boy
1962,Ricky,158.0,boy
1962,Wayne,157.0,boy
1962,Matthew,153.0,boy
1962,Dan,144.0,boy
1962,Greg,143.0,boy
1962,Glenn,139.0,boy
1962,Jerry,136.0,boy
1962,George,132.0,boy
1962,Joel,132.0,boy
1962,Troy,127.0,boy
1962,Rodney,125.0,boy
1962,Allen,123.0,boy
1962,Philip,119.0,boy
1962,Bryan,117.0,boy
1962,Duane,111.0,boy
1962,Carl,110.0,boy
1962,Barry,109.0,boy
1962,Frank,109.0,boy
1962,Lawrence,106.0,boy
1962,Jerome,103.0,boy
1962,Joe,103.0,boy
1962,Kelly,102.0,boy
1962,Martin,101.0,boy
1962,Raymond,100.0,boy
1962,Curtis,98.0,boy
1962,Danny,97.0,boy
1962,Kent,97.0,boy
1962,Lee,97.0,boy
1962,Dave,93.0,boy
1962,Phillip,93.0,boy
1962,Tony,92.0,boy
1962,Micheal,90.0,boy
1962,Gregg,89.0,boy
1962,Bill,87.0,boy
1962,Jack,87.0,boy
1962,Glen,81.0,boy
1962,Karl,76.0,boy
1962,Eugene,70.0,boy
1962,Brad,69.0,boy
1963,Michael,2090.0,boy
1963,David,1975.0,boy
1963,John,1771.0,boy
1963,James,1546.0,boy
1963,Mark,1534.0,boy
1963,Robert,1416.0,boy
1963,Scott,1361.0,boy
1963,Jeffrey,1188.0,boy
1963,Thomas,1180.0,boy
1963,Daniel,1133.0,boy
1963,Steven,1034.0,boy
1963,Kevin,947.0,boy
1963,Brian,916.0,boy
1963,Timothy,890.0,boy
1963,Paul,874.0,boy
1963,Richard,855.0,boy
1963,Todd,829.0,boy
1963,William,716.0,boy
1963,Joseph,640.0,boy
1963,Gregory,493.0,boy
1963,Patrick,450.0,boy
1963,Donald,426.0,boy
1963,Gary,423.0,boy
1963,Ronald,418.0,boy
1963,Kenneth,405.0,boy
1963,Douglas,392.0,boy
1963,Peter,391.0,boy
1963,Christopher,378.0,boy
1963,Charles,369.0,boy
1963,Randy,347.0,boy
1963,Dennis,340.0,boy
1963,Dean,292.0,boy
1963,Bruce,286.0,boy
1963,Andrew,285.0,boy
1963,Eric,284.0,boy
1963,Keith,276.0,boy
1963,Randall,271.0,boy
1963,Dale,269.0,boy
1963,Anthony,268.0,boy
1963,Terry,267.0,boy
1963,Jeff,238.0,boy
1963,Craig,236.0,boy
1963,Kurt,231.0,boy
1963,Jon,217.0,boy
1963,Jeffery,211.0,boy
1963,Larry,208.0,boy
1963,Steve,208.0,boy
1963,Alan,204.0,boy
1963,Matthew,203.0,boy
1963,Edward,197.0,boy
1963,Mike,197.0,boy
1963,Roger,185.0,boy
1963,Stephen,185.0,boy
1963,Tim,185.0,boy
1963,Jay,181.0,boy
1963,Bradley,171.0,boy
1963,Russell,168.0,boy
1963,Wayne,168.0,boy
1963,Tom,167.0,boy
1963,Gerald,166.0,boy
1963,Ricky,166.0,boy
1963,Jerry,151.0,boy
1963,Chris,149.0,boy
1963,Dan,141.0,boy
1963,Rick,140.0,boy
1963,Greg,138.0,boy
1963,George,132.0,boy
1963,Allen,126.0,boy
1963,Jim,124.0,boy
1963,Duane,122.0,boy
1963,Rodney,122.0,boy
1963,Joel,120.0,boy
1963,Martin,114.0,boy
1963,Frank,113.0,boy
1963,Lawrence,108.0,boy
1963,Glenn,107.0,boy
1963,Tony,107.0,boy
1963,Raymond,103.0,boy
1963,Jerome,102.0,boy
1963,Troy,101.0,boy
1963,Bryan,100.0,boy
1963,Curtis,97.0,boy
1963,Carl,91.0,boy
1963,Philip,88.0,boy
1963,Barry,83.0,boy
1963,Lee,83.0,boy
1963,Joe,82.0,boy
1963,Jonathan,82.0,boy
1963,Jack,79.0,boy
1963,Bill,78.0,boy
1963,Phillip,77.0,boy
1963,Danny,76.0,boy
1963,Dave,75.0,boy
1963,Kelly,75.0,boy
1963,Kent,75.0,boy
1963,Shawn,74.0,boy
1963,Glen,71.0,boy
1963,Gregg,71.0,boy
1963,Karl,71.0,boy
1963,Bob,69.0,boy
1963,Brad,69.0,boy
1964,Michael,1964.0,boy
1964,David,1920.0,boy
1964,John,1894.0,boy
1964,James,1626.0,boy
1964,Robert,1465.0,boy
1964,Mark,1395.0,boy
1964,Scott,1248.0,boy
1964,Thomas,1132.0,boy
1964,Steven,1120.0,boy
1964,Daniel,1071.0,boy
1964,Jeffrey,1062.0,boy
1964,Timothy,998.0,boy
1964,Brian,956.0,boy
1964,Paul,886.0,boy
1964,Todd,869.0,boy
1964,Richard,835.0,boy
1964,Kevin,801.0,boy
1964,William,746.0,boy
1964,Joseph,632.0,boy
1964,Patrick,514.0,boy
1964,Gregory,474.0,boy
1964,Kenneth,431.0,boy
1964,Gary,398.0,boy
1964,Peter,397.0,boy
1964,Douglas,385.0,boy
1964,Ronald,384.0,boy
1964,Christopher,378.0,boy
1964,Donald,361.0,boy
1964,Charles,329.0,boy
1964,Randy,318.0,boy
1964,Andrew,309.0,boy
1964,Keith,306.0,boy
1964,Dean,293.0,boy
1964,Dennis,287.0,boy
1964,Eric,286.0,boy
1964,Jeffery,250.0,boy
1964,Anthony,249.0,boy
1964,Dale,244.0,boy
1964,Bruce,241.0,boy
1964,Craig,241.0,boy
1964,Jon,227.0,boy
1964,Jay,222.0,boy
1964,Randall,214.0,boy
1964,Terry,208.0,boy
1964,Edward,205.0,boy
1964,Kurt,201.0,boy
1964,Matthew,200.0,boy
1964,Stephen,191.0,boy
1964,Alan,187.0,boy
1964,Jeff,187.0,boy
1964,Mike,186.0,boy
1964,Bradley,179.0,boy
1964,Larry,178.0,boy
1964,Steve,175.0,boy
1964,Roger,171.0,boy
1964,Gerald,161.0,boy
1964,Wayne,159.0,boy
1964,Jerry,152.0,boy
1964,Tim,149.0,boy
1964,Russell,147.0,boy
1964,Tom,147.0,boy
1964,Ricky,144.0,boy
1964,Rick,142.0,boy
1964,Chris,129.0,boy
1964,Jim,128.0,boy
1964,Troy,126.0,boy
1964,Rodney,123.0,boy
1964,Raymond,115.0,boy
1964,Greg,113.0,boy
1964,Duane,110.0,boy
1964,George,110.0,boy
1964,Dan,107.0,boy
1964,Allen,104.0,boy
1964,Frank,104.0,boy
1964,Carl,97.0,boy
1964,Joel,97.0,boy
1964,Lee,94.0,boy
1964,Philip,94.0,boy
1964,Curtis,93.0,boy
1964,Tony,93.0,boy
1964,Shawn,91.0,boy
1964,Lawrence,90.0,boy
1964,Bryan,89.0,boy
1964,Glenn,88.0,boy
1964,Martin,86.0,boy
1964,Jerome,83.0,boy
1964,Jonathan,83.0,boy
1964,Kent,83.0,boy
1964,Jack,80.0,boy
1964,Brad,79.0,boy
1964,Bill,77.0,boy
1964,Joe,74.0,boy
1964,Phillip,74.0,boy
1964,Karl,70.0,boy
1964,Barry,69.0,boy
1964,Danny,68.0,boy
1964,Theodore,67.0,boy
1964,Brent,66.0,boy
1964,Sean,65.0,boy
1964,Gregg,62.0,boy
1964, ,,boy
1964, ,,boy
1965,Michael,1987.0,boy
1965,David,1718.0,boy
1965,John,1509.0,boy
