year,name,number,sex
1960,David,916.0,boy
1960,James,856.0,boy
1960,John,721.0,boy
1960,Michael,691.0,boy
1960,Robert,686.0,boy
1960,Mark,615.0,boy
1960,William,585.0,boy
1960,Timothy,494.0,boy
1960,Charles,477.0,boy
1960,Richard,409.0,boy
1960,Jeffrey,352.0,boy
1960,Thomas,322.0,boy
1960,Gary,271.0,boy
1960,Gregory,271.0,boy
1960,Terry,248.0,boy
1960,Donald,246.0,boy
1960,Ronald,246.0,boy
1960,Kenneth,245.0,boy
1960,Steven,244.0,boy
1960,Larry,229.0,boy
1960,Paul,220.0,boy
1960,Joseph,217.0,boy
1960,Jerry,187.0,boy
1960,Kevin,180.0,boy
1960,Danny,174.0,boy
1960,Ricky,174.0,boy
1960,Daniel,169.0,boy
1960,Stephen,169.0,boy
1960,Douglas,165.0,boy
1960,Randy,161.0,boy
1960,Brian,158.0,boy
1960,Roger,157.0,boy
1960,Edward,144.0,boy
1960,George,142.0,boy
1960,Dennis,137.0,boy
1960,Randall,133.0,boy
1960,Billy,130.0,boy
1960,Carl,120.0,boy
1960,Jeffery,106.0,boy
1960,Keith,101.0,boy
1960,Anthony,94.0,boy
1960,Rodney,94.0,boy
1960,Scott,90.0,boy
1960,Frank,85.0,boy
1960,Steve,85.0,boy
1960,Mike,84.0,boy
1960,Bruce,83.0,boy
1960,Raymond,83.0,boy
1960,Christopher,79.0,boy
1960,Phillip,79.0,boy
1960,Roy,79.0,boy
1960,Darrell,78.0,boy
1960,Johnny,76.0,boy
1960,Dale,71.0,boy
1960,Barry,70.0,boy
1960,Harold,70.0,boy
1960,Jeff,70.0,boy
1960,Craig,69.0,boy
1960,Jack,69.0,boy
1960,Jimmy,69.0,boy
1960,Eric,67.0,boy
1960,Samuel,65.0,boy
1960,Tony,65.0,boy
1960,Patrick,64.0,boy
1960,Ralph,64.0,boy
1960,Russell,64.0,boy
1960,Ronnie,63.0,boy
1960,Timmy,62.0,boy
1960,Bobby,59.0,boy
1960,Tim,58.0,boy
1960,Wayne,58.0,boy
1960,Gerald,57.0,boy
1960,Greg,57.0,boy
1960,Curtis,56.0,boy
1960,Harry,55.0,boy
1960,Howard,55.0,boy
1960,Philip,54.0,boy
1960,Allen,53.0,boy
1960,Eddie,50.0,boy
1960,Andrew,49.0,boy
1960,Joe,49.0,boy
1960,Matthew,49.0,boy
1960,Alan,46.0,boy
1960,Stanley,46.0,boy
1960,Jackie,45.0,boy
1960,Jay,45.0,boy
1960,Micheal,45.0,boy
1960,Tommy,45.0,boy
1960,Walter,45.0,boy
1960,Lawrence,44.0,boy
1960,Bill,43.0,boy
1960,Chris,43.0,boy
1960,Rick,40.0,boy
1960,Franklin,39.0,boy
1960,Rickey,38.0,boy
1960,Glen,37.0,boy
1960,Earl,36.0,boy
1960,Bradley,35.0,boy
1960,Frederick,35.0,boy
1960,Marvin,35.0,boy
1960, ,,boy
1960, ,,boy
1961,David,924.0,boy
1961,James,873.0,boy
1961,John,795.0,boy
1961,Michael,745.0,boy
1961,Robert,677.0,boy
1961,Mark,594.0,boy
1961,William,541.0,boy
1961,Timothy,457.0,boy
1961,Charles,445.0,boy
1961,Jeffrey,445.0,boy
1961,Richard,402.0,boy
1961,Thomas,293.0,boy
1961,Gregory,281.0,boy
1961,Gary,244.0,boy
1961,Donald,242.0,boy
1961,Joseph,234.0,boy
1961,Kevin,229.0,boy
1961,Kenneth,226.0,boy
1961,Ronald,226.0,boy
1961,Paul,225.0,boy
1961,Terry,221.0,boy
1961,Steven,213.0,boy
1961,Larry,206.0,boy
1961,Roger,192.0,boy
1961,Brian,190.0,boy
1961,Ricky,189.0,boy
1961,Jerry,175.0,boy
1961,Daniel,161.0,boy
1961,Randy,155.0,boy
1961,Douglas,154.0,boy
1961,Randall,142.0,boy
1961,George,136.0,boy
1961,Edward,132.0,boy
1961,Scott,129.0,boy
1961,Stephen,129.0,boy
1961,Jeffery,124.0,boy
1961,Danny,123.0,boy
1961,Billy,102.0,boy
1961,Christopher,101.0,boy
1961,Anthony,100.0,boy
1961,Keith,99.0,boy
1961,Mike,95.0,boy
1961,Rodney,95.0,boy
1961,Bruce,93.0,boy
1961,Dennis,92.0,boy
1961,Carl,90.0,boy
1961,Jeff,90.0,boy
1961,Barry,86.0,boy
1961,Frank,84.0,boy
1961,Russell,82.0,boy
1961,Ronnie,81.0,boy
1961,Patrick,73.0,boy
1961,Alan,72.0,boy
1961,Harold,72.0,boy
1961,Johnny,72.0,boy
1961,Samuel,72.0,boy
1961,Steve,72.0,boy
1961,Jack,71.0,boy
1961,Bobby,70.0,boy
1961,Phillip,70.0,boy
1961,Craig,68.0,boy
1961,Jimmy,67.0,boy
1961,Roy,67.0,boy
1961,Allen,66.0,boy
1961,Eric,66.0,boy
1961,Timmy,65.0,boy
1961,Raymond,63.0,boy
1961,Dale,62.0,boy
1961,Tony,62.0,boy
1961,Todd,60.0,boy
1961,Tim,59.0,boy
1961,Darrell,58.0,boy
1961,Howard,58.0,boy
1961,Bryan,54.0,boy
1961,Curtis,53.0,boy
1961,Franklin,53.0,boy
1961,Micheal,53.0,boy
1961,Andrew,51.0,boy
1961,Ralph,51.0,boy
1961,Chris,50.0,boy
1961,Joe,50.0,boy
1961,Dwayne,47.0,boy
1961,Greg,46.0,boy
1961,Philip,45.0,boy
1961,Tommy,44.0,boy
1961,Gerald,43.0,boy
1961,Matthew,42.0,boy
1961,Eddie,41.0,boy
1961,Harry,41.0,boy
1961,Rickey,41.0,boy
1961,Leonard,40.0,boy
1961,Rick,40.0,boy
1961,Clarence,39.0,boy
1961,Jim,39.0,boy
1961,Marvin,39.0,boy
1961,Jay,38.0,boy
1961,Walter,38.0,boy
1961,Earl,37.0,boy
1961,Wayne,37.0,boy
1961,Dana,36.0,boy
1962,David,861.0,boy
1962,James,789.0,boy
1962,John,737.0,boy
1962,Michael,702.0,boy
1962,Robert,701.0,boy
1962,Mark,525.0,boy
1962,William,506.0,boy
1962,Charles,435.0,boy
1962,Timothy,420.0,boy
1962,Jeffrey,405.0,boy
1962,Richard,391.0,boy
1962,Gregory,295.0,boy
1962,Thomas,289.0,boy
1962,Kevin,262.0,boy
1962,Gary,259.0,boy
1962,Steven,240.0,boy
1962,Joseph,234.0,boy
1962,Donald,231.0,boy
1962,Kenneth,223.0,boy
1962,Ronald,207.0,boy
1962,Paul,198.0,boy
1962,Larry,194.0,boy
1962,Terry,171.0,boy
1962,Roger,170.0,boy
1962,Brian,163.0,boy
1962,Jerry,162.0,boy
1962,Daniel,161.0,boy
1962,Scott,149.0,boy
1962,Jeffery,146.0,boy
1962,Ricky,146.0,boy
1962,Randy,144.0,boy
1962,Douglas,138.0,boy
1962,Stephen,125.0,boy
1962,Danny,117.0,boy
1962,Anthony,110.0,boy
1962,Christopher,108.0,boy
1962,George,105.0,boy
1962,Randall,98.0,boy
1962,Bruce,97.0,boy
1962,Billy,90.0,boy
1962,Keith,90.0,boy
1962,Edward,88.0,boy
1962,Mike,88.0,boy
1962,Barry,87.0,boy
1962,Jeff,85.0,boy
1962,Phillip,83.0,boy
1962,Dennis,81.0,boy
1962,Carl,79.0,boy
1962,Rodney,77.0,boy
1962,Russell,76.0,boy
1962,Bobby,74.0,boy
1962,Harold,74.0,boy
1962,Eric,73.0,boy
1962,Roy,71.0,boy
1962,Todd,68.0,boy
1962,Craig,66.0,boy
1962,Steve,66.0,boy
1962,Jack,65.0,boy
1962,Ralph,65.0,boy
1962,Tony,65.0,boy
1962,Jimmy,64.0,boy
1962,Patrick,63.0,boy
1962,Samuel,62.0,boy
1962,Frank,61.0,boy
1962,Ronnie,61.0,boy
1962,Raymond,60.0,boy
1962,Johnny,59.0,boy
1962,Tim,59.0,boy
1962,Dale,57.0,boy
