year,name,number,sex
1960,David,146.0,boy
1960,Robert,133.0,boy
1960,Michael,132.0,boy
1960,James,131.0,boy
1960,John,117.0,boy
1960,Mark,110.0,boy
1960,Richard,89.0,boy
1960,William,88.0,boy
1960,Steven,65.0,boy
1960,Kevin,56.0,boy
1960,Thomas,54.0,boy
1960,Scott,51.0,boy
1960,Mike,48.0,boy
1960,Daniel,47.0,boy
1960,Charles,44.0,boy
1960,Donald,44.0,boy
1960,Timothy,44.0,boy
1960,Gary,40.0,boy
1960,Larry,39.0,boy
1960,Ronald,39.0,boy
1960,Paul,38.0,boy
1960,Jeffrey,37.0,boy
1960,Randy,36.0,boy
1960,Kenneth,35.0,boy
1960,Joseph,33.0,boy
1960,Jerry,32.0,boy
1960,Craig,31.0,boy
1960,Edward,30.0,boy
1960,Dennis,28.0,boy
1960,Douglas,28.0,boy
1960,Brian,27.0,boy
1960,Steve,27.0,boy
1960,Terry,27.0,boy
1960,Dale,24.0,boy
1960,Patrick,24.0,boy
1960,Gerald,23.0,boy
1960,Greg,23.0,boy
1960,Gregory,23.0,boy
1960,Todd,23.0,boy
1960,Dan,22.0,boy
1960,Jeff,22.0,boy
1960,Keith,22.0,boy
1960,Kelly,22.0,boy
1960,Tim,22.0,boy
1960,Tom,22.0,boy
1960,Bruce,21.0,boy
1960,Jay,21.0,boy
1960,George,20.0,boy
1960,Jim,20.0,boy
1960,Rodney,19.0,boy
1960,Roger,19.0,boy
1960,Danny,18.0,boy
1960,Russell,18.0,boy
1960,Stephen,18.0,boy
1960,Alan,17.0,boy
1960,Randall,17.0,boy
1960,Raymond,17.0,boy
1960,Kent,16.0,boy
1960,Peter,16.0,boy
1960,Tony,16.0,boy
1960,Bob,15.0,boy
1960,Brent,15.0,boy
1960,Brett,15.0,boy
1960,Bryan,15.0,boy
1960,Carl,15.0,boy
1960,Curtis,15.0,boy
1960,Phillip,15.0,boy
1960,Ricky,15.0,boy
1960,Wayne,15.0,boy
1960,Albert,14.0,boy
1960,Arthur,14.0,boy
1960,Christopher,14.0,boy
1960,Clifford,14.0,boy
1960,Jack,14.0,boy
1960,Joe,14.0,boy
1960,Jon,14.0,boy
1960,Matthew,14.0,boy
1960,Allen,13.0,boy
1960,Anthony,13.0,boy
1960,Bill,13.0,boy
1960,Frank,13.0,boy
1960,Martin,13.0,boy
1960,Rick,13.0,boy
1960,Brad,12.0,boy
1960,Roy,12.0,boy
1960,Bradley,11.0,boy
1960,Chris,11.0,boy
